episode_id,event_id,longitude,latitude,state,location,Zipcode
129664,776729,-85.3,32.66,ALABAMA,CHEWACLA,0136804
105315,631370,-85.8879,32.2503,ALABAMA,FITZPATRICK,0136029
105315,631370,-85.9388,32.2579,ALABAMA,MITCHELL,0136029
105315,631371,-86.0133,32.1341,ALABAMA,DOWNING,0136069
105315,631371,-86.00200000000001,32.1324,ALABAMA,DOWNING,0136052
105315,631372,-85.5125,32.5352,ALABAMA,BEEHIVE,0136832
105315,631372,-85.5247,32.5347,ALABAMA,BEEHIVE,0136830
105315,631373,-85.3385,32.5311,ALABAMA,WHATLEY XRD,0136804
105315,631373,-85.4183,32.54,ALABAMA,MITCHELL XRD,0136804
105315,631374,-85.5662,32.1271,ALABAMA,THREE NOTCH,0136089
105315,631374,-85.4352,32.1174,ALABAMA,ENON,0136053
105315,631375,-85.1158,32.4184,ALABAMA,CRAWFORD,0136869
105315,631375,-85.2417,32.4187,ALABAMA,HUGLEY,0136869
1123866,5269823,-87.9,30.51667,ALABAMA,FAIRHOPE,0136532
1123867,5269732,-87.9,30.566670000000002,ALABAMA,MONTROSE,0136559
105315,631369,-86.2387,32.296,ALABAMA,PINEDALE,0136116
1123870,5269735,-87.68333,30.28333,ALABAMA,GULF SHRS,0136542
105315,631376,-85.6408,31.8815,ALABAMA,GARMON XRDS,0136048
105315,631377,-85.1992,32.0964,ALABAMA,GLENVILLE,0136871
105315,631377,-85.2216,32.0982,ALABAMA,GLENVILLE,0136871
1123897,5269828,-87.68333,30.41667,ALABAMA,FOLEY,0136535
1123898,5269829,-87.68333,30.41667,ALABAMA,FOLEY,0136535
1123899,5269830,-87.71667,30.55,ALABAMA,ROBERTSDALE,0136567
1123900,5269831,-87.9,30.683329999999998,ALABAMA,SPANISH FT,0136527
1123911,5269669,-86.25,31.28333,ALABAMA,OPP,0136467
105350,631668,-87.56,33.39,ALABAMA,SAMANTHA,0135475
105350,631670,-86.9,33.55,ALABAMA,CRUMLEY CHAPEL,0135214
105350,631672,-86.8,33.77,ALABAMA,KIMBERLY,0135091
105350,631676,-86.63,32.84,ALABAMA,CLANTON GRAGG ARPT,0135045
1144856,5322646,-87.88333,30.41667,ALABAMA,BARNWELL,0136532
1144849,5322639,-86.75,31.633329999999997,ALABAMA,GEORGIANA,0136033
105315,631376,-85.5568,31.8515,ALABAMA,PRATTS,0136016
105315,631369,-86.1384,32.2809,ALABAMA,PERRYS MILL,0136064
105315,631368,-85.01,32.47,ALABAMA,PHENIX CITY,0136867
105315,631367,-85.09,32.37,ALABAMA,NUCKOLS,0136875
1145110,5321439,-88.21667,33.48333,ALABAMA,STAFFORD,0135576
1145109,5321438,-87.11667,33.98333,ALABAMA,BREMEN,0135053
16114,92774,-85.9,34.53,ALABAMA,RAINSVILLE,0135971
1145109,5321438,-86.6,34.15,ALABAMA,BREMEN,0135083
1145109,5321437,-87.11667,33.98333,ALABAMA,ARLEY,0135053
1145109,5321437,-87.16667,33.96667,ALABAMA,ARLEY,0135504
1145109,5321436,-87.53333,33.83333,ALABAMA,TOWNLEY,0135549
1145109,5321436,-87.11667,33.96667,ALABAMA,TOWNLEY,0135053
1145109,5321435,-87.8,33.76667,ALABAMA,FAYETTE,0135555
1145109,5321435,-87.55,33.81667,ALABAMA,FAYETTE,0135549
1145108,5321434,-88.15,33.56667,ALABAMA,FERNBANK,0135576
1145108,5321434,-88.25,33.5,ALABAMA,FERNBANK,0135461
1145107,5321433,-87.35,34.0,ALABAMA,POPLAR SPGS,0135553
1145107,5321433,-87.18333,34.05,ALABAMA,POPLAR SPGS,0135541
1145107,5321432,-87.58333,33.83333,ALABAMA,CARBON HILL,0135549
1145107,5321432,-87.35,34.0,ALABAMA,CARBON HILL,0135553
1145107,5321431,-87.86667,33.75,ALABAMA,FAYETTE,0135555
105315,631365,-85.62,33.93,ALABAMA,PIEDMONT,0136272
105315,631364,-85.62,33.93,ALABAMA,PIEDMONT,0136272
41314,240507,-86.93,34.77,ALABAMA,FRENCH MILL,0135613
41314,240510,-86.93,34.77,ALABAMA,FRENCH MILL,0135613
1095558,5145657,-86.13333,31.2,ALABAMA,KINSTON,0136453
1095558,5145661,-85.31667,31.23333,ALABAMA,DOTHAN,0136321
1144848,5322567,-87.18333,31.33333,ALABAMA,LENOX,0136475
16136,103906,-86.9694,33.9945,ALABAMA,BREMEN,0135057
16136,103887,-86.8464,33.9516,ALABAMA,GARDEN CITY,0135077
16136,103878,-87.2645,34.9684,ALABAMA,POWELL,0135610
16136,103878,-87.2469,34.9671,ALABAMA,POWELL,0135610
