EPISODE_ID,EVENT_ID,LONGITUDE,LATITUDE,STATE,LOCATION,ZIPCODE
126683,759365,-157.9749,60.4599,ALASKA,KOLIGANEK,0299576
5479,31907,-149.9644,60.48,ALASKA,SOLDOTNA,0299572
4746,27192,-145.5,63.03,ALASKA,PAXSON,0299737
1190980,5456341,-150.7833,60.35,ALASKA,SOLDOTNA,0299610
38632,224138,-150.22,65.0,ALASKA,MANLEY HOT SPRINGS,0299756
38642,224280,-147.5638,64.82,ALASKA,FAIRBANKS,0299705
1190983,5456347,-160.6333,55.26667,ALASKA,SAND POINT,0299661
1190980,5456338,-149.85,61.63333000000001,ALASKA,NANCY LAKE,0299694
1190980,5456338,-149.9833,61.7,ALASKA,NANCY LAKE,0299688
1190980,5456340,-150.35,60.48333,ALASKA,SOLDOTNA,
38648,224295,-142.98,63.33,ALASKA,TOK,0299780
5479,31907,-149.8764,60.48,ALASKA,SOLDOTNA,0299572
1168993,5395393,-142.93333,61.15,ALASKA,MCCARTHY,0299566
6417,37240,-145.72,64.0,ALASKA,DELTA JCT,0299737
98836,593758,-149.6,61.62,ALASKA,WASILLA,0299654
98836,593758,-149.76,61.61,ALASKA,WASILLA,0299694
1190980,5456342,-150.55,60.23333,ALASKA,SOLDOTNA,0299610
1190369,5453760,-149.8167,62.583330000000004,ALASKA,CHULITNA RIVER LODGE,0299676
1190369,5453760,-150.15,62.71666999999999,ALASKA,CHULITNA RIVER LODGE,0299683
1190368,5453759,-149.95,62.333330000000004,ALASKA,TALKEETNA,0299676
4746,27704,-146.2841,62.6722,ALASKA,PAXSON,
1190368,5453759,-149.7833,62.333330000000004,ALASKA,TALKEETNA,0299676
1190980,5456343,-149.6833,61.11666999999999,ALASKA,ANCHORAGE,
1190981,5456344,-150.3833,60.816669999999995,ALASKA,SOLDOTNA,
1190981,5456344,-150.2833,60.86666999999999,ALASKA,SOLDOTNA,
4746,27704,-146.6157,63.03,ALASKA,PAXSON,
1190981,5456345,-150.05,62.11666999999999,ALASKA,WILLOW,0299688
1190981,5456345,-150.7,62.05,ALASKA,WILLOW,0299688
1190980,5456342,-150.4333,60.48333,ALASKA,SOLDOTNA,
1168993,5395471,-157.8,61.95,ALASKA,MCGRATH,
38457,223350,-147.6425,64.9363,ALASKA,COLLEGE,0299712
1190980,5456340,-150.8167,60.36666999999999,ALASKA,SOLDOTNA,0299669
1168993,5395470,-151.41666999999998,62.333330000000004,ALASKA,TALKEETNA,0299667
1168991,5395391,-161.75,61.01667,ALASKA,BETHEL,
5479,31908,-149.37,60.48,ALASKA,MOOSE PASS,0299631
5479,31908,-149.37,60.4366,ALASKA,MOOSE PASS,0299631
1168993,5395470,-147.88333,63.35,ALASKA,TALKEETNA,
126683,759365,-158.3622,59.5846,ALASKA,ALEKNAGIK,0299576
126683,759363,-160.7668,60.5988,ALASKA,KWETHLUK,
1168992,5395392,-163.53333,60.8,ALASKA,BETHEL,
126683,759363,-162.1483,60.1045,ALASKA,EEK,
1168993,5395471,-157.48333,62.1,ALASKA,MCGRATH,
1190980,5456341,-150.8667,60.38333000000001,ALASKA,SOLDOTNA,0299669
1190980,5456339,-149.8167,61.4,ALASKA,WASILLA,0299654
1168993,5395393,-142.33333000000002,61.433330000000005,ALASKA,MCCARTHY,0299566
