EPISODE_ID,EVENT_ID,LONGITUDE,LATITUDE,STATE,LOCATION,ZIPCODE
110383,659793,-110.8002,32.6193,ARIZONA,ORACLE,0485623
1176792,5415715,-110.46667,31.96667,ARIZONA,BENSON,0485602
110383,659793,-110.7559,32.6226,ARIZONA,ORACLE,0485623
1214502,5517116,-112.9667,36.98333,ARIZONA,COLORADO CITY,0486021
1176792,5415715,-110.43333,31.96667,ARIZONA,BENSON,0485602
110384,661217,-110.9849,32.605,ARIZONA,ORACLE,0485739
45074,261137,-111.9061,34.7845,ARIZONA,CORNVILLE,0486325
57958,347633,-110.1939,31.4427,ARIZONA,HEREFORD,0485615
110383,659792,-110.8325,32.1918,ARIZONA,(DMA)DAVIS MONTHAN A,0485730
57958,347633,-110.2918,31.5505,ARIZONA,SIERRA VISTA,0485635
86744,538170,-110.22,31.91,ARIZONA,ST DAVID,0485630
131440,786459,-110.0701,34.9819,ARIZONA,HOLBROOK,0486025
131441,786460,-111.32,33.95,ARIZONA,TONTO BASIN,0485541
131441,786460,-111.2343,33.9279,ARIZONA,PUNKIN CENTER,0485553
57958,347632,-111.0024,31.8373,ARIZONA,CONTINENTAL,0485622
86741,524794,-110.23,31.39,ARIZONA,BLEDSOE,0485615
1162749,5337113,-110.1,31.433329999999998,ARIZONA,HEREFORD,0485615
98203,590603,-110.4002,35.539,ARIZONA,EAST RED LAKE,0486047
1218584,5529476,-110.6167,31.9,ARIZONA,GREEN VLY,0485641
1218582,5530245,-110.75,31.53333,ARIZONA,PATAGONIA,0485624
98203,590603,-110.88,35.12,ARIZONA,LEUPP CORNER,0486047
1214505,5517119,-114.05,35.2,ARIZONA,KINGMAN,0486401
86741,524794,-110.2603,31.4891,ARIZONA,BLEDSOE,0485650
86741,524793,-110.96,32.46,ARIZONA,ORO VLY,0485755
97498,588802,-109.52,31.35,ARIZONA,DOUGLAS ARPT,0485607
97500,590236,-111.0861,31.9668,ARIZONA,SAN XAVIER,0485629
57958,347632,-110.9619,31.9196,ARIZONA,GREEN VLY,0485629
110383,659792,-110.84,32.18,ARIZONA,(DMA)DAVIS MONTHAN A,0485730
131440,786459,-110.09,34.97,ARIZONA,SUN VLY,0486029
131440,786458,-110.7329,35.6702,ARIZONA,EAST RED LAKE,
1214504,5517118,-113.9667,35.26667,ARIZONA,KINGMAN,0486401
1214507,5517121,-114.2,35.9,ARIZONA,DOLAN SPGS,0486444
11043,60805,-111.8868,33.6868,ARIZONA,SCOTTSDALE MUNI,0485255
97500,590236,-110.9815,31.9389,ARIZONA,SAHUARITA,0485614
111100,662825,-109.6159,32.8182,ARIZONA,SOLOMON,0485546
1162750,5337114,-110.93333,32.23333,ARIZONA,TUCSON,0485716
99315,596359,-112.32,34.61,ARIZONA,ENTRO,0486314
99315,596359,-112.4863,34.5225,ARIZONA,MILLER VLY,0486303
98207,590609,-110.72,35.03,ARIZONA,(INW)WINSLOW ARPT,0486047
98203,590606,-110.69,35.29,ARIZONA,WINSLOW,0486047
131440,786456,-109.0508,35.7175,ARIZONA,FT DEFIANCE,0486515
1158450,5378231,-110.78333,33.4,ARIZONA,GLOBE,0485501
1158447,5379580,-110.78333,33.4,ARIZONA,GLOBE,0485501
98203,590604,-111.07,35.03,ARIZONA,TWO GUNS,0486047
131440,786456,-109.09,35.66,ARIZONA,ST MICHAELS,0486511
1176794,5415717,-111.1,32.23333,ARIZONA,TUCSON,0485745
131440,786457,-111.3285,35.8089,ARIZONA,CAMERON,0486020
131440,786458,-110.84,35.55,ARIZONA,EAST RED LAKE,0486035
131440,786457,-111.37,35.76,ARIZONA,GRAY MTN,0486020
45074,262034,-109.08,36.93,ARIZONA,TEEC NOS POS ARPT,0486514
110440,659830,-110.04,34.28,ARIZONA,SHOW LOW,0485901
22593,132755,-112.12,35.98,ARIZONA,TUSAYAN,0486023
485,2025,-111.12,32.42,ARIZONA,MARANA,0485742
495,2034,-110.35,32.86,ARIZONA,KLONDYKE,0485643
22692,133177,-113.12,35.09,ARIZONA,SELIGMAN,0486337
36890,214732,-111.82,33.2266,ARIZONA,CHANDLER ARPT,0485249
36889,214572,-114.6,32.65,ARIZONA,(YUM)YUMA INTL ARPT,0485365
36883,214490,-112.31,33.47,ARIZONA,TOLLESON,0485392
110501,660015,-110.27,31.51,ARIZONA,SIERRA VISTA,0485650
17627,101958,-110.19,31.44,ARIZONA,HEREFORD,0485615
1213987,5518690,-112.0667,32.86667,ARIZONA,STANFIELD,0485139
45236,262427,-114.155,35.2015,ARIZONA,GOLDEN VALLEY,0486413
45236,262425,-113.9737,35.2023,ARIZONA,(IGM)MOJAVE CO ARPT,0486401
45236,262425,-113.9821,35.1859,ARIZONA,GETZ,0486401
45074,265767,-111.8672,35.0205,ARIZONA,KACHINA VILLAGE,
45074,265767,-111.876,34.981,ARIZONA,SEDONA ARPT,
45074,262034,-109.0438,36.9902,ARIZONA,TEEC NOS POS ARPT,
131361,785978,-111.0821,32.3622,ARIZONA,CORTARO,0485742
131361,785979,-109.7909,32.3058,ARIZONA,WILLCOX,0485643
45236,262432,-114.2716,35.5911,ARIZONA,DOLAN SPGS,0486441
131361,785981,-111.07,31.7,ARIZONA,AMADO,0485645
22526,132319,-112.19,35.24,ARIZONA,WILLIAMS,0486046
22513,132176,-111.62,35.19,ARIZONA,SUNNYSIDE,0486004
1188896,5446907,-110.6,34.43333,ARIZONA,HEBER,0485928
1188895,5446906,-111.65,35.2,ARIZONA,FLAGSTAFF,0486001
45641,264923,-109.8412,36.1593,ARIZONA,COTTONWOOD,0486503
45641,264923,-109.85,36.15,ARIZONA,COTTONWOOD,0486503
45641,264929,-112.2734,35.1817,ARIZONA,PINE SPGS,0486046
45641,264929,-112.2453,35.2852,ARIZONA,WILLIAMS MUNI ARPT,0486046
1185298,5442086,-114.48333000000001,32.71667,ARIZONA,YUMA,0485365
1185299,5442088,-111.81667,33.41667,ARIZONA,MESA,0485203
22524,132315,-111.91,34.72,ARIZONA,CORNVILLE,0486325
1185299,5442089,-111.93333,33.9,ARIZONA,CAREFREE,0485331
1162657,5337925,-112.73333000000001,33.96667,ARIZONA,WICKENBURG,0485390
1162657,5337926,-111.93333,33.4,ARIZONA,TEMPE,0485282
66075,402452,-110.89,32.53,ARIZONA,ORACLE,0485739
66075,402453,-110.9193,32.5,ARIZONA,ORACLE,0485739
66076,402868,-112.74,32.27,ARIZONA,WHY,0485321
66076,402876,-110.9097,32.2497,ARIZONA,TUCSON,0485712
66076,402876,-110.9442,32.2722,ARIZONA,TUCSON,0485719
11242,61838,-110.75,33.18,ARIZONA,CHRISTMAS,
130976,783558,-114.0399,35.417,ARIZONA,HUALAPAI,0486409
1123326,5267874,-111.06667,36.6,ARIZONA,KAIBITO,0486053
1188855,5446985,-110.3,31.46667,ARIZONA,SIERRA VISTA,0485615
1188854,5446984,-110.26666999999999,31.46667,ARIZONA,SIERRA VISTA,0485615
1158454,5378235,-111.65,35.2,ARIZONA,FLAGSTAFF,0486001
45074,261974,-111.9271,34.9824,ARIZONA,SEDONA ARPT,0486046
45074,261974,-111.8613,35.2455,ARIZONA,INDIAN VLG,0486015
99330,596433,-109.33,35.67,ARIZONA,CROSS CANYON,0486511
1158451,5378232,-110.1,33.91667,ARIZONA,CEDAR CREEK,0485941
99330,596433,-109.2549,35.7355,ARIZONA,CROSS CANYON,0486511
99330,596429,-111.9751,35.2705,ARIZONA,PARKS,0486046
53223,319805,-110.4347,31.9932,ARIZONA,MESCAL,0485602
1158457,5378238,-110.95,34.1,ARIZONA,YOUNG,0485554
53224,328635,-110.8232,31.4647,ARIZONA,(OLS) NOGALES INTL ARPT,0485621
99330,596429,-111.65,35.4026,ARIZONA,FLAGSTAFF,0486001
45074,261973,-111.7788,35.4866,ARIZONA,BELLEMONT,
45074,261970,-111.7717,35.4738,ARIZONA,BELLEMONT,
45074,261970,-111.8707,34.9863,ARIZONA,SEDONA ARPT,
45074,261946,-111.29,34.483000000000004,ARIZONA,CLINTS WELL,0486024
45074,261946,-111.208,34.675,ARIZONA,BLUE RIDGE,0486024
7321,42041,-109.33,33.63,ARIZONA,HANNAGAN MEADOW,0485533
110440,659830,-110.03,34.3513,ARIZONA,SHOW LOW,0485901
45074,261973,-111.87700000000001,34.9976,ARIZONA,SEDONA ARPT,
1218587,5529479,-110.2167,31.51667,ARIZONA,SIERRA VISTA,0485650
1218588,5529480,-109.2667,33.7,ARIZONA,HANNAGAN MEADOW,0485922
45074,261976,-111.9816,34.2215,ARIZONA,BUMBLE BEE,0486333
