EPISODE_ID,EVENT_ID,LONGITUDE,LATITUDE,STATE,LOCATION,ZIPCODE
49980,293760,-94.13,36.25,ARKANSAS,LOWELL,0572745
27091,159032,-91.0928,34.3393,ARKANSAS,ST CHARLES,0572048
37592,219257,-91.0762,35.1853,ARKANSAS,BEMIS,0572101
49980,293759,-94.13,36.2066,ARKANSAS,LOWELL,0572764
12574,68926,-91.34,33.5606,ARKANSAS,HALLEY JCT,0571638
1185753,5440543,-92.4,34.53333,ARKANSAS,SARDIS,0572103
1185753,5440544,-92.35,34.55,ARKANSAS,EAST END,0572206
37590,219958,-91.8557,35.0246,ARKANSAS,JACKSONS STORE,0572176
27095,159054,-92.2324,34.9712,ARKANSAS,MACON,0572120
1094116,5141061,-94.23333000000001,35.48333,ARKANSAS,ALMA,0572921
12574,68925,-91.8481,33.3678,ARKANSAS,FOUNTAIN HILL,0571646
49980,293764,-93.9589,36.1802,ARKANSAS,GOSHEN,0572764
49980,293763,-94.17,36.07,ARKANSAS,FAYETTEVILLE,0572701
1185751,5440539,-92.11667,35.86667,ARKANSAS,MOUNTAIN VIEW,0572560
37590,223485,-91.32,35.35,ARKANSAS,FITZHUGH,0572006
1131984,5286430,-94.25,36.03333,ARKANSAS,FARMINGTON,0572730
1185753,5440542,-92.5,34.55,ARKANSAS,BAUXITE,0572011
49980,293762,-94.175,36.0654,ARKANSAS,FAYETTEVILLE,0572701
1185752,5440541,-92.8,34.36667,ARKANSAS,MALVERN,0572104
1185752,5440540,-92.8,34.36667,ARKANSAS,MALVERN,0572104
49980,293761,-94.17,36.07,ARKANSAS,FAYETTEVILLE,0572701
37590,224149,-93.0,36.32,ARKANSAS,BERGMAN,0572601
37590,219961,-91.1581,35.5099,ARKANSAS,BLACKVILLE,0572112
27095,159057,-91.4248,35.2186,ARKANSAS,WORDEN,
37590,219957,-92.1878,34.693000000000005,ARKANSAS,COLLEGE STATION,0572206
26937,159564,-92.85,33.92,ARKANSAS,SPARKMAN,0571763
26937,159565,-92.4,34.3,ARKANSAS,SHERIDAN,0572150
26937,159566,-92.18,34.3142,ARKANSAS,REDFIELD,0572150
37590,223483,-93.14,35.27,ARKANSAS,OAKLAND HGTS,0572801
37590,223343,-92.59,36.5,ARKANSAS,PRICE PLACE,
1203708,5486914,-94.41667,34.31667,ARKANSAS,BOG SPGS,0571973
37590,219960,-91.6396,35.2327,ARKANSAS,KENSETT,0572143
37590,219961,-91.2711,35.446,ARKANSAS,WELDON,0572112
26937,159563,-92.92,35.03,ARKANSAS,ADONA,0572001
1203708,5486915,-94.36667,34.35,ARKANSAS,HATTON,0571937
26937,165561,-93.05,34.5,ARKANSAS,HOT SPGS,0571901
26937,159569,-91.3176,34.3102,ARKANSAS,DE WITT,0572042
26937,159568,-93.07,34.1345,ARKANSAS,ARKADELPHIA,0571923
37590,223343,-92.6096,36.4877,ARKANSAS,PRICE PLACE,0565729
37590,223299,-94.303,34.8565,ARKANSAS,BRAWLEY,0572958
37590,219957,-92.0757,34.8164,ARKANSAS,JACKSONVILLE,0572117
37590,219958,-92.0757,34.8164,ARKANSAS,KERR,0572117
27095,159066,-91.3771,35.6084,ARKANSAS,ELMO,0572112
26937,159567,-92.8,34.37,ARKANSAS,MALVERN,0572104
20008,119296,-93.13,35.02,ARKANSAS,BIRTA,0572853
37590,219956,-92.3061,34.5817,ARKANSAS,LANDMARK,0572206
37590,219960,-91.6726,35.2105,ARKANSAS,KENSETT,0572082
37590,219956,-92.2257,34.6696,ARKANSAS,SWEET HOME,0572206
37590,223484,-93.52,34.7,ARKANSAS,STORY,0571970
