EPISODE_ID,EVENT_ID,LONGITUDE,LATITUDE,STATE,LOCATION,ZIPCODE
1092919,5137480,-121.43333,41.0,CALIFORNIA,FALL RIVER MILLS,0696028
134455,805594,-121.88,37.33,CALIFORNIA,SAN JOSE,0695112
134455,805596,-121.88,37.33,CALIFORNIA,SAN JOSE,0695112
89829,541069,-121.52,40.85,CALIFORNIA,CASSEL,0696040
1112179,5236434,-123.48333000000001,40.81667,CALIFORNIA,BURNT RANCH,0695527
1144622,5322835,-116.75,32.83333,CALIFORNIA,ALPINE,0691901
134455,805593,-121.9015,37.3448,CALIFORNIA,BURBANK,0695110
89829,541071,-121.57,40.84,CALIFORNIA,(BNY)BURNEY,
1175120,5411332,-116.6,33.55,CALIFORNIA,ANZA,0692539
105560,633223,-119.0739,35.3992,CALIFORNIA,GREEN ACRES,0693308
36103,209222,-118.7893,34.1411,CALIFORNIA,GREENWICH VLG,0691301
1199539,5478753,-122.3,40.45,CALIFORNIA,ANDERSON,0696007
1092920,5137481,-121.08333,38.01667,CALIFORNIA,LINDEN,0695236
72822,439462,-120.57,38.43,CALIFORNIA,PIONEER,0695666
89557,539357,-116.85,34.4437,CALIFORNIA,BIG BEAR CITY,0692356
1134418,5290960,-119.56667,36.7,CALIFORNIA,SANGER,0693657
1199537,5478751,-121.3667,38.63333,CALIFORNIA,SACRAMENTO,0695821
1188751,5446563,-120.7,37.45,CALIFORNIA,BALLICO,0695303
120738,723121,-121.5,40.8,CALIFORNIA,HAT CREEK,0696040
105560,633226,-119.3225,36.1873,CALIFORNIA,EAST TULARE VILLA,0693274
1200990,5481130,-118.0833,34.18333,CALIFORNIA,PASADENA,0691107
62569,430360,-120.32,36.63,CALIFORNIA,TRANQUILITY,
1200991,5481131,-118.0333,34.05,CALIFORNIA,EL MONTE,0691733
1199533,5478747,-120.8,37.53333,CALIFORNIA,DENAIR,0695316
1134416,5290956,-119.65,36.88333,CALIFORNIA,(FAT) AIR TERMINAL,0693619
1208434,5504786,-117.5833,33.86667,CALIFORNIA,CORONA,0692882
134635,806816,-124.12,40.93,CALIFORNIA,MC KINLEYVILLE,0695519
1134418,5290959,-119.51666999999999,36.73333,CALIFORNIA,CENTERVILLE,0693657
1134416,5290956,-119.66667,36.86667,CALIFORNIA,(FAT) AIR TERMINAL,0693619
1217895,5525063,-122.5333,41.73333,CALIFORNIA,MONTAGUE,0696064
1134418,5290959,-119.5,36.73333,CALIFORNIA,CENTERVILLE,0693657
72822,439470,-121.5366,37.842,CALIFORNIA,JANNEY,0695206
1208467,5503749,-121.0,37.65,CALIFORNIA,MODESTO,0695354
1134418,5290961,-119.5,36.75,CALIFORNIA,SANGER,0693657
84199,508194,-121.9744,39.8435,CALIFORNIA,ANITA,0695973
1199532,5478746,-121.6667,39.1,CALIFORNIA,YUBA CITY,0695993
55712,334072,-116.4,34.27,CALIFORNIA,LANDERS,0692285
1113653,5242660,-120.4,37.23333,CALIFORNIA,MERCED,0695341
1113653,5242660,-120.41667,37.25,CALIFORNIA,MERCED,0695341
70963,426458,-122.2564,39.2448,CALIFORNIA,MAXWELL,0695955
123196,738641,-121.92,37.72,CALIFORNIA,DUBLIN,0694568
1143256,5316463,-116.56667,32.6,CALIFORNIA,POTRERO,0691963
1206149,5494310,-116.8667,33.1,CALIFORNIA,RAMONA,0692065
1156685,5369991,-121.15,41.11667,CALIFORNIA,BIEBER,0696068
1156689,5369995,-120.08333,39.38333,CALIFORNIA,BOCA,0696161
1206149,5494308,-117.0667,33.13333,CALIFORNIA,ESCONDIDO,0692027
89665,539797,-118.48,37.84,CALIFORNIA,BENTON,0693512
55712,334076,-116.0667,35.2715,CALIFORNIA,BAKER,0692309
1158955,5378415,-118.08333,34.7,CALIFORNIA,LANCASTER,0693535
6655,38709,-114.6,34.83,CALIFORNIA,NEEDLES,0692363
1206149,5494310,-116.9333,33.1,CALIFORNIA,RAMONA,0692027
36103,209222,-118.7663,34.1508,CALIFORNIA,THOUSAND OAKS,0691301
36103,209223,-119.1754,34.2664,CALIFORNIA,WEST SATICOY,0693004
36103,209223,-119.1949,34.2518,CALIFORNIA,MONTALVO,0693003
36103,209224,-119.8773,34.4268,CALIFORNIA,ELLWOOD,0693117
36103,209224,-119.87700000000001,34.4248,CALIFORNIA,ELLWOOD,0693117
84199,508194,-121.9742,39.8435,CALIFORNIA,ANITA,0695973
19433,130000,-116.5759,34.3638,CALIFORNIA,LCRNE VLY SOGGY DRY,0692285
1158955,5378415,-118.13333,34.7,CALIFORNIA,LANCASTER,0693534
37637,218977,-122.55,39.73,CALIFORNIA,CHROME,0695963
1188751,5446563,-120.71667,37.45,CALIFORNIA,BALLICO,0695303
134587,806448,-124.08,40.89,CALIFORNIA,ALLIANCE,0695521
19433,130000,-116.5859,34.3505,CALIFORNIA,LCRNE VLY SOGGY DRY,0692285
1199528,5478741,-121.25,37.83333,CALIFORNIA,LATHROP,0695336
123196,738644,-122.0102,37.0599,CALIFORNIA,SCOTTS VLY,0695066
123196,738643,-122.00399999999999,37.3908,CALIFORNIA,SUNNYVALE,0694085
123196,738642,-121.8553,37.6688,CALIFORNIA,DUBLIN,0694566
134635,806815,-124.17,40.84,CALIFORNIA,MANILA,0695521
89558,539664,-117.15,33.73,CALIFORNIA,MENIFEE,0692585
89558,539667,-117.15,33.8,CALIFORNIA,NUEVO,0692567
89558,539671,-116.42,32.88,CALIFORNIA,MT LAGUNA AFS,0691948
134622,806626,-124.11,40.93,CALIFORNIA,MC KINLEYVILLE,0695519
70963,426458,-122.2521,39.243,CALIFORNIA,MAXWELL,0695955
134587,806475,-124.12,40.87,CALIFORNIA,NORTH SAMOA,0695521
1090791,5131512,-117.88333,34.08333,CALIFORNIA,COVINA,0691723
1206151,5494312,-117.3,33.05,CALIFORNIA,ENCINITAS,0692024
61578,374196,-121.3328,37.8778,CALIFORNIA,ORTEGA,0695206
1206150,5494311,-117.0667,33.13333,CALIFORNIA,ESCONDIDO,0692027
70798,425184,-121.83,36.88,CALIFORNIA,ELLICOTT,0695076
70798,425184,-121.82,36.9,CALIFORNIA,ELLICOTT,0695076
70963,426457,-122.1431,40.0531,CALIFORNIA,GERBER,0696035
70963,426457,-122.1467,40.0464,CALIFORNIA,GERBER,0696035
1185853,5440573,-117.43333,34.1,CALIFORNIA,FONTANA,0692335
134587,806458,-124.21,40.72,CALIFORNIA,FIELDS LNDG,0695503
134587,806461,-124.0,41.42,CALIFORNIA,ORICK,
1199532,5478746,-121.65,39.1,CALIFORNIA,YUBA CITY,0695993
1199512,5478641,-121.1667,38.68333,CALIFORNIA,FOLSOM,0695630
1199541,5478755,-121.4667,38.7,CALIFORNIA,SACRAMENTO,0695673
43000,250668,-117.0992,34.8077,CALIFORNIA,LENWOOD,
93361,560640,-119.79,35.48,CALIFORNIA,BLACKWELLS CORNER,0693251
14201,79780,-119.3308,36.3388,CALIFORNIA,CINOWTHS CORNER,0693291
124111,744769,-122.17,37.88,CALIFORNIA,ORINDA,0694563
1134419,5290964,-119.38333,36.68333,CALIFORNIA,NAVELENCIA,0693654
1134418,5290963,-119.31667,36.65,CALIFORNIA,ORANGE COVE,0693646
100133,599805,-118.1236,34.6021,CALIFORNIA,PALMDALE,0693550
35125,208489,-114.5654,33.6524,CALIFORNIA,EAST BLYTHE,0692225
100133,599805,-118.1322,34.6031,CALIFORNIA,DESERT VIEW HIGHLAND,0693551
100133,599804,-118.1283,34.5841,CALIFORNIA,PALMDALE,0693550
124111,744770,-121.8824,37.3354,CALIFORNIA,SAN JOSE,0695112
1178023,5418494,-117.56667,34.41667,CALIFORNIA,PHELAN,0692371
1178023,5418493,-116.45,34.11667,CALIFORNIA,YUCCA VLY,0692284
124111,744771,-121.93,36.63,CALIFORNIA,PACIFIC GROVE,0693950
1178023,5418492,-116.55,34.3,CALIFORNIA,YUCCA VLY,0692285
124111,744772,-121.8558,36.5928,CALIFORNIA,MONTEREY PNSLA ARPT,0693940
124111,744773,-122.22,37.78,CALIFORNIA,OAKLAND,0694601
124111,744774,-121.83,36.6,CALIFORNIA,DEL REY OAKS,0693955
124111,744775,-122.55,37.92,CALIFORNIA,MILL VLY,0694941
84195,508191,-121.344,38.775999999999996,CALIFORNIA,ROSEVILLE,0695747
84195,508192,-121.5339,38.8051,CALIFORNIA,PLEASANT GROVE,0695668
84195,508192,-121.5222,38.8063,CALIFORNIA,PLEASANT GROVE,0695668
100133,599804,-118.0996,34.5717,CALIFORNIA,PALMDALE,0693550
114975,689824,-124.22,40.64,CALIFORNIA,LOLETA,0695551
100133,599803,-118.3011,34.6177,CALIFORNIA,LEONA VLY,0693551
100133,599803,-118.2966,34.6172,CALIFORNIA,LEONA VLY,0693551
1178023,5418491,-117.56667,34.41667,CALIFORNIA,PHELAN,0692371
124111,744768,-121.92,36.55,CALIFORNIA,CARMEL,0693921
21556,127424,-115.6558,35.0114,CALIFORNIA,KELSO,
14201,79780,-119.3617,36.3301,CALIFORNIA,GOSHEN JCT,0693291
124111,744762,-122.27,37.87,CALIFORNIA,BERKELEY,0694704
1153099,5360240,-123.16667,40.51667,CALIFORNIA,PEANUT,0696041
135995,816027,-121.32,38.68,CALIFORNIA,FOOTHILL FARMS,0695621
135996,816038,-121.8766,39.7795,CALIFORNIA,(CIC)CHICO MUNI ARPT,0695973
1096817,5151291,-116.95,33.28333,CALIFORNIA,RINCON,0692082
1162831,5336866,-123.16667,40.38333,CALIFORNIA,FOREST GLEN,
1162956,5337821,-118.45,35.6,CALIFORNIA,LAKE ISABELLA,0693240
1193056,5458425,-116.6833,34.88333,CALIFORNIA,BARSTOW,0692365
84195,508185,-121.6654,39.7107,CALIFORNIA,PARADISE SKYPARK ARP,0695969
40787,237453,-122.9,41.55,CALIFORNIA,GREENVIEW,0696032
8210,47293,-118.1205,34.6482,CALIFORNIA,(WJF)WM FOX FLD LANC,0693535
1220745,5530855,-116.5167,32.63333,CALIFORNIA,CAMPO,0691906
84195,508185,-121.6702,39.71,CALIFORNIA,PARADISE SKYPARK ARP,0695969
