EPISODE_ID,EVENT_ID,LONGITUDE,LATITUDE,STATE,LOCATION,ZIPCODE
1095970,5147402,-103.06667,40.23333,COLORADO,PLATNER,0880743
104635,626715,-103.16,38.45,COLORADO,HASWELL,0881045
104635,626713,-103.16,38.45,COLORADO,HASWELL,0881045
32374,189604,-104.8,39.03,COLORADO,(AFF)USAF ACDMY COLO,0880921
1155161,5364934,-104.6,38.26667,COLORADO,PUEBLO,0881003
104635,626711,-103.74,38.05,COLORADO,ROCKY FORD,0881067
104635,626714,-103.17,38.45,COLORADO,HASWELL,0881045
43055,251160,-104.67,39.03,COLORADO,BLACK FOREST,0880908
1155161,5364933,-103.35,37.25,COLORADO,KIM,0881049
1155162,5365006,-104.45,38.78333,COLORADO,ELLICOTT,0880808
16260,93816,-104.46,39.35,COLORADO,KIOWA,0880117
32374,189606,-104.7,39.04,COLORADO,BLACK FOREST,0880908
32374,189605,-104.83,39.05,COLORADO,MONUMENT,0880921
32379,189621,-102.87,37.35,COLORADO,PRITCHETT,0881064
104636,626724,-102.0794,38.5388,COLORADO,TOWNER,0881071
104635,626712,-103.69,38.06,COLORADO,ROCKY FORD,0881067
43055,251170,-104.66,38.96,COLORADO,FALCON,0880908
16264,93820,-102.85,40.23,COLORADO,OTIS STANSFIELD ARPT,0880743
32380,189639,-105.14,38.39,COLORADO,FLORENCE,0881226
32380,189638,-105.01,37.68,COLORADO,FARISITA,0881040
32380,189637,-104.59,37.69,COLORADO,WALSENBURG,0881089
32380,189636,-105.01,37.65,COLORADO,FARISITA,0881089
86326,521120,-104.93,37.92,COLORADO,RYE,0881069
86326,521119,-103.75,38.06,COLORADO,ROCKY FORD,0881067
86326,521121,-104.33,37.26,COLORADO,(TAD)TRINIDAD ARPT,0881082
86326,521118,-104.94,37.91,COLORADO,RYE,0881069
86326,521116,-104.86,38.98,COLORADO,(AFF)USAF ACDMY COLO,0880840
32380,189635,-105.24,38.26,COLORADO,COAL CREEK,0881212
32380,189632,-105.39,38.19,COLORADO,SILVER CLIFF,0881252
32380,189630,-104.49,37.4,COLORADO,AGUILAR,0881020
32379,189624,-102.87,37.35,COLORADO,PRITCHETT,0881064
86325,521614,-104.61,38.98,COLORADO,FALCON,0880831
86326,521117,-105.03,37.98,COLORADO,RYE,0881069
86326,521615,-104.87,38.74,COLORADO,FT CARSON,0880906
1155164,5365301,-104.91667,39.11667,COLORADO,PALMER LAKE,0880133
87058,525512,-102.85,39.6,COLORADO,COPE,0880812
32386,189665,-104.89,37.92,COLORADO,COLORADO CITY,0881069
16275,101672,-103.39,38.63,COLORADO,KARVAL,0880823
16275,101671,-103.53,38.73,COLORADO,KARVAL,0880823
16275,101670,-103.34,38.79,COLORADO,BOYERO,0880821
16275,93859,-103.34,38.79,COLORADO,BOYERO,0880821
16273,93856,-104.83,40.58,COLORADO,SEVERANCE,0880615
16273,93855,-104.77,40.6,COLORADO,PIERCE,0880610
16273,93854,-103.83,40.91,COLORADO,KAUFMAN,0880742
16269,93849,-103.83,40.91,COLORADO,KAUFMAN,0880742
16269,93844,-104.52,40.39,COLORADO,GILL,0880644
32384,189660,-104.84,39.1,COLORADO,MONUMENT,0880132
32382,189658,-105.14,38.81,COLORADO,CRIPPLE CREEK,0880813
32380,189656,-104.65,37.4,COLORADO,AGUILAR,0881020
32380,189640,-104.44,37.77,COLORADO,WALSENBURG,0881089
1155164,5365302,-104.76666999999999,38.91667,COLORADO,COLORADO SPGS,0880918
43058,251176,-104.96,39.07,COLORADO,PALMER LAKE,0880133
32379,189622,-102.86,37.38,COLORADO,PRITCHETT,0881064
86325,521613,-106.09,38.66,COLORADO,BROWN CANON,0881201
43055,251171,-102.73,37.05,COLORADO,CAMPO,0881029
104635,626708,-104.61,38.96,COLORADO,FALCON,0880831
43055,251165,-104.66,39.1,COLORADO,BLACK FOREST,0880908
43055,251164,-104.66,39.05,COLORADO,BLACK FOREST,0880908
104635,626709,-104.46,38.56,COLORADO,FOUNTAIN,0880928
104635,626710,-104.14,37.79,COLORADO,CEDARWOOD,0881039
104504,626073,-102.8185,38.3743,COLORADO,EADS,0881036
104635,626707,-104.63,38.94,COLORADO,FALCON,0880927
18185,106574,-102.0913,39.93,COLORADO,VERNON,0880758
43055,251161,-104.75,39.09,COLORADO,BLACK FOREST,0880908
1155163,5365008,-104.3,38.96667,COLORADO,CALHAN,0880808
1155163,5365007,-104.81667,38.91667,COLORADO,COLORADO SPGS,0880919
16264,93823,-102.8,40.46,COLORADO,DAILEY,0880728
16264,93822,-102.83,40.34,COLORADO,OTIS STANSFIELD ARPT,0880759
16264,93821,-102.85,40.24,COLORADO,OTIS STANSFIELD ARPT,0880743
43055,251162,-104.78,39.1,COLORADO,MONUMENT,0880132
104635,626706,-104.75,38.88,COLORADO,PETERSON AFB,0880917
104635,626705,-104.61,38.98,COLORADO,FALCON,0880831
104504,626073,-102.8225,38.4299,COLORADO,EADS,0881036
104636,626724,-102.08,38.54,COLORADO,TOWNER,0881071
86325,521612,-104.51,38.82,COLORADO,SCHRIEVER AFB,0880930
1155164,5365300,-104.78333,39.01667,COLORADO,MONUMENT,0880921
104635,626702,-104.78,38.8,COLORADO,COLORADO SPGS,0880910
43055,251169,-104.77,38.92,COLORADO,COLORADO SPGS,0880918
43055,251168,-104.35,39.08,COLORADO,CALHAN,0880808
43055,251167,-104.34,39.07,COLORADO,CALHAN,0880808
104635,626703,-104.7,38.89,COLORADO,PETERSON AFB,0880922
104635,626704,-104.73,38.89,COLORADO,PETERSON AFB,0880917
86325,521417,-102.4932,38.2123,COLORADO,LAMAR,0881052
43055,251166,-104.65,39.08,COLORADO,BLACK FOREST,0880908
86325,521417,-102.4973,38.2166,COLORADO,LAMAR,0881052
104504,626076,-102.7865,38.1852,COLORADO,MC CLAVE,0881092
104504,626074,-102.8082,38.4118,COLORADO,EADS,0881036
104504,626074,-102.8083,38.4046,COLORADO,EADS,0881036
43055,251172,-104.66,39.1,COLORADO,BLACK FOREST,0880908
104636,626725,-102.0629,38.4645,COLORADO,TOWNER,0881071
32363,189527,-104.61,38.98,COLORADO,FALCON,0880831
104636,626726,-102.08,38.4845,COLORADO,TOWNER,0881071
32362,189506,-106.15,37.34,COLORADO,CAPULIN,0881124
1095970,5147474,-102.71667,40.63333,COLORADO,DAILEY,0880731
1095970,5147475,-102.83333,40.68333,COLORADO,FLEMING,0880728
32361,189505,-104.98,38.24,COLORADO,BEULAH,0881005
1095970,5147476,-102.61667,40.71667,COLORADO,DAILEY,0880731
1209921,5505407,-104.5167,39.41667,COLORADO,ELIZABETH,0880117
1209920,5505406,-103.95,39.53333,COLORADO,AGATE,0880828
86324,521108,-104.476,38.5867,COLORADO,FOUNTAIN,0880928
43054,251118,-104.69,38.89,COLORADO,PETERSON AFB,0880922
43054,251117,-104.74,38.9,COLORADO,PETERSON AFB,0880917
86324,521107,-104.24,38.2,COLORADO,BOONE,0881025
43054,251116,-105.21,38.96,COLORADO,DIVIDE,0880814
43054,251115,-104.72,38.87,COLORADO,PETERSON AFB,0880915
1138036,5306498,-102.86667,38.93333,COLORADO,KIT CARSON,0880825
1138036,5306499,-102.46667,39.01667,COLORADO,BETHUNE,0880810
1138036,5306501,-102.16667,39.05,COLORADO,ARAPAHOE,0880807
31018,181832,-102.27,39.31,COLORADO,BURLINGTON,0880807
86324,521106,-104.78,38.95,COLORADO,(AFF)USAF ACDMY COLO,0880920
5774,33812,-104.1806,38.7993,COLORADO,YODER,0880864
32362,189508,-104.98,38.08,COLORADO,BEULAH,0881023
32362,189509,-104.98,38.07,COLORADO,BEULAH,0881023
43054,251119,-104.72,38.96,COLORADO,BLACK FOREST,0880924
43054,251120,-104.74,38.91,COLORADO,PETERSON AFB,0880918
43054,251139,-104.77,38.83,COLORADO,COLORADO SPGS,0880910
43054,251138,-104.38,39.02,COLORADO,CALHAN,0880808
43054,251137,-104.77,38.83,COLORADO,COLORADO SPGS,0880910
43054,251135,-105.3,38.79,COLORADO,CRIPPLE CREEK,0880816
43054,251134,-105.3,38.79,COLORADO,CRIPPLE CREEK,0880816
1095970,5147473,-102.7,40.63333,COLORADO,FLEMING,0880731
43054,251133,-104.67,39.03,COLORADO,BLACK FOREST,0880908
43054,251132,-105.05,38.99,COLORADO,WOODLAND PARK,0880863
43054,251130,-105.28,38.81,COLORADO,CRIPPLE CREEK,0880816
