EPISODE_ID,EVENT_ID,LONGITUDE,LATITUDE,STATE,LOCATION,ZIPCODE
117182,704848,-73.07,41.93,CONNECTICUT,WINSTED,0906098
30842,181001,-71.97,41.7,CONNECTICUT,CANTERBURY,0906331
30842,180999,-71.97,41.9,CONNECTICUT,POMFRET,0906259
22926,134290,-72.98,41.88,CONNECTICUT,NEW HARTFORD,0906098
1137893,5306190,-73.21667,41.53333,CONNECTICUT,WOODBURY,0906798
129860,777914,-73.4435,41.1061,CONNECTICUT,NORWALK,0906854
22769,133565,-72.7096,41.5163,CONNECTICUT,MIDDLEFIELD,0906455
129860,777914,-73.5031,41.1363,CONNECTICUT,NEW CANAAN,0906840
30842,181001,-71.9894,41.7,CONNECTICUT,CANTERBURY,0906331
1093222,5139441,-73.41667,41.1,CONNECTICUT,NORWALK,0906854
77675,468585,-73.56,41.12,CONNECTICUT,NORTH STAMFORD,0906903
1137893,5306189,-73.41667,41.53333,CONNECTICUT,LANESVILLE,0906776
22926,134288,-73.07,41.93,CONNECTICUT,WINSTED,0906098
75149,454191,-73.36,41.95,CONNECTICUT,FALLS VLG,0906031
75149,454192,-72.97,41.93,CONNECTICUT,BARKHAMSTED,0906063
74849,461545,-72.52,41.98,CONNECTICUT,HAZARDVILLE,0906082
32047,187921,-72.9,41.82,CONNECTICUT,CANTON,0906019
32204,188670,-73.05,41.49,CONNECTICUT,UNION CITY,0906770
1093226,5139542,-72.1,41.35,CONNECTICUT,NEW LONDON,0906320
30842,181002,-72.25,41.83,CONNECTICUT,MANSFIELD,0906268
74849,461545,-72.51,41.99,CONNECTICUT,SCITICO,0906082
30842,181010,-71.97,41.9,CONNECTICUT,POMFRET,0906259
117182,706735,-72.97,41.94,CONNECTICUT,BARKHAMSTED,0906063
1117339,5252581,-73.31667,41.61667,CONNECTICUT,WASHINGTON,0906793
32091,188135,-72.3271,41.3018,CONNECTICUT,LYME,0906371
74845,462109,-72.41,41.72,CONNECTICUT,ANDOVER,0906232
22744,133410,-73.42,41.09,CONNECTICUT,NORWALK,0906854
1117339,5252582,-73.11667,41.8,CONNECTICUT,TORRINGTON,0906790
77675,468585,-73.63,41.1,CONNECTICUT,STANWICH,0906831
22744,133409,-73.13,41.2,CONNECTICUT,STRATFORD,0906614
1136601,5302850,-72.23333000000001,41.86667,CONNECTICUT,ELLINGTON,0906279
32336,189288,-73.422,41.3692,CONNECTICUT,BETHEL,0906801
22744,133408,-73.2,41.19,CONNECTICUT,BRIDGEPORT,0906604
22744,133405,-73.26,41.24,CONNECTICUT,SPORT HILL,0906612
131544,787004,-72.1966,41.7612,CONNECTICUT,MANSFIELD CENTER,0906250
19222,113367,-72.82,41.45,CONNECTICUT,WALLINGFORD,0906492
74845,462109,-72.21,41.77,CONNECTICUT,MANSFIELD CENTER,0906268
32336,189286,-73.525,41.3609,CONNECTICUT,RIDGEBURY,0906877
30862,181062,-72.6,41.85,CONNECTICUT,EAST WINDSOR,0906074
30862,181061,-72.57,41.97,CONNECTICUT,ENFIELD,0906082
131544,787004,-72.19,41.7636,CONNECTICUT,MANSFIELD CENTER,0906250
129860,790429,-73.49,41.14,CONNECTICUT,NEW CANAAN,0906840
1136601,5302850,-72.46667,41.9,CONNECTICUT,ELLINGTON,0906029
1136601,5302849,-72.6,41.85,CONNECTICUT,EAST WINDSOR,0906074
28819,169476,-72.48,41.82,CONNECTICUT,VERNON,0906066
28819,169472,-72.5015,41.8134,CONNECTICUT,VERNON,0906066
1134884,5296737,-73.18333,41.25,CONNECTICUT,TRUMBULL,0906611
28819,169469,-72.5051,41.8067,CONNECTICUT,MANCHESTER,0906042
21565,127487,-72.66,41.93,CONNECTICUT,(BDL)BRADLY FLD WNDS,0906096
32162,188516,-73.2,41.68,CONNECTICUT,MORRIS,0906763
1134892,5296942,-73.41667,41.48333,CONNECTICUT,BROOK FIELD,0906804
1134892,5297031,-73.21667,41.48333,CONNECTICUT,SOUTHBURY,0906488
19700,116910,-73.07,41.67,CONNECTICUT,THOMASTON,0906787
1137889,5306080,-73.41667,41.56667,CONNECTICUT,NEW MILFORD,0906776
1093226,5139544,-72.68333,41.28333,CONNECTICUT,GUILFORD,0906437
1093226,5139543,-72.65,41.55,CONNECTICUT,MIDDLETOWN,0906457
23176,135287,-73.2,41.36,CONNECTICUT,EAST VLG,0906468
