EPISODE_ID,EVENT_ID,LONGITUDE,LATITUDE,STATE,LOCATION,ZIPCODE
55315,349059,-75.76,39.71,DELAWARE,MILFORD XRDS,1019711
66246,412200,-75.5648,39.0979,DELAWARE,WYOMING,1019934
66246,412200,-75.5644,39.101,DELAWARE,WYOMING,1019934
1208194,5503503,-75.53333,39.16667,DELAWARE,DOVER,1019904
1208193,5503390,-75.56667,39.11667,DELAWARE,WYOMING,1019934
1208193,5503390,-75.61667,39.11667,DELAWARE,WYOMING,1019934
104064,622542,-75.62,38.96,DELAWARE,MASTEN,1019952
104064,622543,-75.37,38.73,DELAWARE,REDDEN,1019947
1208187,5503384,-75.3,38.58333,DELAWARE,MILLSBORO,1019966
1137316,5300588,-75.53333,39.16667,DELAWARE,DOVER,1019904
1208187,5503384,-75.06667,38.53333,DELAWARE,MILLSBORO,1019930
43537,261614,-75.75,39.68,DELAWARE,NEWARK,1019717
1181375,5427469,-75.58333,39.73333,DELAWARE,(ILG)WILMINGTON ARPT,1019804
1117667,5253827,-75.68333,39.81667,DELAWARE,WILMINGTON,
19207,132994,-75.58,39.68,DELAWARE,WILMINGTON MANOR,1019720
19207,133267,-75.08,38.72,DELAWARE,REHOBOTH BEACH,1019971
19207,133845,-75.57,39.67,DELAWARE,NEW CASTLE,1019720
19207,133845,-75.67,39.63,DELAWARE,BEAR,1019701
1117667,5253827,-75.53333,39.75,DELAWARE,WILMINGTON,1019802
1181375,5427469,-75.6,39.68333,DELAWARE,(ILG)WILMINGTON ARPT,1019720
17075,115603,-75.69,39.69,DELAWARE,ROSEVILLE PARK,1019711
73797,462499,-75.75,39.68,DELAWARE,NEWARK,1019717
63564,393564,-75.73,39.45,DELAWARE,MIDDLETOWN,1019709
63564,393573,-75.57,39.67,DELAWARE,NEW CASTLE,1019720
63564,393571,-75.53,39.75,DELAWARE,WILMINGTON,1019802
73797,462498,-75.67,39.63,DELAWARE,BEAR,1019701
64836,408410,-75.7,39.4,DELAWARE,TOWNSEND,1019734
54805,343049,-75.1765,38.7583,DELAWARE,BELLTOWN,1019958
73640,460300,-75.74,39.65,DELAWARE,COOCH,1019713
73640,460300,-75.73,39.66,DELAWARE,COOCH,1019713
27698,170147,-75.53,39.75,DELAWARE,WILMINGTON,1019802
37820,234070,-75.68,39.78,DELAWARE,HOCKESSIN,1019707
54805,343049,-75.165,38.763000000000005,DELAWARE,NASSAU,1019958
5881,51139,-75.7,39.4,DELAWARE,TOWNSEND,1019734
1138980,5308427,-75.6,38.55,DELAWARE,LAUREL,1019956
1138980,5308427,-75.51666999999999,38.45,DELAWARE,LAUREL,
38969,240652,-75.67,39.63,DELAWARE,BEAR,1019701
38969,240651,-75.75,39.68,DELAWARE,NEWARK,1019717
1133834,5292618,-75.6,39.28333,DELAWARE,SMYRNA,1019977
54097,341551,-75.57,38.45,DELAWARE,DELMAR,
27582,168851,-75.43,38.92,DELAWARE,MILFORD,1019963
60017,362627,-75.61,38.63,DELAWARE,BLADES,1019973
37820,234065,-75.57,39.67,DELAWARE,NEW CASTLE,1019720
