EPISODE_ID,EVENT_ID,LONGITUDE,LATITUDE,STATE,LOCATION,ZIPCODE
27591,163076,-83.8334,34.0733,GEORGIA,THOMPSONS MILL,1330548
27591,163083,-83.5366,34.0131,GEORGIA,ARCADE,1330666
27591,163088,-84.38,33.9779,GEORGIA,SANDY SPGS,1330068
1203156,5489002,-83.98333000000001,30.95,GEORGIA,STOCKTON,1331773
1149356,5348066,-85.31667,33.96667,GEORGIA,PRESTON,1330125
1203149,5488910,-83.86667,31.26667,GEORGIA,SIGSBEE,1331744
1149355,5348809,-85.08333,33.58333,GEORGIA,CARROLLTON,1330117
1149355,5348810,-84.23333000000001,33.76667,GEORGIA,AVONDALE ESTATES,1330032
77032,464985,-83.78,32.1,GEORGIA,VIENNA,1331092
1203146,5488907,-83.8,31.25,GEORGIA,MOULTRIE,1331768
77035,464986,-82.48,32.08,GEORGIA,ALSTON,1330412
77036,464989,-84.5997,33.4057,GEORGIA,ABERDEEN,1330269
27591,163068,-84.4383,34.0512,GEORGIA,SANDY PLAINS,1330062
27591,163065,-84.05,33.43,GEORGIA,OLA,1330252
27591,163068,-84.6054,34.1022,GEORGIA,ACWORTH,1330102
1149355,5348809,-85.03333,33.56667,GEORGIA,CARROLLTON,1330116
1149355,5348811,-84.65,33.33333,GEORGIA,SHARPSBURG,1330277
27591,163063,-84.7494,33.9477,GEORGIA,DALLAS,1330157
1203145,5488906,-83.8,31.25,GEORGIA,MOULTRIE,1331768
1203143,5488903,-84.01666999999999,31.2,GEORGIA,COTTON,1331765
1185151,5441171,-84.45,33.36667,GEORGIA,LOGANVILLE,1330215
1185280,5441940,-83.51666999999999,34.51667,GEORGIA,CORNELIA,1330531
1149356,5348067,-84.78333,33.95,GEORGIA,AMERICUS,1330157
1203142,5488902,-83.98333000000001,31.21667,GEORGIA,HARTSFIELD,1331756
1203142,5488901,-84.15,31.133329999999997,GEORGIA,PELHAM,1331779
1203154,5489000,-83.86667,31.53333,GEORGIA,SYLVESTER,1331791
1149356,5348067,-84.91667,33.91667,GEORGIA,AMERICUS,1330132
53788,322611,-83.9,33.57,GEORGIA,PORTERDALE,1330014
27591,163076,-83.6394,34.0077,GEORGIA,WINDER,1330680
27591,163083,-83.5947,34.0595,GEORGIA,ARCADE,1330549
27591,163088,-84.3083,33.9688,GEORGIA,ROSWELL,1330350
27591,163089,-84.586,33.3522,GEORGIA,SHARPSBURG,1330276
1203144,5488905,-83.25,31.6,GEORGIA,OCILLA,1331774
1203147,5488908,-83.85,31.5,GEORGIA,SYLVESTER,1331791
27591,163065,-84.1674,33.45,GEORGIA,MC DONOUGH,1330253
1203142,5488900,-83.88333,31.48333,GEORGIA,GORDY,1331791
1203154,5489000,-83.85,31.53333,GEORGIA,SYLVESTER,1331791
1149353,5349601,-85.05,32.66667,GEORGIA,MULBERRY GROVE,1331808
53788,323143,-84.83,33.8838,GEORGIA,DALLAS,1330157
77037,464999,-83.3,32.51,GEORGIA,CARY,1331014
1185151,5440908,-84.58333,34.48333,GEORGIA,MENLO,1330175
1185151,5440909,-85.36667,34.4,GEORGIA,ADAIRSVILLE,1330747
1185151,5440909,-85.46667,34.48333,GEORGIA,ADAIRSVILLE,1330731
1185151,5440910,-84.95,34.36667,GEORGIA,ROME,1330103
1185151,5440910,-84.95,34.4,GEORGIA,ROME,1330103
1185151,5440911,-85.18333,34.25,GEORGIA,WALESKA,1330161
27591,163104,-84.27,33.25,GEORGIA,GRIFFIN,1330223
76941,464232,-83.29,34.57,GEORGIA,TOCCOA,1330577
1185151,5440912,-84.48333000000001,34.36667,GEORGIA,CANTON,1330114
1185151,5440913,-84.95,34.76667,GEORGIA,DALTON,1330721
1185151,5440914,-84.41667,34.18333,GEORGIA,CUMMING,1330115
27591,163210,-85.18,33.8,GEORGIA,BUCHANAN,1330113
1185151,5440914,-84.53333,34.23333,GEORGIA,CUMMING,1330114
1185151,5440915,-84.15,34.2,GEORGIA,ALPHARETTA,1330040
1185151,5440908,-84.41667,34.46667,GEORGIA,MENLO,1330143
1185151,5440916,-84.21667,34.06667,GEORGIA,CARTERSVILLE,1330005
27591,163210,-85.2693,33.8391,GEORGIA,FELTON,1330113
1185151,5440917,-84.8,34.16667,GEORGIA,DULUTH,1330120
1202830,5489482,-82.65,33.0,GEORGIA,LOUISVILLE,1331018
1149357,5349044,-84.85,34.25,GEORGIA,CASSVILLE,1330121
98489,595125,-84.7977,31.17,GEORGIA,COLQUITT,1339837
53788,323143,-84.75,33.87,GEORGIA,HIRAM,1330141
76975,464409,-84.5164,34.0783,GEORGIA,WOODSTOCK,1330188
76975,464416,-84.515,34.0772,GEORGIA,NOONDAY,1330188
76975,464416,-84.3832,33.9723,GEORGIA,MT BETHEL,1330068
76975,464466,-84.3832,33.9723,GEORGIA,ROSWELL,1330068
76975,464466,-84.3478,33.9548,GEORGIA,SANDY SPGS,1330338
53788,323510,-83.4226,32.2966,GEORGIA,HAWKINSVILLE,1331036
1202830,5487780,-84.36667,34.98333,GEORGIA,DALTON,1330555
1202830,5487778,-83.46667,32.96667,GEORGIA,CHATSWORTH,1331032
1185151,5440916,-84.3,34.06667,GEORGIA,CARTERSVILLE,1330009
1185151,5440907,-84.11667,34.41667,GEORGIA,HINTON,1330534
1149357,5349045,-85.2,34.01667,GEORGIA,CEDARTOWN,1330125
76975,464409,-84.515,34.0772,GEORGIA,WOODSTOCK,1330188
1202830,5489481,-83.81667,32.48333,GEORGIA,ST MARKS,1331030
27591,163199,-84.28,33.38,GEORGIA,HAMPTON,1330228
27591,163199,-84.1923,33.3398,GEORGIA,LUELLA,1330248
27591,163197,-83.3,34.02,GEORGIA,HULL,1330646
27591,163197,-83.22,34.03,GEORGIA,COLBERT,1330628
27591,163107,-84.3478,33.77,GEORGIA,ATLANTA,1330307
27591,163107,-84.3385,33.7188,GEORGIA,ATLANTA,1330316
27591,163104,-84.3067,33.2807,GEORGIA,GRIFFIN,1330223
1202830,5487785,-83.73333000000001,32.45,GEORGIA,TWIN CITY,1331069
1202830,5487784,-83.8,32.55,GEORGIA,THOMASTON,1331030
1202830,5487784,-83.88333,32.55,GEORGIA,THOMASTON,1331030
1202830,5487783,-84.41667,34.51667,GEORGIA,ORCHARD HILL,1330143
1202830,5487783,-84.4,34.5,GEORGIA,ORCHARD HILL,1330143
1202830,5482788,-84.33333,32.33333,GEORGIA,CONEY,1331806
98490,595145,-84.18,31.6,GEORGIA,ALBANY,1331707
1202830,5482787,-83.35,32.38333,GEORGIA,WRIGHTSVILLE,1331014
76974,464397,-84.3,33.43,GEORGIA,LAKE CINDY,1330228
76975,464404,-84.4666,34.1705,GEORGIA,UNIVETER,1330115
76975,464404,-84.5574,34.2662,GEORGIA,WALESKA,1330114
76975,464401,-83.8,33.9,GEORGIA,BOLD SPGS,1330656
76975,464400,-85.25,34.01,GEORGIA,CEDARTOWN,1330125
76974,464398,-84.01,33.35,GEORGIA,JACKSON HOWARD ARPT,1330234
53788,323138,-83.9239,33.7914,GEORGIA,WALNUT GROVE,1330052
1202830,5487777,-82.98333000000001,32.28333,GEORGIA,GREENSBORO,1331009
53788,323138,-83.87,33.78,GEORGIA,YOUTH,1330052
1202830,5482784,-84.13333,32.2,GEORGIA,BOLINGBROKE,1331711
1202830,5482784,-84.41667,32.15,GEORGIA,BOLINGBROKE,1331719
1202830,5482785,-84.53333,32.06667,GEORGIA,GRESSTON,1331824
1202830,5482786,-83.66667,32.08333,GEORGIA,FINLEYSON,1331092
1202830,5482786,-83.95,32.06667,GEORGIA,FINLEYSON,1331092
53788,323130,-82.8618,31.93,GEORGIA,WORKMORE,1331055
53788,323130,-82.9903,31.9812,GEORGIA,WORKMORE,1331055
1202830,5487777,-83.01666999999999,32.26667,GEORGIA,GREENSBORO,1331009
1185151,5440930,-83.9,33.98333,GEORGIA,HELEN,1330019
1185151,5440930,-84.03333,34.1,GEORGIA,HELEN,1330518
53900,322892,-84.87,31.04,GEORGIA,DONALSONVILLE,1339845
1202830,5483082,-83.21667,34.03333,GEORGIA,DEXTER,1330628
1202830,5489483,-83.51666999999999,32.43333,GEORGIA,CADWELL,1331047
1202830,5489484,-83.36667,32.46667,GEORGIA,JAMES,1331014
1185649,5440041,-82.23333000000001,32.81667,GEORGIA,MIDVILLE,1330441
1202830,5483083,-84.43333,32.38333,GEORGIA,LA GRANGE,1331803
1202830,5483083,-84.56667,32.36667,GEORGIA,LA GRANGE,1331803
1202830,5483084,-84.11667,32.51667,GEORGIA,MOBLEY CROSSING,1331076
1202830,5483084,-84.36667,32.46667,GEORGIA,MOBLEY CROSSING,1331058
1185151,5441095,-84.38333,33.91667,GEORGIA,SHARON,1330328
27591,163102,-84.5899,33.3983,GEORGIA,CLOVER,1330269
27591,163102,-84.47,33.28,GEORGIA,BROOKS,1330205
27591,163089,-84.68,33.4,GEORGIA,THOMAS XRDS,1330265
1202830,5483085,-83.35,32.68333,GEORGIA,OCONEE,1331044
1185151,5441096,-84.38333,33.8,GEORGIA,SANDY SPGS,1330309
1185151,5441097,-83.51666999999999,33.73333,GEORGIA,ATLANTA,1330621
1185151,5441099,-84.33333,33.9,GEORGIA,DIALTOWN,1330319
1149353,5349600,-84.28333,33.45,GEORGIA,JONESBORO,1330228
