EPISODE_ID,EVENT_ID,LONGITUDE,LATITUDE,STATE,LOCATION,ZIPCODE
25577,149420,-158.0639,21.3398,HAWAII,BARBERS PT HOUSING,1596707
1183227,5431177,-155.23333,19.41667,HAWAII,PAHALA,1596778
1205139,5495610,-155.9167,19.53333,HAWAII,KEALAKEKUA,1596750
61210,365979,-159.3489,22.0988,HAWAII,KAPAA,1596746
61210,365978,-155.6384,20.0278,HAWAII,KAMUELA,1596743
60872,363859,-157.7856,21.2703,HAWAII,KAHALA,1596816
1183413,5432479,-158.03333,21.41667,HAWAII,WAIPAHU,1596797
1131913,5287437,-159.3,22.116670000000003,HAWAII,ANAHOLA,1596746
1205147,5495618,-156.35,20.91667,HAWAII,HAIKU,1596779
61210,365989,-157.7486,21.4283,HAWAII,KANEOHE STATION,1596734
24864,144604,-159.6577,21.9422,HAWAII,PAKALA VILLAGE,1596769
24864,144604,-159.64700000000002,21.9493,HAWAII,PAKALA VILLAGE,1596716
1205140,5495611,-155.0833,19.53333,HAWAII,MOUNTAIN VIEW,1596771
61210,365989,-157.75,21.43,HAWAII,KANEOHE STATION,1596734
25577,149420,-158.0636,21.345,HAWAII,BARBERS PT HOUSING,1596707
1205135,5495606,-157.0,20.78333,HAWAII,KAUMALAPAU HARBOR,
35007,202026,-156.46,20.87,HAWAII,PUUNENE,1596732
22117,130336,-156.9359,20.8213,HAWAII,KOELE,1596763
60872,363859,-157.7108,21.3451,HAWAII,WAIMANALO,1596795
1183415,5432481,-155.06667,19.73333,HAWAII,HILO,1596720
22117,130336,-156.9404,20.8104,HAWAII,LANAI AIRPORT,1596763
1184363,5435250,-159.6,21.95,HAWAII,WAIMEA,1596769
12931,71352,-155.9908,19.7137,HAWAII,KAILUA KONA,1596740
1184363,5435250,-159.68333,21.95,HAWAII,WAIMEA,
61210,365980,-157.7523,21.4454,HAWAII,KANEOHE STATION,1596734
61210,365980,-157.7586,21.4476,HAWAII,KANEOHE STATION,1596734
94107,565974,-158.0498,21.3231,HAWAII,EWA BEACH,1596707
61210,365988,-155.99,20.77,HAWAII,HANA,1596713
61210,365988,-155.9885,20.763,HAWAII,HANA,1596713
12931,71352,-155.9015,19.5391,HAWAII,KEALAKEKUA,1596750
61210,365981,-157.79,21.41,HAWAII,KANEOHE,1596744
47550,277086,-156.4477,20.7719,HAWAII,I KIHEI,1596753
61210,365981,-157.7922,21.4079,HAWAII,KANEOHE,1596744
94107,565974,-158.0431,21.3283,HAWAII,EWA BEACH,1596707
61210,365979,-159.3508,22.0991,HAWAII,KAPAA,1596746
1183227,5431177,-155.46667,19.183329999999998,HAWAII,PAHALA,1596777
61210,365984,-157.7387,21.3988,HAWAII,KAILUA,1596734
61210,365982,-157.7487,21.4241,HAWAII,KAILUA,1596734
61210,365978,-155.6362,20.0259,HAWAII,KAMUELA,1596743
1131429,5281092,-155.91666999999998,19.53333,HAWAII,KEALAKEKUA,1596750
61210,365984,-157.74,21.4,HAWAII,KAILUA,1596734
80948,484635,-154.92,19.54,HAWAII,HAWAIIAN BEACHES,1596778
61210,365991,-157.7304,21.3804,HAWAII,KAILUA,1596734
61210,365991,-157.7154,21.3927,HAWAII,KAILUA,1596734
80948,484634,-155.11,19.67,HAWAII,HILO,1596720
1183212,5431047,-158.91666999999998,21.383329999999997,HAWAII,AIEA,
61210,365982,-157.7501,21.4258,HAWAII,KANEOHE STATION,1596734
1201984,5484719,-158.95,21.383329999999997,HAWAII,AIEA,
