EPISODE_ID,EVENT_ID,LONGITUDE,LATITUDE,STATE,LOCATION,ZIPCODE
1188654,5446135,-116.73333000000001,44.46667,IDAHO,MIDVALE,1683645
1150220,5351638,-112.45,43.03333,IDAHO,FT HALL,1683202
107871,646331,-115.9637,45.9858,IDAHO,HARPSTER,1683552
1174072,5407875,-113.93333,42.8,IDAHO,BURLEY,
90078,541260,-114.6197,42.6834,IDAHO,WENDELL,1683338
1174071,5407874,-111.96667,43.58333,IDAHO,UCON,1683401
107871,646330,-116.1202,45.9258,IDAHO,GRANGEVILLE,1683530
89374,538259,-116.0651,46.38,IDAHO,GREER,1683544
90078,587320,-114.48,42.48,IDAHO,(TWF)TWIN FALLS ARPT,1683301
124920,749345,-114.14,42.44,IDAHO,MURTAUGH,1683344
1150223,5351641,-112.3,43.08333,IDAHO,FT HALL,
1188651,5446132,-114.75,42.6,IDAHO,BUHL,1683316
1096312,5147256,-116.2,43.91667,IDAHO,HORSESHOE BEND,1683629
90078,541260,-114.71,42.65,IDAHO,WENDELL,1683316
1174073,5407876,-112.16667,42.66667,IDAHO,MC CAMMON,1683250
1210927,5510117,-115.9333,46.31667,IDAHO,WEIPPE,1683553
31263,183675,-112.4061,43.1391,IDAHO,BLACKFOOT,1683221
90078,587320,-114.87,42.52,IDAHO,CASTLEFORD,1683321
1181751,5425962,-116.68333,43.73333,IDAHO,EMMETT,1683607
1181751,5425963,-116.66667,43.86667,IDAHO,NEW PLYMOUTH,1683617
124608,749298,-116.68,43.63,IDAHO,MOSS,1683607
130156,779446,-111.98,42.03,IDAHO,WESTON,1683286
130156,779455,-111.5997,42.65,IDAHO,SODA SPGS,1683276
130156,779461,-111.58,42.65,IDAHO,SODA SPGS,1683276
130156,779476,-112.0,42.18,IDAHO,CLIFTON,1683228
130156,779480,-112.02,42.27,IDAHO,OXFORD,1683228
130156,779481,-111.8518,42.23,IDAHO,BANIDA,1683263
124608,749299,-116.28,44.99,IDAHO,NEW MEADOWS ARPT,1683654
124608,749299,-116.2999,45.0259,IDAHO,NEW MEADOWS ARPT,1683654
90679,544073,-112.12,43.37,IDAHO,SHELLEY,1683274
1191030,5456504,-113.7333,42.25,IDAHO,OAKLEY,1683346
111181,664045,-112.13,43.72,IDAHO,ROBERTS,1683444
1191032,5456568,-113.9,42.21667,IDAHO,OAKLEY,1683346
1191033,5456569,-113.55,42.25,IDAHO,ELBA,1683342
90080,541262,-114.5105,43.0047,IDAHO,GOODING,1683352
1191037,5456573,-112.5,42.01667,IDAHO,STONE,1683252
1191036,5456572,-112.7,42.01667,IDAHO,STONE,1683252
111282,664058,-111.92,43.67,IDAHO,RIGBY,1683442
111282,664058,-111.8775,43.7007,IDAHO,RIGBY,1683442
105835,634905,-111.7493,43.8735,IDAHO,REXBURG,1683448
105835,634903,-111.7658,43.8302,IDAHO,REXBURG,1683440
1213977,5518525,-111.65,42.65,IDAHO,SODA SPGS,1683276
107770,645835,-113.969,44.9,IDAHO,ELLIS,1683467
124920,749345,-114.1343,42.4576,IDAHO,MURTAUGH,1683344
6619,38518,-116.25,46.48,IDAHO,OROFINO,1683544
1150219,5351637,-112.45,42.91667,IDAHO,CHUBBUCK,1683202
1191035,5456571,-113.55,42.25,IDAHO,ELBA,1683342
90677,544074,-111.27,42.22,IDAHO,DINGLE,1683254
90080,541262,-114.72,42.93,IDAHO,GOODING,1683330
44659,259000,-111.834,43.6498,IDAHO,LORENZO,1683442
111181,664051,-111.88,42.87,IDAHO,CHESTERFIELD,1683217
48902,286160,-114.6665,42.57,IDAHO,TWIN FALLS,1683328
9879,55127,-116.62,43.71,IDAHO,CALDWELL HUBLER ARPT,1683644
64374,385542,-115.93,46.37,IDAHO,WEIPPE,1683553
64374,385536,-116.0506,46.3255,IDAHO,WOODLAND,1683536
31265,183701,-111.98,43.4555,IDAHO,AMMON,1683406
64374,385532,-115.9059,46.3299,IDAHO,WEIPPE,1683553
64374,385531,-116.0465,45.8788,IDAHO,GRANGEVILLE,1683530
105840,634943,-111.07,42.35,IDAHO,GENEVA,1683238
6619,38521,-116.0191,46.48,IDAHO,OROFINO,1683544
89374,538273,-116.0405,46.4016,IDAHO,WEIPPE,1683544
1176298,5414421,-113.0,43.63333,IDAHO,ARCO,
1176201,5413393,-116.08333,45.95,IDAHO,GRANGEVILLE,1683530
1176200,5413391,-115.43333,45.56667,IDAHO,ELK CITY,1683671
1176200,5413390,-115.43333,45.85,IDAHO,ELK CITY,1683525
1176200,5413389,-116.36667,45.71667,IDAHO,WHITE BIRD,1683554
1176200,5413388,-116.3,45.76667,IDAHO,WHITE BIRD,1683554
1176200,5413387,-115.43333,45.83333,IDAHO,ELK CITY,1683525
65807,394401,-116.81,46.4,IDAHO,LAPWAI,1683540
17407,100653,-116.9226,48.4186,IDAHO,COOLIN,1683856
31265,183697,-112.43,43.8155,IDAHO,TERRETON,1683450
41609,242359,-115.98,46.15,IDAHO,KOOSKIA,1683536
1172759,5404256,-115.46667,45.55,IDAHO,DIXIE,1683671
94950,570753,-112.13,43.72,IDAHO,ROBERTS,1683444
1176300,5414423,-112.11667,43.36667,IDAHO,SHELLEY,1683274
1176299,5414422,-111.46667,44.0,IDAHO,CHESTER,1683420
76046,458789,-116.4047,48.8408,IDAHO,COPELAND,1683805
31263,183673,-113.4927,42.6206,IDAHO,IDAHOME,1683350
