EPISODE_ID,EVENT_ID,LONGITUDE,LATITUDE,STATE,LOCATION,ZIPCODE
85666,517342,-90.12,39.89,ILLINOIS,PHILADELPHIA,1762691
1175149,5411659,-88.9,37.41667,ILLINOIS,VIENNA,1762995
62167,374220,-88.93,37.9,ILLINOIS,WEST FRANKFORT,1762896
82869,499900,-90.3015,39.8743,ILLINOIS,ARENZVILLE,1762611
19366,114422,-88.6254,40.5727,ILLINOIS,COLFAX,1761728
1207803,5499261,-87.88333,41.85,ILLINOIS,WESTCHESTER,1760154
115298,695484,-90.77,40.12,ILLINOIS,CAMDEN,1762319
1210757,5510220,-88.43333,39.41667,ILLINOIS,MATTOON,1761938
1207803,5499340,-87.8,41.75,ILLINOIS,BRIDGEVIEW,1760455
62167,373800,-88.78,37.31,ILLINOIS,NEW COLUMBIA,1762943
82869,499900,-90.2887,39.8832,ILLINOIS,ARENZVILLE,1762611
62167,373798,-88.0,38.26,ILLINOIS,GRAYVILLE,1762844
1150516,5352783,-88.5,37.25,ILLINOIS,TEMPLE HILL,1762938
40664,236536,-90.0798,40.3779,ILLINOIS,LEWISTOWN,1761542
19366,114422,-88.6139,40.568000000000005,ILLINOIS,COLFAX,1761728
19364,114409,-87.62,40.13,ILLINOIS,DANVILLE,1761832
19364,114406,-88.3554,39.8,ILLINOIS,TUSCOLA,1761953
1175147,5411599,-88.96667,38.36667,ILLINOIS,MT VERNON,1762864
40664,236532,-90.15,40.4,ILLINOIS,LEWISTOWN,1761542
62167,393596,-88.1708,38.0378,ILLINOIS,CARMI,1762821
1150516,5352429,-88.68333,37.3,ILLINOIS,HILLERMAN,1762960
40628,236695,-89.1438,41.111000000000004,ILLINOIS,MAGNOLIA,1761334
1207803,5499260,-87.96667,41.83333,ILLINOIS,OAK BROOK,1760523
62167,374221,-88.77,37.58,ILLINOIS,NEW BURNSIDE,1762967
40664,236534,-90.15,40.4,ILLINOIS,LEWISTOWN,1761542
19364,114405,-88.28,39.8,ILLINOIS,TUSCOLA,1761953
115298,692213,-88.8229,39.9522,ILLINOIS,ARGENTA,1762501
115298,692213,-88.8247,39.9516,ILLINOIS,ARGENTA,1762501
62167,373799,-88.84,37.52,ILLINOIS,TUNNEL HILL,1762972
1150516,5352429,-88.48333000000001,37.38333,ILLINOIS,HILLERMAN,1762938
40628,236695,-89.3142,41.1289,ILLINOIS,PUTNAM,1761336
19366,114689,-90.03,40.57,ILLINOIS,CANTON,1761520
85668,518850,-88.17,39.25,ILLINOIS,GREENUP,1762428
1210757,5510211,-89.13333,41.0,ILLINOIS,TOLUCA,1761369
52758,315308,-90.75,39.78,ILLINOIS,PERRY,1762362
52758,315309,-90.9912,39.7935,ILLINOIS,BEVERLY,1762312
52758,315683,-90.0776,38.7179,ILLINOIS,FOUR CORNERS,1762040
52758,315683,-90.13,38.72,ILLINOIS,GRANITE CITY,1762040
52758,315686,-89.9979,38.793,ILLINOIS,POAG,1762025
1151460,5356710,-89.36667,40.21667,ILLINOIS,GREEN VLY,1762656
1210756,5509670,-87.88333,39.33333,ILLINOIS,MARTINSVILLE,1762442
1095210,5147071,-88.45,42.33333,ILLINOIS,WOODSTOCK,1760098
52758,315687,-89.65,39.18,ILLINOIS,LITCHFIELD,1762056
1103577,5157909,-90.05,41.16667,ILLINOIS,GALVA,1761434
52758,315691,-88.77,38.83,ILLINOIS,FARINA,1762838
1095210,5147072,-88.01666999999999,41.96667,ILLINOIS,ITASCA,1760143
1095211,5144574,-89.18333,42.1,ILLINOIS,STILLMAN VLY,1761084
1151460,5356996,-89.16667,40.18333,ILLINOIS,EMDEN,1762512
5469,31881,-89.33,37.6833,ILLINOIS,MURPHYSBORO,1762966
1187720,5443178,-89.88333,39.28333,ILLINOIS,CARLINVILLE,1762626
