EPISODE_ID,EVENT_ID,LONGITUDE,LATITUDE,STATE,LOCATION,ZIPCODE
86664,523083,-85.85,41.24,INDIANA,WARSAW,1846580
63080,377790,-87.68,38.27,INDIANA,OWENSVILLE,1847665
1094363,5143838,-85.83333,40.51667,INDIANA,SWAYZEE,1846986
1094363,5142562,-86.41667,41.18333,INDIANA,DELONG,1846511
61187,369422,-86.38,39.76,INDIANA,AVON,1846123
61187,369425,-86.31,39.66,INDIANA,CAMBY,1846113
61187,369438,-86.11,39.97,INDIANA,CARMEL,1846033
61187,369445,-86.03,40.06,INDIANA,NOBLESVILLE,1846060
61187,369469,-85.27,39.81,INDIANA,STRAUGHN,1847327
1094363,5143839,-85.61667,40.48333,INDIANA,GAS CITY,1846933
61187,369483,-87.1254,39.5251,INDIANA,BRAZIL,1847834
61188,369515,-85.9041,39.2101,INDIANA,EAST COLUMBUS,1847201
61189,369546,-87.44,38.65,INDIANA,FRITCHTON,1847591
61189,369580,-87.32,38.86,INDIANA,FREELANDVILLE,1847512
1188893,5446897,-84.83333,40.56667,INDIANA,FAIRMOUNT,1847326
61189,369582,-87.4,38.96,INDIANA,CARLISLE,1847838
61189,369583,-87.31,39.11,INDIANA,CALEDONIA,1847882
61189,369584,-87.26,39.07,INDIANA,DUGGER,1847848
61187,369486,-86.1865,39.6959,INDIANA,SUNSHINE GARDENS,1846217
1094363,5143841,-86.63333,41.3,INDIANA,KNOX,1846534
1188893,5446594,-85.43333,40.45,INDIANA,WARREN,1847348
1188893,5446593,-85.56667,40.41667,INDIANA,WARREN,1846938
61187,369398,-87.125,39.5263,INDIANA,BRAZIL,1847834
1094374,5143057,-85.38333,40.55,INDIANA,ROLL,1847348
1094373,5142970,-87.03333,40.68333,INDIANA,WOLCOTT,1847995
61187,369403,-86.8598,39.6415,INDIANA,GREENCASTLE,1846135
61187,369404,-86.74,39.74,INDIANA,GROVELAND,1846105
61187,369405,-86.4702,40.0393,INDIANA,LEBANON,1846052
61187,369408,-86.39,39.7,INDIANA,PLAINFIELD,1846168
61187,369409,-86.39,39.7,INDIANA,PLAINFIELD,1846168
61187,369412,-86.37,39.62,INDIANA,MOORESVILLE,1846158
61187,369416,-86.27,39.95,INDIANA,EAGLE VLG,1846077
1094367,5142574,-85.31667,41.0,INDIANA,ABOITE,1846783
1094366,5142573,-85.81667,40.78333,INDIANA,WABASH,1846992
1094365,5142570,-85.48333000000001,40.88333,INDIANA,HUNTINGTON,1846750
1094364,5142565,-85.83333,40.78333,INDIANA,WABASH,1846992
1094364,5142564,-86.06667,40.75,INDIANA,PERU,1846970
1094364,5142563,-86.21667,41.06667,INDIANA,ROCHESTER,1846975
1188893,5446592,-85.66667,40.41667,INDIANA,WARREN,1846928
61189,369585,-86.99,38.77,INDIANA,RAGLESVILLE,1847558
1094360,5143830,-85.71667,41.23333,INDIANA,PIERCETON,1846562
1094360,5143829,-86.21667,41.11667,INDIANA,ROCHESTER,1846975
17140,99705,-84.93,39.63,INDIANA,LIBERTY,1847353
61189,370445,-86.2552,39.2784,INDIANA,BEAN BLOSSOM,1846160
61189,370446,-86.24,39.25,INDIANA,BEAN BLOSSOM,1847448
61189,370448,-86.2,39.33,INDIANA,SPEARSVILLE,1846160
61189,370449,-85.863,39.5883,INDIANA,FAIRLAND,1846126
61189,370450,-85.3865,40.1936,INDIANA,MUNCIE,1847305
61189,370461,-85.36,40.18,INDIANA,MAYFIELD,1847302
86003,524144,-87.5,41.55,INDIANA,MAYNARD,1846321
86003,524145,-87.4802,41.5742,INDIANA,HAMMOND,1846323
1188893,5446902,-85.43333,40.68333,INDIANA,FAIRMOUNT,1846792
1188893,5446903,-85.58333,40.4,INDIANA,FOWLERTON,1846928
1093718,5139125,-87.1,40.38333,INDIANA,WEST PT,1847970
1188893,5446904,-85.16667,40.78333,INDIANA,SHAMROCK LAKES,1846714
1123452,5268618,-87.45,39.93333,INDIANA,EMINENCE,1847928
1123452,5268619,-85.36667,39.91667,INDIANA,FRANKFORT,1847362
1123452,5268621,-86.48333000000001,39.58333,INDIANA,FISHERS,1846157
1093718,5139124,-87.25,40.45,INDIANA,PINE VLG,1847975
1093717,5140476,-85.95,40.28333,INDIANA,HOBBS,1846072
61189,370021,-86.2446,39.2057,INDIANA,NASHVILLE,1847448
61187,369396,-87.38,39.43,INDIANA,BELT JCT,1847802
61189,370017,-86.5311,39.1656,INDIANA,BLOOMINGTON,1847408
1188893,5446901,-85.43333,40.73333,INDIANA,REDKEY,1846792
1094359,5143828,-85.98333000000001,41.3,INDIANA,ATWOOD,1846582
1094359,5143761,-86.25,41.23333,INDIANA,ARGOS,1846501
1094359,5143759,-86.61667,41.16667,INDIANA,BEARDSTOWN,1846996
1094359,5143758,-86.7,41.21667,INDIANA,BASS LAKE,1846366
1094358,5143757,-86.9,41.08333,INDIANA,MEDARYVILLE,1847957
1094358,5143755,-86.78333,41.23333,INDIANA,NORTH JUDSON,1846366
1094358,5143754,-86.78333,41.21667,INDIANA,NORTH JUDSON,1846366
