EPISODE_ID,EVENT_ID,LONGITUDE,LATITUDE,STATE,LOCATION,ZIPCODE
97001,583415,-100.85,38.05,KANSAS,GARDEN CITY,2067846
97000,586884,-100.6161,37.353,KANSAS,PLAINS,2067869
3634,20357,-101.4752,39.33,KANSAS,EDSON,2067733
3634,20357,-101.4971,39.3709,KANSAS,EDSON,2067733
75148,454200,-99.88600000000001,39.8377,KANSAS,NORTON,2067654
77907,469957,-96.26,38.51,KANSAS,PLYMOUTH,2066835
1214847,5520466,-101.0167,38.7,KANSAS,SCOTT CITY,2067871
1178549,5418754,-97.11667,37.36667,KANSAS,UDALL,2067146
1178549,5418755,-97.11667,37.38333,KANSAS,UDALL,2067146
5918,35994,-99.2484,37.5637,KANSAS,GREENSBURG ARPT,2067054
5918,35930,-99.6728,37.2097,KANSAS,SITKA,2067831
77907,469953,-96.68,38.64,KANSAS,WILSEY,2066873
77907,469961,-95.22,38.59,KANSAS,OTTAWA,2066067
77907,469952,-96.94,38.67,KANSAS,HERINGTON,2067449
1155812,5367687,-95.46667,37.96667,KANSAS,IOLA,2066749
3760,20807,-94.84,37.2,KANSAS,STIPPVILLE,2066725
3760,20808,-94.7,37.34,KANSAS,KIRKWOOD,2066762
97000,586885,-100.5139,37.3285,KANSAS,COLLANO,2067869
1117290,5253585,-95.13333,38.1,KANSAS,KINCAID,2066039
1117290,5253584,-95.23333000000001,38.28333,KANSAS,GARNETT,2066032
97000,586885,-100.539,37.3006,KANSAS,COLLANO,2067869
97001,583414,-100.4,38.12,KANSAS,EMINENCE,2067835
1178549,5418756,-97.4,37.21667,KANSAS,WELLINGTON,2067152
1167295,5388677,-99.35,38.16667,KANSAS,ROZEL,2067574
3634,20354,-101.4435,39.9103,KANSAS,BIRD CITY,2067745
1167295,5388598,-99.88333,39.01667,KANSAS,WAKEENEY,2067672
1167295,5388599,-99.88333,39.01667,KANSAS,WAKEENEY,2067672
1167295,5388600,-99.83333,37.78333,KANSAS,WRIGHT,2067882
1167295,5388601,-99.75,37.85,KANSAS,SPEARVILLE,2067876
1167295,5388602,-99.55,38.93333,KANSAS,ELLIS,2067637
1167295,5388603,-99.75,38.48333,KANSAS,RANSOM,2067521
97001,586936,-100.56,38.29,KANSAS,AMY,2067839
1167295,5388604,-99.53333,37.95,KANSAS,KINSLEY,2067547
59197,354248,-96.5,37.11,KANSAS,CEDAR VALE,2067024
87917,530642,-101.54,39.3,KANSAS,EDSON,2067733
97001,586970,-100.3243,38.2756,KANSAS,ALAMOTA,2067839
1167295,5388678,-99.33333,38.2,KANSAS,ROZEL,2067550
1167295,5388604,-99.5,37.98333,KANSAS,KINSLEY,2067547
1167295,5388605,-99.48333000000001,37.96667,KANSAS,KINSLEY,2067547
1167295,5388605,-99.41667,38.08333,KANSAS,KINSLEY,2067547
1167295,5388606,-99.4,38.1,KANSAS,ROZEL,2067574
1167295,5388606,-99.35,38.11667,KANSAS,ROZEL,2067529
1155812,5367686,-95.43333,37.95,KANSAS,IOLA,2066749
87917,530641,-101.96,38.86,KANSAS,WESKAN,2067762
3634,20360,-102.0246,38.6847,KANSAS,TRIBUNE,2067879
1167295,5388607,-99.41667,38.03333,KANSAS,KINSLEY,2067547
97001,586970,-100.3038,38.2623,KANSAS,ALAMOTA,2067835
1167295,5388608,-99.31667,38.11667,KANSAS,SANFORD,2067529
1167295,5388609,-99.41667,38.9,KANSAS,YOCEMENTO,2067601
1155812,5367518,-97.75,37.63333,KANSAS,CHENEY,2067025
3634,20354,-101.4219,39.9503,KANSAS,BIRD CITY,2067745
86526,522178,-95.0,39.31,KANSAS,LEAVENWORTH,2066048
1117290,5253582,-97.63333,39.81667,KANSAS,BELLEVILLE,2066935
87917,530640,-101.75,38.9,KANSAS,SHARON SPGS,2067758
87917,530639,-101.8,38.9,KANSAS,SUNLAND,2067758
87917,530636,-101.75,38.85,KANSAS,SHARON SPGS ARPT,2067758
5918,35992,-99.4046,37.3954,KANSAS,MULLINVILLE,2067054
97001,583413,-101.16,37.7,KANSAS,HICKOK,2067880
1150391,5351323,-94.68333,38.8,KANSAS,STILWELL,2066085
1150391,5351324,-94.96667,38.7,KANSAS,ANTIOCH,2066021
1167466,5389716,-98.05,38.9,KANSAS,CLAFLIN,2067455
97001,586972,-100.3466,37.9812,KANSAS,CIMARRON ARPT,2067835
1155812,5367689,-95.3,37.91667,KANSAS,IOLA,2066751
1172916,5404904,-96.61667,39.43333,KANSAS,OLSBURG,2066520
1178549,5418753,-97.11667,37.38333,KANSAS,UDALL,2067146
97001,583412,-100.71,37.51,KANSAS,TICE,2067837
3634,20338,-101.4431,39.7777,KANSAS,BIRD CITY,2067745
1167466,5389717,-97.86667,38.68333,KANSAS,BARNARD,2067425
1167466,5389718,-98.43333,37.46667,KANSAS,ELLSWORTH,2067112
1178549,5418752,-96.83333,37.85,KANSAS,EL DORADO,2067042
1167466,5389719,-98.28333,37.45,KANSAS,ELLINWOOD,2067159
95324,572728,-101.71,39.35,KANSAS,GOODLAND,2067735
1150394,5351405,-95.01666999999999,38.93333,KANSAS,CLEARVIEW VLG,
1167466,5389720,-98.7,39.11667,KANSAS,LINCOLN,2067649
1167466,5389721,-98.96667,38.36667,KANSAS,WESTFALL,2067530
3634,20338,-101.4548,39.75,KANSAS,BIRD CITY,2067731
1117280,5253465,-97.11667,39.11667,KANSAS,ENTERPRISE,2067487
1117281,5253466,-96.51666999999999,39.83333,KANSAS,HOME,2066438
1150389,5352934,-94.81667,38.76667,KANSAS,SPRING HILL,2066083
1150389,5352850,-94.73333000000001,38.71667,KANSAS,BUCYRUS,2066013
1167294,5388597,-99.13333,37.1,KANSAS,COLDWATER,2067155
86526,522177,-95.19,39.56,KANSAS,ATCHISON EARHART ARP,2066002
86526,522176,-95.19,39.56,KANSAS,ATCHISON EARHART ARP,2066002
1117288,5253575,-96.08333,39.51667,KANSAS,HAVENSVILLE,2066432
69707,418225,-98.23,38.74,KANSAS,ELLSWORTH,2067439
69707,418226,-97.66,37.87,KANSAS,MT HOPE,2067108
