EPISODE_ID,EVENT_ID,LONGITUDE,LATITUDE,STATE,LOCATION,ZIPCODE
1187735,5443727,-85.91667,37.18333,KENTUCKY,BEDFORD,2142749
5454,31813,-89.02,36.87,KENTUCKY,BARDWELL,2142023
102442,612240,-84.63,38.88,KENTUCKY,WALTON,2141094
1187735,5443733,-85.31667,38.65,KENTUCKY,LEXINGTON,2140006
1187735,5443492,-86.9,37.93333,KENTUCKY,GLENDALE,2142351
52839,315885,-86.76,37.9,KENTUCKY,DOORWAY,2142348
1187735,5443493,-86.88333,36.85,KENTUCKY,FINCHVILLE,2142276
1187735,5443721,-85.91667,37.6,KENTUCKY,HORSE CAVE,2142740
48478,296053,-82.82,37.32,KENTUCKY,KITE,2141828
52839,316009,-84.46,38.04,KENTUCKY,LEXINGTON,2140505
1187735,5443731,-85.43333,37.96667,KENTUCKY,FRANKFORT,2140013
1187735,5443723,-85.53333,38.26667,KENTUCKY,ANCHORAGE,2140223
30904,181273,-84.2,36.82,KENTUCKY,CLIO,2140769
5438,31704,-88.63,37.08,KENTUCKY,PADUCAH,2142001
1187735,5443724,-86.88333,37.4,KENTUCKY,PROSPECT,2142320
85400,515809,-83.22,38.16,KENTUCKY,ORDINARY,2140351
85400,515810,-83.15,38.15,KENTUCKY,DEWDROP,2141171
62541,374175,-88.53,37.01,KENTUCKY,REIDLAND,2142003
30971,181585,-84.17,36.73,KENTUCKY,WILLIAMSBURG,2140769
30971,181582,-84.17,36.8,KENTUCKY,GOLDBUG,2140769
30971,181581,-84.17,36.73,KENTUCKY,WILLIAMSBURG,2140769
85400,515811,-83.46,37.42,KENTUCKY,TALBERT,2141339
1187735,5443490,-84.15,38.3,KENTUCKY,BROWNSVILLE,2140311
1148778,5346477,-84.08333,37.13333,KENTUCKY,LONDON,2140741
30971,183770,-83.42,37.5,KENTUCKY,CURT,2141339
5451,31797,-87.93,37.77,KENTUCKY,UNIONTOWN,2142461
5454,31805,-87.12,37.6977,KENTUCKY,OWENSBORO,2142301
1150492,5351681,-87.15,37.45,KENTUCKY,ISLAND,2142350
62541,374177,-87.99,37.55,KENTUCKY,STURGIS,2142459
5451,31796,-87.22,37.1345,KENTUCKY,WEIR,2142345
1187735,5443491,-84.3,37.75,KENTUCKY,BOWLING GREEN,2140475
30904,181284,-84.1,36.95,KENTUCKY,CORBIN,2140701
30971,183771,-84.17,36.6721,KENTUCKY,WILLIAMSBURG,2140769
5454,31805,-87.03,37.67,KENTUCKY,MASONVILLE,2142376
1187737,5443738,-85.76666999999999,38.23333,KENTUCKY,LOUISVILLE,2140208
1187735,5443489,-84.5,38.05,KENTUCKY,SONORA,2140507
62518,374070,-88.29,36.59,KENTUCKY,MURRAY,2142071
49215,288329,-88.8,37.09,KENTUCKY,HEATH,2142086
49215,288327,-88.98,37.02,KENTUCKY,SLATER,2142087
49215,288327,-88.8701,37.0507,KENTUCKY,CEREDO,2142053
49215,288324,-89.012,36.9944,KENTUCKY,SLATER,2142087
1150496,5351911,-88.88333,37.21667,KENTUCKY,MONKEYS EYEBROW,
1150496,5351911,-88.95,37.2,KENTUCKY,MONKEYS EYEBROW,2142053
62518,374069,-87.49,36.85,KENTUCKY,HOPKINSVILLE,2142240
49215,288324,-88.9528,37.02,KENTUCKY,SLATER,2142056
48478,296051,-82.95,37.24,KENTUCKY,LITTCARR,2141834
