EPISODE_ID,EVENT_ID,LONGITUDE,LATITUDE,STATE,LOCATION,ZIPCODE
95991,576650,-91.55,30.55,LOUISIANA,LIVONIA,2270757
4744,27185,-92.72,32.25,LOUISIANA,JONESBORO,2271251
4740,27180,-93.75,32.48,LOUISIANA,SHREVEPORT,2271104
25677,149943,-92.29,31.86,LOUISIANA,URANIA,2271480
4740,27179,-93.75,32.48,LOUISIANA,SHREVEPORT,2271104
71511,429963,-90.9,30.3,LOUISIANA,GALVEZ,2270769
4740,27178,-93.75,32.48,LOUISIANA,SHREVEPORT,2271104
71511,429951,-90.47,29.83,LOUISIANA,DES ALLEMANDS,2270030
71511,429952,-90.1,29.9,LOUISIANA,MARRERO,2270072
71511,429954,-90.1266,29.8834,LOUISIANA,WESTWEGO ARPT,2270072
71664,433365,-91.66,31.85,LOUISIANA,SICILY IS,2271368
92056,551570,-91.18,32.68,LOUISIANA,TRANSYLVANIA,2271286
71330,428701,-91.079,30.711,LOUISIANA,OLIVE BRANCH,2270791
20547,122409,-92.46,31.29,LOUISIANA,ALEXANDRIA,2271301
123905,744139,-92.8133,32.4519,LOUISIANA,UNION,2271275
20547,122408,-92.29,30.68,LOUISIANA,VILLE PLATTE,2270586
20541,122382,-92.03,30.22,LOUISIANA,LAFAYETTE,2270506
20541,122381,-92.03,30.22,LOUISIANA,LAFAYETTE,2270506
123905,744147,-92.6214,32.5157,LOUISIANA,RUSTON,2271270
20540,122380,-92.79,30.87,LOUISIANA,ELIZABETH,2270638
1147393,5344180,-92.0,29.95,LOUISIANA,DELCAMBRE,2270528
71511,429957,-90.1236,29.9295,LOUISIANA,NEW ORLEANS,2270118
71330,428700,-91.079,30.711,LOUISIANA,MILLDALE,2270791
93436,561047,-93.74,32.75,LOUISIANA,ALDEN BRIDGE,2271006
93436,561046,-93.74,32.69,LOUISIANA,BENTON,2271006
93436,561045,-93.47,31.57,LOUISIANA,MANY,2271449
71330,428700,-91.1972,30.6496,LOUISIANA,PLAINS,2270791
39855,233458,-91.8162,32.9868,LOUISIANA,BEEKMAN,2271220
123905,744147,-92.7249,32.4827,LOUISIANA,GRAMBLING,2271270
