EPISODE_ID,EVENT_ID,LONGITUDE,LATITUDE,STATE,LOCATION,ZIPCODE
54426,326887,-69.58,44.31,MAINE,WINDSOR,2304363
19251,113549,-70.48,45.22,MAINE,EUSTIS,2304936
54426,326885,-70.32,43.58,MAINE,SCARBOROUGH,2304074
55152,333269,-67.84,46.31,MAINE,MONTICELLO,2304760
104672,626962,-70.6901,44.12,MAINE,HARRISON,2304040
1213931,5518008,-70.23333000000001,44.1,MAINE,AUBURN,2304210
19251,113552,-70.8,43.88,MAINE,EAST HIRAM,2304041
1213931,5518006,-70.93333,43.8,MAINE,PORTER,2304068
76061,458876,-70.6581,44.5788,MAINE,ANDOVER,2304276
41057,238837,-69.97,44.13,MAINE,LITCHFIELD CORNERS,2304350
55157,333385,-68.18,47.04,MAINE,JEMTLAND,
76061,458875,-70.47,44.6634,MAINE,CARTHAGE,2304285
1213929,5517917,-70.48333000000001,44.13333,MAINE,OXFORD,2304270
19251,113550,-70.93,43.8,MAINE,PORTER,2304068
104672,626961,-69.56,44.76,MAINE,CANAAN,2304924
54426,326890,-69.75,44.32,MAINE,AUGUSTA,2304330
104672,626963,-70.17,44.1,MAINE,LEWISTON,2304240
1213929,5517911,-70.45,44.53333,MAINE,DIXFIELD,2304224
1213929,5517913,-70.56667,44.31667,MAINE,WEST PARIS,2304289
41057,238838,-69.67,44.0,MAINE,WISCASSET,2304578
55154,333315,-68.02,46.68,MAINE,PRESQUE ISLE,2304769
19340,114028,-70.47,43.9,MAINE,RAYMOND,2304071
41057,247083,-70.4637,44.2072,MAINE,SOUTH PARIS,2304281
88792,535368,-69.3571,44.9283,MAINE,FIVE CORNERS,2304971
76059,458849,-70.4,43.78,MAINE,WINDHAM CENTER,2304062
88791,535345,-70.587,43.8971,MAINE,THOMPSON PT,
54426,326889,-70.35,43.68,MAINE,WESTBROOK,2304092
76059,458848,-70.98,44.049,MAINE,FRYEBURG,2304037
104672,626958,-70.22,44.1,MAINE,AUBURN,2304240
54426,326886,-70.24,43.64,MAINE,CAPE COTTAGE,2304106
41057,247083,-70.3937,44.1729,MAINE,OXFORD KIMBALLS ARPT,2304238
89029,536516,-70.02,44.79,MAINE,WEST MILLS,2304938
104672,626951,-70.56,44.15,MAINE,NORWAY OXFORD CO ARP,2304270
54425,326869,-69.87,44.59,MAINE,ROME,2304963
1132487,5285593,-68.98333000000001,44.95,MAINE,BANGOR,2304427
33380,194226,-69.58,44.31,MAINE,WINDSOR,2304363
54426,326891,-70.25,43.63,MAINE,SOUTH PORTLAND,2304106
54426,326892,-69.97,44.39,MAINE,READFIELD,2304355
104672,626957,-70.35,44.11,MAINE,MINOT MAHEU ARPT,2304258
54426,326893,-69.97,43.91,MAINE,BRUNSWICK,2304011
