EPISODE_ID,EVENT_ID,LONGITUDE,LATITUDE,STATE,LOCATION,ZIPCODE
22071,131991,-76.81,39.46,MARYLAND,GLYNDON,2421136
1115566,5248048,-76.88333,38.66667,MARYLAND,BRANDYWINE,2420613
57162,342451,-77.0354,39.0343,MARYLAND,HOMEWOOD,2420902
28543,170715,-78.53,39.56,MARYLAND,TOWN CREEK,2421555
65789,394107,-76.34,39.43,MARYLAND,CLAYTON,2421085
65789,394108,-78.5719,39.6116,MARYLAND,RIDGELEY,2421555
65789,394109,-77.7196,39.4094,MARYLAND,ANTIETAM,2421782
65789,394557,-76.5519,39.3408,MARYLAND,KENWOOD,2421206
65789,395289,-77.2741,39.3319,MARYLAND,FOUNTAIN MILLS,2421754
65789,395346,-77.2465,39.3437,MARYLAND,FOUNTAIN MILLS,2421770
104468,625813,-75.92,38.87,MARYLAND,HILLSBORO,2421629
1215523,5520330,-77.1,39.55,MARYLAND,MT AIRY,2421776
65430,391775,-76.846,38.944,MARYLAND,BUENA VISTA,2420774
65789,394106,-76.5496,39.5076,MARYLAND,SUNNYBROOK,2421131
1209479,5507169,-76.51666999999999,39.16667,MARYLAND,PASADENA,2421122
28544,170727,-76.55,39.07,MARYLAND,SEVERNA PARK,2421146
1115568,5248119,-77.11667,39.11667,MARYLAND,OLNEY,2420855
19784,118072,-76.51,39.27,MARYLAND,DUNDALK,2421222
58002,347760,-79.39,39.38,MARYLAND,LOCH LYNN HGTS,2421550
19784,118073,-77.56,39.7,MARYLAND,RINGGOLD,2421783
57162,342450,-77.06,39.04,MARYLAND,KEN GAR,2420895
65430,391775,-76.834,38.953,MARYLAND,BUENA VISTA,2420706
10329,57475,-76.08,38.56,MARYLAND,CAMBRIDGE,2421613
1209479,5507170,-76.85,39.23333,MARYLAND,COLUMBIA,2421044
22071,131981,-77.22,39.14,MARYLAND,CLOPPER,2420878
22071,131982,-77.18,39.16,MARYLAND,MONTGOMERY VLG,2420879
65789,394103,-77.0465,39.6904,MARYLAND,SILVER RUN,2421158
22071,131984,-77.12,39.22,MARYLAND,LAYTONSVILLE,2420882
65430,391779,-76.388,39.504,MARYLAND,BENSON,2421047
22071,131985,-76.96,39.37,MARYLAND,SYKESVILLE,2421784
22071,131986,-76.89,39.49,MARYLAND,CEDARHURST,2421048
65789,394104,-76.9859,39.6929,MARYLAND,DEEP RUN,2421158
19788,118367,-76.44,38.24,MARYLAND,PARK HALL ARPT,2420653
1162283,5374130,-79.23333000000001,39.45,MARYLAND,SWANTON,2421561
19791,118413,-77.6394,39.3694,MARYLAND,PETERSVILLE,2421755
19889,118261,-75.7,38.2,MARYLAND,PRINCESS ANNE,2421853
22067,131967,-77.7,39.63,MARYLAND,FUNKSTOWN,2421740
1115568,5248118,-77.18333,39.16667,MARYLAND,MONTGOMERY VLG,2420879
22067,131969,-77.55,39.57,MARYLAND,WOLFSVILLE,2421773
16077,112866,-75.8922,38.7111,MARYLAND,PRESTON,2421655
65430,391802,-76.744,39.098,MARYLAND,TIPTON AAF ARPT,2420755
28541,167987,-78.78,39.61,MARYLAND,CUMBERLAND ARPT,
1118110,5254752,-76.83333,39.63333,MARYLAND,MANCHESTER,2421074
22067,131970,-76.6,39.0,MARYLAND,LUSBY XRDS,2421401
22071,132002,-76.18,39.59,MARYLAND,LEVEL,2421078
28053,178234,-75.8595,38.9107,MARYLAND,DENTON,2421660
65430,391806,-78.376,39.688,MARYLAND,PINEY GROVE,2421766
1118113,5254298,-76.85,39.1,MARYLAND,LAUREL,2420707
22067,131971,-76.57,39.14,MARYLAND,GREEN HAVEN,2421060
57162,367369,-76.195,39.58,MARYLAND,ALDINO ARPT,2421078
22067,131974,-76.567,39.14,MARYLAND,GREEN HAVEN,2421122
1118114,5254303,-77.41667,39.41667,MARYLAND,FREDERICK,2421701
22071,131996,-76.68,38.81,MARYLAND,DRURY,2420711
65430,393890,-76.8422,39.1764,MARYLAND,GUILFORD,2421045
53312,340669,-76.07,39.3,MARYLAND,LYNCH,2421678
22067,131977,-76.37,38.15,MARYLAND,DAMERON,2420628
1180149,5422178,-75.95,39.51667,MARYLAND,ELK NECK,2421901
1180148,5422177,-75.95,39.51667,MARYLAND,ELK NECK,2421901
22071,131997,-76.6,38.81,MARYLAND,SUDLEY,2420711
58425,350464,-76.223,39.6069,MARYLAND,GLENVILLE,2421078
1115567,5248117,-76.91667,38.63333,MARYLAND,WALDORF,2420601
1115567,5248115,-76.98333000000001,38.36667,MARYLAND,NEWBURG,2420664
1115566,5248048,-76.9,38.66667,MARYLAND,BRANDYWINE,2420613
1115567,5248115,-76.95,38.38333,MARYLAND,NEWBURG,2420664
22071,132001,-76.26,39.5,MARYLAND,CALVARY,2421015
19788,118368,-76.54,39.39,MARYLAND,OAKLEIGH,2421234
57162,342464,-77.695,39.5736,MARYLAND,ROXBURY,2421740
57162,342463,-77.7083,39.5017,MARYLAND,KEEDYSVILLE,2421713
1215523,5520234,-77.53333,39.56667,MARYLAND,ADAMSTOWN,2421773
38165,221828,-79.18,39.39,MARYLAND,KITZMILLER,2421538
38165,221827,-79.41,39.41,MARYLAND,OAKLAND,2421550
22062,131256,-76.88,39.01,MARYLAND,GREENBELT,2420770
1215523,5520233,-77.75,39.68333,MARYLAND,BRADDOCK HGTS,2421740
1215523,5520228,-76.91667,38.93333,MARYLAND,PALMER PARK,2420785
38165,221826,-79.41,39.41,MARYLAND,OAKLAND,2421550
29568,173374,-75.46,38.12,MARYLAND,GIRDLETREE,2421851
1180148,5422177,-75.95,39.5,MARYLAND,ELK NECK,2421901
38165,221825,-79.42,39.42,MARYLAND,OAKLAND,2421550
19464,115169,-75.7,38.2,MARYLAND,PRINCESS ANNE,2421853
22062,131257,-76.8,38.99,MARYLAND,SPRINGFIELD,2420769
1162282,5374129,-79.41667,39.41667,MARYLAND,OAKLAND,2421550
1215498,5519699,-76.46667,39.41667,MARYLAND,PERRY HALL,2421236
57162,342452,-76.9524,39.0778,MARYLAND,FAIRLAND,2420904
16077,112866,-75.9336,38.7083,MARYLAND,BETHLEHEM,2421655
19791,118413,-77.6351,39.3894,MARYLAND,BURKITTSVILLE,2421755
57162,342453,-76.8586,39.0977,MARYLAND,LAUREL,2420707
57162,342454,-76.5627,39.148,MARYLAND,GREEN HAVEN,2421060
22071,136700,-76.55,38.78,MARYLAND,DEALE,2420751
57162,342456,-77.9365,39.6577,MARYLAND,CLEAR SPG,2421722
22071,131992,-76.66,39.69,MARYLAND,FREELAND,2421120
22067,131959,-76.4,39.45,MARYLAND,FRANKLINVILLE,2421087
22071,131994,-76.71,39.66,MARYLAND,RAYVILLE,2421053
22071,136699,-76.54,38.8,MARYLAND,CHURCHTON,2420733
