EPISODE_ID,EVENT_ID,LONGITUDE,LATITUDE,STATE,LOCATION,ZIPCODE
1175725,5411917,-86.3,41.98333,MICHIGAN,EAU CLAIRE,2649111
57122,343066,-83.5,43.17,MICHIGAN,OTISVILLE,2648463
1099476,5163467,-83.38333,42.56667,MICHIGAN,PONTIAC,2648323
1099476,5163465,-83.61667,42.8,MICHIGAN,HOLLY,2648442
1099476,5163464,-82.53333,42.61667,MICHIGAN,ALGONAC,2648001
19642,116313,-85.05,44.6411,MICHIGAN,SIGMA,2649646
1100874,5155704,-84.45,42.38333,MICHIGAN,RIVES JCT,2649277
1099476,5163456,-83.68333,43.03333,MICHIGAN,FLINT,2648503
1099476,5163456,-83.61667,42.98333,MICHIGAN,FLINT,2648519
1099476,5163462,-82.48333000000001,42.71667,MICHIGAN,MARINE CITY,
68555,411907,-87.5843,46.5207,MICHIGAN,(MQT)MARQUETTE CO AR,2649866
1099476,5163461,-82.41667,42.98333,MICHIGAN,PORT HURON,
19648,116365,-86.1345,44.2268,MICHIGAN,HIGH BRIDGE,2649660
1099476,5163461,-82.45,43.05,MICHIGAN,PORT HURON,2648059
1099476,5163460,-82.6,43.26667,MICHIGAN,APPLEGATE,2648422
1099476,5163460,-82.63333,43.35,MICHIGAN,APPLEGATE,2648401
19648,116365,-86.1517,44.2181,MICHIGAN,STRONACH,2649660
19642,116314,-85.95,44.22,MICHIGAN,WELLSTON,2649689
19642,116318,-84.7313,44.9665,MICHIGAN,GAYLORD OTSEGO ARPT,2649735
1099476,5163457,-83.61667,42.91667,MICHIGAN,GRAND BLANC,2648439
1119941,5259144,-83.63333,41.76667,MICHIGAN,MANCHESTER,2648144
68555,411135,-87.62,45.12,MICHIGAN,MENOMINEE,2649858
1100876,5155711,-85.68333,44.03333,MICHIGAN,LUTHER,2649656
1099474,5175816,-83.4,43.48333,MICHIGAN,CARO,2648723
1099476,5163467,-83.36667,42.56667,MICHIGAN,PONTIAC,2648323
1099476,5163466,-83.28333,42.58333,MICHIGAN,PONTIAC,2648302
