EPISODE_ID,EVENT_ID,LONGITUDE,LATITUDE,STATE,LOCATION,ZIPCODE
76008,458608,-95.53,45.61,MINNESOTA,STARBUCK,2756381
76008,458598,-95.43,45.42,MINNESOTA,GILCHRIST,2756381
76008,458595,-95.85,45.7,MINNESOTA,DONNELLY,2756267
116061,697545,-92.49,43.99,MINNESOTA,ROCHESTER,2755902
1122564,5267158,-95.75,46.03333,MINNESOTA,EVANSVILLE,2756326
1095344,5144739,-94.9,44.11667,MINNESOTA,COMFREY,2756019
76008,458594,-95.9,45.58,MINNESOTA,MORRIS,2756267
1122564,5264278,-94.96667,44.25,MINNESOTA,SPRINGFIELD,2756087
1122676,5267004,-96.41667,45.8,MINNESOTA,WHEATON,2756296
1122564,5264277,-94.2,45.61667,MINNESOTA,SARTELL,2756379
1122676,5267003,-96.55,45.83333,MINNESOTA,WHEATON,2756296
76008,458621,-94.41,45.31,MINNESOTA,WATKINS,2755389
76008,458609,-95.38,45.65,MINNESOTA,GLENWOOD,2756334
76008,458596,-95.91,45.58,MINNESOTA,MORRIS,2756267
94857,570050,-93.66,46.07,MINNESOTA,ONAMIA,2756359
94857,570049,-94.51,46.12,MINNESOTA,RANDALL,2756475
127548,764642,-96.15,44.41,MINNESOTA,ARCO,2756113
76008,458597,-95.68,46.01,MINNESOTA,EVANSVILLE,2756326
127557,764665,-93.57,46.68,MINNESOTA,WAUKENABO,2756469
1122564,5264275,-94.53333,45.95,MINNESOTA,FLENSBURG,2756328
1122564,5264276,-94.95,45.3,MINNESOTA,NEW LONDON,2756273
1095344,5144741,-94.46667,44.23333,MINNESOTA,NEW ULM,2756073
76008,458620,-93.44,44.97,MINNESOTA,MINNETONKA,2755305
115959,696909,-94.99,47.13,MINNESOTA,LAKE GEORGE,2756470
1103352,5174958,-92.86667,46.13333,MINNESOTA,SANDSTONE,2755072
1122564,5267157,-95.55,44.58333,MINNESOTA,WOOD LAKE,2756297
115959,696907,-95.21,47.21,MINNESOTA,LAKE ITASCA,2756470
1135011,5295810,-92.93333,43.73333,MINNESOTA,AUSTIN,2755912
115959,696904,-95.42,47.19,MINNESOTA,ZERKEL,2756621
76008,458619,-93.5,44.87,MINNESOTA,EDEN PRAIRIE,2755346
115959,696908,-95.13,47.16,MINNESOTA,LAKE GEORGE,2756470
76008,458599,-95.4,45.52,MINNESOTA,TERRACE,2756334
76008,458607,-94.53,45.13,MINNESOTA,LITCHFIELD,2755355
76008,458618,-93.43,44.86,MINNESOTA,FLYING CLOUD ARPT,2755344
1095344,5144740,-94.96667,44.25,MINNESOTA,SPRINGFIELD,2756087
76008,458614,-93.99,45.07,MINNESOTA,WAVERLY,2755390
115959,696919,-94.6788,47.1841,MINNESOTA,BENEDICT,2756461
76008,458613,-94.83,45.52,MINNESOTA,SPRING HILL,2756352
115959,696919,-94.69,47.18,MINNESOTA,BENEDICT,2756461
76008,458601,-95.24,45.35,MINNESOTA,PENNOCK,2756289
76008,458612,-95.12,45.54,MINNESOTA,BROOTEN,2756316
76008,458615,-93.81,45.02,MINNESOTA,DELANO,2755328
1122564,5267156,-95.53333,44.88333,MINNESOTA,ASBURY,2756241
76008,458602,-95.05,45.27,MINNESOTA,NEW LONDON,2756273
1122564,5267078,-95.71667,45.03333,MINNESOTA,MONTEVIDEO,2756265
76008,458611,-94.2,45.08,MINNESOTA,COKATO,2755321
116061,697546,-92.27,44.45,MINNESOTA,LAKE CITY,2755041
1122564,5267078,-95.71667,45.08333,MINNESOTA,MONTEVIDEO,2756265
1095340,5145271,-94.53333,45.13333,MINNESOTA,LITCHFIELD,2755355
1095340,5145270,-93.6,45.56667,MINNESOTA,PRINCETON MUNI ARPT,2755371
1122564,5267155,-95.46667,44.85,MINNESOTA,MINNESOTA FALLS,2756260
76008,458603,-94.97,45.32,MINNESOTA,NEW LONDON,2756273
1135011,5295808,-92.9,44.16667,MINNESOTA,WEST CONCORD,2755985
