EPISODE_ID,EVENT_ID,LONGITUDE,LATITUDE,STATE,LOCATION,ZIPCODE
29860,174854,-89.6349,31.318,MISSISSIPPI,OTOB,2839482
29860,176628,-90.0185,31.3109,MISSISSIPPI,WHITE BLUFF,2839483
1125444,5275985,-89.83333,34.85,MISSISSIPPI,LEWISBURG,2838654
113057,676490,-89.669,31.8672,MISSISSIPPI,SARATOGA,2839111
113058,676279,-90.15,32.54,MISSISSIPPI,RICHTON,2839110
29860,174872,-89.67,31.6,MISSISSIPPI,WILLIAMSBURG,2839428
113057,676490,-89.6546,31.8904,MISSISSIPPI,MAGEE,2839111
29860,174872,-89.5812,31.6529,MISSISSIPPI,ORA,2839428
113058,676278,-90.13,32.4,MISSISSIPPI,TOUGALOO,2839157
93107,558464,-90.62700000000001,33.269,MISSISSIPPI,ISOLA,2838754
93844,564032,-90.38,31.08,MISSISSIPPI,EMERALD,2839652
17006,98223,-89.5839,32.9197,MISSISSIPPI,DOWELL,2839051
17006,98220,-89.73,32.796,MISSISSIPPI,ST ANN,2839051
93107,558456,-88.32,33.56,MISSISSIPPI,STEENS,2839766
113058,676277,-91.2733,31.6811,MISSISSIPPI,CHURCH HILL,2839120
113058,676277,-91.223,31.7155,MISSISSIPPI,CHURCH HILL,2839120
113058,676276,-90.04,32.34,MISSISSIPPI,LUCKNEY,2839232
93107,558446,-90.09,32.96,MISSISSIPPI,EBENEZER,2839095
29860,176633,-88.8379,33.7432,MISSISSIPPI,BIGSPRINGS,2839773
113058,676275,-89.9585,32.2138,MISSISSIPPI,ROOK HILL,2839042
1125444,5275985,-89.81667,34.88333,MISSISSIPPI,LEWISBURG,2838654
17006,98220,-89.6982,32.8219,MISSISSIPPI,THOMASTOWN,2839090
1125444,5274082,-89.88333,34.91667,MISSISSIPPI,PLEASANT HILL,2838654
93107,558464,-90.49,33.18,MISSISSIPPI,BELZONI,2839038
17006,98587,-89.3762,32.8897,MISSISSIPPI,MARYDELL,2839051
113058,676496,-89.3478,31.2738,MISSISSIPPI,BONHOMIE,2839402
1125444,5275996,-88.66667,33.73333,MISSISSIPPI,MULDON,2839730
113058,676282,-89.41,31.14,MISSISSIPPI,PURVIS,2839475
29860,176628,-89.9808,31.32,MISSISSIPPI,MORGANTOWN,2839483
29860,176629,-90.2764,31.4764,MISSISSIPPI,EAST LINCOLN,2839601
29860,176630,-90.2355,31.5909,MISSISSIPPI,NOLA,2839665
93107,564836,-91.006,33.52,MISSISSIPPI,PRISCILLA,2838703
29860,176631,-90.7302,31.5028,MISSISSIPPI,MC CALL CREEK,2839647
29860,176631,-90.7479,31.4994,MISSISSIPPI,QUENTIN,2839647
17006,98223,-89.5612,32.9316,MISSISSIPPI,DOSSVILLE,2839090
29860,176632,-89.7779,31.4897,MISSISSIPPI,BASSFIELD,2839427
93107,564835,-90.9,33.55,MISSISSIPPI,BUSEY,2838773
93107,564835,-91.01,33.67,MISSISSIPPI,DAHOMEY,2838726
17006,98634,-89.6155,31.156999999999996,MISSISSIPPI,BAXTERVILLE,2839455
29860,176632,-89.8057,31.4773,MISSISSIPPI,BASSFIELD,2839427
17006,98590,-89.324,32.931,MISSISSIPPI,ZAMA,2839090
17006,98590,-89.2773,32.9669,MISSISSIPPI,HINZE,2839350
52522,313915,-89.34,33.2,MISSISSIPPI,MC COOL,2839108
93107,558466,-90.17,32.87,MISSISSIPPI,MIDWAY,2839179
17006,98587,-89.324,32.9313,MISSISSIPPI,REMUS,2839090
113058,676280,-89.74,32.32,MISSISSIPPI,CLARKSBURG,2839145
29860,174854,-89.6124,31.3331,MISSISSIPPI,OTOB,2839482
93107,558445,-90.49,33.17,MISSISSIPPI,BROOKLYN,2839038
93106,558441,-89.71,32.27,MISSISSIPPI,INDEPENDENCE,2839117
29860,174864,-89.97,31.6,MISSISSIPPI,LUCAS,2839474
1125444,5275998,-90.6,33.98333,MISSISSIPPI,ROUNDAWAY,2838737
113058,676020,-89.74,31.5,MISSISSIPPI,BASSFIELD,2839421
