EPISODE_ID,EVENT_ID,LONGITUDE,LATITUDE,STATE,LOCATION,ZIPCODE
49973,296841,-92.58,38.35,MISSOURI,ELDON,2965026
49973,296842,-92.09,37.99,MISSOURI,DIXON,2965459
49973,296840,-92.67,38.38,MISSOURI,BARNETT,2965011
49973,296839,-93.15,37.38,MISSOURI,FAIR GROVE,2965648
82524,496842,-90.7298,36.62,MISSOURI,DONIPHAN,2963935
1198118,5471848,-93.75,40.08333,MISSOURI,EDINBURG,2964683
29923,175308,-94.37,36.85,MISSOURI,NEOSHO,2964850
49973,313369,-92.79299999999999,37.068000000000005,MISSOURI,SARVIS PT,2965608
51770,308316,-94.23,39.98,MISSOURI,SANTA ROSA,2964670
49973,296855,-91.85,36.73,MISSOURI,WEST PLAINS,2965775
49973,296854,-91.7,37.45,MISSOURI,MONTAUK,2965542
49973,296853,-91.38,36.61,MISSOURI,COUCH,2965606
1206352,5497829,-93.25,38.7,MISSOURI,SEDALIA,2965301
1206352,5497830,-93.23333000000001,38.7,MISSOURI,SEDALIA,2965301
1206352,5497831,-93.46667,38.86667,MISSOURI,HOUSTONIA,2965337
49973,296852,-91.85,36.73,MISSOURI,WEST PLAINS,2965775
49973,296851,-91.96,37.33,MISSOURI,HOUSTON,2965483
1206352,5497831,-93.46667,38.81667,MISSOURI,HOUSTONIA,2965337
29923,175300,-93.94,37.25,MISSOURI,OLINGER,2965707
82203,494664,-92.82,36.59,MISSOURI,FAIRVIEW,2965761
49973,296850,-91.66,37.18,MISSOURI,BLUE SPGS,2965571
29923,175304,-94.51,37.04,MISSOURI,REDINGS MILL,2964804
29923,175305,-94.51,37.04,MISSOURI,REDINGS MILL,2964804
29923,175313,-93.6,36.58,MISSOURI,SHELL KNOB,2965747
29923,175312,-93.6,36.59,MISSOURI,SHELL KNOB,2965747
29923,175311,-94.51,37.0,MISSOURI,REDINGS MILL,2964804
29923,175310,-93.75,36.55,MISSOURI,EAGLE ROCK,2965641
29923,175309,-94.37,36.85,MISSOURI,NEOSHO,2964850
49973,296849,-91.95,38.19,MISSOURI,VIENNA,2965582
