EPISODE_ID,EVENT_ID,LONGITUDE,LATITUDE,STATE,LOCATION,ZIPCODE
1188928,5451558,-107.91667,46.38333,MONTANA,CUSTER,3059024
4821,27631,-107.5262,48.47,MONTANA,SACO,3059261
76176,461551,-109.54,45.78,MONTANA,REED PT,3059069
86022,519391,-110.41,47.7,MONTANA,MONTAGUE,3059446
76176,461546,-108.97,45.48,MONTANA,JOLIET,3059041
85542,516727,-104.56,48.77,MONTANA,PLENTYWOOD,3059254
85542,516725,-104.56,48.77,MONTANA,PLENTYWOOD,3059254
1190779,5452553,-108.6833,45.61667,MONTANA,BOYES,3059044
4821,27630,-107.5114,48.5198,MONTANA,SACO,3059261
40256,234169,-108.68,45.2,MONTANA,WADE,
85542,516726,-104.56,48.77,MONTANA,PLENTYWOOD,3059254
1188928,5451556,-108.16667,46.18333,MONTANA,WORDEN,3059088
1188928,5451555,-108.73333000000001,46.25,MONTANA,KLEIN,3059072
1190779,5452554,-109.25,45.18333,MONTANA,HARDIN,3059068
104505,629777,-109.16,45.68,MONTANA,COLUMBUS,3059019
85542,516724,-104.56,48.77,MONTANA,PLENTYWOOD,3059254
1190779,5452555,-109.25,45.18333,MONTANA,BILLINGS,3059068
1190779,5452863,-104.8667,45.38333,MONTANA,COLSTRIP,3059332
1139227,5309124,-112.71667,46.4,MONTANA,DEER LODGE,3059722
42005,245056,-105.9055,48.2506,MONTANA,FRAZER,3059225
39442,229202,-107.41,46.27,MONTANA,MYERS,3059038
1139231,5309129,-114.05,46.21667,MONTANA,HAMILTON,3059840
39442,229199,-107.56,46.29,MONTANA,BIGHORN,3059038
1139233,5309194,-114.08333,47.15,MONTANA,ARLEE,3059821
1190779,5452864,-107.6,45.73333,MONTANA,WILSALL,3059034
76176,461544,-108.54,46.45,MONTANA,ROUNDUP,3059072
1139227,5309122,-112.71667,46.38333,MONTANA,DEER LODGE,3059722
40256,234621,-109.45,45.53,MONTANA,PRYOR,3059001
85542,516723,-104.57,48.77,MONTANA,PLENTYWOOD,3059254
40256,234617,-109.27,45.65,MONTANA,COLUMBUS,3059019
1210929,5510123,-115.8833,48.65,MONTANA,TROY,3059935
104505,629778,-109.26,45.74,MONTANA,COLUMBUS,3059019
39442,229201,-107.23,46.29,MONTANA,HYSHAM,3059038
39442,229200,-107.23,46.31,MONTANA,HYSHAM,3059038
39442,229203,-107.23,46.29,MONTANA,HYSHAM,3059038
1139227,5309123,-112.71667,46.4,MONTANA,DEER LODGE,3059722
104505,629776,-108.97,45.49,MONTANA,JOLIET,3059041
1190779,5452556,-109.25,45.21667,MONTANA,CROW AGENCY,3059068
1139233,5309196,-114.08333,46.4,MONTANA,STEVENSVILLE,3059828
1190779,5452552,-105.0167,45.05,MONTANA,RED LODGE,3059311
86022,519381,-111.38,47.46,MONTANA,(GTF)GREAT FALLS ARPT,3059404
104505,629781,-109.2,45.45,MONTANA,ROBERTS BANGART ARPT,3059041
1097002,5151304,-105.83333,47.15,MONTANA,TERRY,3059214
1097001,5151015,-104.81667,46.58333,MONTANA,MILDRED,3059336
1097001,5151014,-105.3,46.63333,MONTANA,TERRY,3059349
1097001,5151013,-104.73333000000001,47.1,MONTANA,GLENDIVE,3059330
1097001,5151012,-105.3,46.78333,MONTANA,TERRY,3059349
1097001,5151011,-104.83333,47.41667,MONTANA,BLOOMFIELD,3059315
1097001,5151010,-105.6,47.41667,MONTANA,CIRCLE,3059215
1097001,5151009,-106.03333,47.41667,MONTANA,CIRCLE,3059215
4821,27904,-105.3009,47.8853,MONTANA,VIDA,3059274
4821,27902,-105.3708,47.83,MONTANA,VIDA,3059274
4821,27899,-105.5,47.83,MONTANA,VIDA,3059274
4821,27895,-105.5,47.9167,MONTANA,VIDA,3059201
4821,27894,-105.7135,47.9731,MONTANA,VIDA,3059201
1097001,5151008,-106.06667,47.5,MONTANA,BROCKWAY,3059215
4821,27893,-106.415,48.13,MONTANA,NASHUA,3059248
86021,519367,-111.51,47.31,MONTANA,ULM,3059421
1098271,5164622,-105.93333,45.45,MONTANA,BROADUS,3059317
1097002,5151305,-106.36667,46.88333,MONTANA,COHAGEN,3059301
