EPISODE_ID,EVENT_ID,LONGITUDE,LATITUDE,STATE,LOCATION,ZIPCODE
1116883,5253719,-98.0,41.11667,NEBRASKA,CENTRAL CITY,3168826
1116883,5253718,-99.63333,40.25,NEBRASKA,OXFORD,3168967
1116883,5253717,-98.6,41.0,NEBRASKA,CAIRO,3168824
117418,706127,-100.06,40.04,NEBRASKA,WILSONVILLE,3169046
1198276,5471673,-98.96667,41.63333,NEBRASKA,ORD,3168862
117418,706128,-98.07,40.02,NEBRASKA,SUPERIOR,3168978
1116883,5253723,-97.5,40.65,NEBRASKA,EXETER,3168351
1198276,5471674,-98.98333000000001,41.63333,NEBRASKA,ORD,3168862
1116883,5253716,-97.95,41.15,NEBRASKA,CENTRAL CITY,3168826
29158,171039,-103.1889,41.5095,NEBRASKA,BRIDGEPORT,3169336
1198276,5471679,-97.56667,40.63333,NEBRASKA,FAIRMONT,3168354
117418,710696,-99.83,40.0632,NEBRASKA,BEAVER CITY,3168926
1136735,5302255,-99.1,40.08333,NEBRASKA,NAPONEE,3168960
1116883,5253713,-100.0,40.48333,NEBRASKA,ELWOOD,3169022
29533,173261,-101.73,41.26,NEBRASKA,LAKE MC CONAGHY,3169146
1116883,5253714,-98.55,41.11667,NEBRASKA,DANNEBROG,3168831
1136735,5302256,-99.08333,40.7,NEBRASKA,KEARNEY,3168847
1136735,5302259,-98.95,40.1,NEBRASKA,FRANKLIN,3168939
120168,720012,-99.88,41.91,NEBRASKA,BREWSTER,3168813
29537,173216,-96.82,42.58,NEBRASKA,HURLEYS ARPT,3168770
1116883,5253715,-98.0,41.18333,NEBRASKA,CENTRAL CITY,3168826
1198276,5471675,-98.93333,41.66667,NEBRASKA,ORD,3168862
1136735,5302258,-98.0,41.11667,NEBRASKA,CENTRAL CITY,3168826
1116883,5253720,-98.16667,41.01667,NEBRASKA,CHAPMAN,3168827
1116883,5253716,-97.9,41.11667,NEBRASKA,CENTRAL CITY,3168628
120168,720011,-99.96,41.94,NEBRASKA,BREWSTER,3168833
1116883,5253725,-97.7,40.53333,NEBRASKA,GENEVA,3168361
