EPISODE_ID,EVENT_ID,LONGITUDE,LATITUDE,STATE,LOCATION,ZIPCODE
120698,722955,-119.9572,39.202,NEVADA,INCLINE VLG,
89963,540886,-115.65,41.13,NEVADA,RYNDON,3289801
129160,774147,-115.3587,36.035,NEVADA,BLUE DIAMOND,3289135
89963,540887,-115.56,41.1,NEVADA,RYNDON,3289801
89963,540889,-115.37,40.6,NEVADA,RUBY VLY,3289828
77688,471246,-119.93,39.52,NEVADA,LAWTON,3289523
50182,295287,-114.3773,36.7571,NEVADA,RIVERSIDE,
1196354,5470841,-116.0,39.76667,NEVADA,EUREKA ARPT,3289316
90075,541243,-115.61,40.95,NEVADA,RYNDON,3289801
90075,541244,-114.95,41.11,NEVADA,WELLS ARPT,3289835
97245,584907,-115.6864,36.3022,NEVADA,MOUNT CHARLESTON,3289124
97245,584907,-115.6795,36.3133,NEVADA,CHARLESTON PARK,3289124
104211,623798,-114.7607,36.5007,NEVADA,CRYSTAL,
1201163,5482069,-114.4667,38.05,NEVADA,PIOCHE,3289043
89992,540976,-115.72,40.71,NEVADA,SPRING CREEK,3289815
129160,774146,-115.4241,36.1326,NEVADA,RED ROCK CANYON,3289124
89963,540885,-116.18,40.77,NEVADA,PALISADE,3289822
1199475,5474135,-115.15,36.16667,NEVADA,LAS VEGAS,3289101
50182,295286,-114.9915,35.7922,NEVADA,NELSON,3289046
89928,540742,-116.01,39.65,NEVADA,(P68)EUREKA,3289316
65798,394328,-114.1484,37.6237,NEVADA,CRESTLINE,
1098468,5153318,-119.53333,38.61667,NEVADA,TOPAZ LAKE,
89928,540744,-115.66,39.99,NEVADA,CHERRY CREEK,
65798,394328,-114.16,37.62,NEVADA,CRESTLINE,
84591,510875,-115.7832,40.8362,NEVADA,ELKO,3289801
1199474,5478250,-115.15,36.16667,NEVADA,LAS VEGAS,3289101
1214501,5517115,-115.8667,36.58333,NEVADA,INDIAN SPGS,
76243,459741,-115.1148,35.9422,NEVADA,LAS VEGAS HNDRSN SKY,3289052
89957,540874,-115.03,40.78,NEVADA,ARTHUR,3289835
89957,540875,-115.77,40.83,NEVADA,ELKO,3289801
89963,540883,-115.78,40.84,NEVADA,ELKO,3289801
89963,540884,-115.88,40.91,NEVADA,ELKO,3289801
84593,510877,-116.93,40.21,NEVADA,GOLD ACRES,3289820
1102169,5171978,-115.23333000000001,37.6,NEVADA,HIKO,3289017
29253,171681,-115.79,41.67,NEVADA,(AWH)WILDHORSE RES E,3289801
90423,542950,-115.2914,36.159,NEVADA,BRACKEN,3289117
208,889,-115.15,36.17,NEVADA,LAS VEGAS,3289106
95714,574959,-114.56,41.08,NEVADA,OASIS,3289835
1094529,5143432,-116.78333,40.55,NEVADA,BATTLE MTN,3289820
93770,563500,-114.93,41.11,NEVADA,WELLS ARPT,3289835
1210150,5505006,-116.0167,39.6,NEVADA,EUREKA ARPT,3289316
41229,239870,-114.3086,36.7703,NEVADA,RIVERSIDE,3289007
1179937,5422349,-114.98333000000001,36.03333,NEVADA,HENDERSON,3289015
95144,571636,-118.5998,38.5276,NEVADA,HAWTHORNE,
68585,411365,-115.0315,36.1282,NEVADA,EAST LAS VEGAS,3289122
104990,628988,-114.65,41.98,NEVADA,JACKPOT,3289825
73334,443083,-115.9301,36.1734,NEVADA,PAHRUMP HAFEN ARPT,3289048
120698,722955,-119.9606,39.1785,NEVADA,INCLINE VLG,
95144,571635,-118.62,38.53,NEVADA,HAWTHORNE,3289415
95777,575329,-114.67,41.98,NEVADA,JACKPOT ARPT,3289825
95144,571634,-118.63,38.53,NEVADA,HAWTHORNE,3289415
1162153,5375308,-120.0,39.51667,NEVADA,VERDI,3289439
125317,751575,-115.88,40.95,NEVADA,ELKO,3289801
125317,751574,-115.57,40.7,NEVADA,SPRING CREEK,3289815
125317,751573,-115.58,40.73,NEVADA,SPRING CREEK,3289815
125317,751560,-114.47,41.03,NEVADA,OASIS,3289830
1162149,5374900,-119.95,39.23333,NEVADA,INCLINE VLG,
88747,535171,-116.47,39.87,NEVADA,TONKIN,
1123269,5268078,-115.55,33.98333,NEVADA,CAL-NEV-ARI,
88813,535454,-116.1183,41.5272,NEVADA,NORTH FORK STVNS ARP,3289834
88815,535462,-116.3827,40.9837,NEVADA,DUNPHY,
88815,535462,-116.3734,40.9838,NEVADA,DUNPHY,
52142,310915,-115.3159,36.1446,NEVADA,BRACKEN,3289135
130977,783557,-114.69,35.4898,NEVADA,COTTONWOOD LNDG,3289046
84592,510876,-115.79,40.86,NEVADA,ELKO,3289801
29599,173492,-118.7371,39.4413,NEVADA,FALLON,3289406
31941,187399,-119.8416,39.6069,NEVADA,BLACK SPGS,3289506
130099,779134,-114.89299999999999,36.3813,NEVADA,GARNET,
130099,779135,-115.0905,35.9789,NEVADA,LAS VEGAS HNDRSN SKY,3289052
1141531,5314703,-118.61667,38.53333,NEVADA,HAWTHORNE,3289415
90119,541410,-116.51,39.07,NEVADA,BELMONT,
1155821,5367464,-115.15,36.16667,NEVADA,LAS VEGAS,3289101
90119,541410,-116.5101,39.0642,NEVADA,BELMONT,
1098471,5153321,-119.78333,39.16667,NEVADA,CARSON CITY,3289703
90160,541643,-119.77,39.3,NEVADA,WASHOE CITY,3289704
90160,541645,-119.8828,39.535,NEVADA,WEST RENO,3289523
90160,541647,-119.81,39.61,NEVADA,SUN VLY,3289506
90160,541649,-119.35,40.65,NEVADA,GERLACH,3289405
125329,751588,-115.98,40.71,NEVADA,TONKA,3289822
125328,751578,-115.92,41.73,NEVADA,PATSVILLE,3289801
68585,411366,-115.1843,36.2369,NEVADA,LAS VEGAS,3289032
73334,443083,-115.9199,36.1915,NEVADA,PAHRUMP HAFEN ARPT,3289048
68585,411365,-115.0907,35.9608,NEVADA,LAS VEGAS HNDRSN SKY,3289052
95144,571636,-118.6276,38.5239,NEVADA,HAWTHORNE,3289415
98291,591503,-119.38,38.87,NEVADA,SIMPSON,3289444
109476,655168,-114.4136,36.3121,NEVADA,ECHO BAY,3289040
84593,510877,-116.9346,40.21,NEVADA,GOLD ACRES,3289820
43004,250810,-114.9595,35.9899,NEVADA,HENDERSON,3289002
84592,510876,-115.81,40.82,NEVADA,(EKO)HARRIS FLD ELKO,3289801
68585,411354,-116.4902,36.64,NEVADA,AMARGOSA VALLEY,
95715,574962,-115.66,40.8,NEVADA,SPRING CREEK,3289815
20659,122771,-119.82,39.54,NEVADA,RENO,3289503
1196538,5470541,-119.7167,39.21667,NEVADA,CARSON CITY ARPT,3289706
1196575,5470780,-119.7333,38.86667,NEVADA,GARDNERVILLE,3289460
96138,577915,-117.17,38.78,NEVADA,CARVERS,3289045
28683,168751,-119.7514,38.8899,NEVADA,GARDNERVILLE,3289460
1214509,5517123,-114.5667,35.2,NEVADA,CAL-NEV-ARI,
20678,122844,-118.79,39.47,NEVADA,FALLON,3289406
20678,122856,-118.78,39.48,NEVADA,FALLON,3289406
97101,583845,-116.1,41.94,NEVADA,OWYHEE,3289832
78176,470755,-114.5387,38.0332,NEVADA,PIOCHE ARPT,
1091897,5135250,-119.76666999999999,39.55,NEVADA,SPARKS,3289431
1196553,5470608,-119.65,39.53333,NEVADA,VIRGINIA CITY,3289434
96138,577918,-115.56,40.69,NEVADA,LAMOILLE,3289815
96138,577931,-115.57,40.71,NEVADA,SPRING CREEK,3289815
1183430,5432580,-115.48333000000001,40.8,NEVADA,LAMOILLE,3289815
96162,578144,-115.3673,36.0391,NEVADA,BLUE DIAMOND,3289135
