EPISODE_ID,EVENT_ID,LONGITUDE,LATITUDE,STATE,LOCATION,ZIPCODE
7946,45804,-71.3,42.8,NEW HAMPSHIRE,WINDHAM,3303087
1101818,5169868,-72.28333,42.86667,NEW HAMPSHIRE,SWANZEY,3303446
10716,59551,-72.35,43.38,NEW HAMPSHIRE,CLAREMONT,3303743
76053,458839,-71.02,43.49,NEW HAMPSHIRE,UNION,3303887
7946,45796,-71.35,42.8,NEW HAMPSHIRE,WEST WINDHAM,3303087
7946,45794,-70.88,43.2,NEW HAMPSHIRE,DOVER,3303820
7946,45808,-71.3223,44.0478,NEW HAMPSHIRE,JACKSON,3303812
76053,458838,-71.0,43.4634,NEW HAMPSHIRE,MILTON,3303851
7946,45795,-70.88,43.2,NEW HAMPSHIRE,DOVER,3303820
21921,129409,-71.22,43.15,NEW HAMPSHIRE,DEERFIELD,3303037
7946,45806,-70.88,43.2,NEW HAMPSHIRE,DOVER,3303820
21921,129406,-71.41,43.16,NEW HAMPSHIRE,ALLENSTOWN,3303275
1101818,5169869,-71.48333000000001,42.86667,NEW HAMPSHIRE,MERRIMACK,3303052
10556,58671,-71.83,42.82,NEW HAMPSHIRE,TEMPLE,3303084
7946,45797,-70.88,43.27,NEW HAMPSHIRE,SOMERSWORTH,3303878
76053,458842,-71.492,44.2368,NEW HAMPSHIRE,MT WASHINGTON,3303574
19342,114038,-71.47,43.29,NEW HAMPSHIRE,LOUDON,3303307
19342,114037,-71.82,43.18,NEW HAMPSHIRE,HENNIKER,3303242
7946,45798,-70.88,43.2,NEW HAMPSHIRE,DOVER,3303820
7946,45800,-71.32,42.87,NEW HAMPSHIRE,DERRY,3303038
79499,478415,-71.28,44.38,NEW HAMPSHIRE,RANDOLPH HILLS,3303593
10716,59553,-71.48,44.88,NEW HAMPSHIRE,COLEBROOK,3303576
85909,518691,-71.68,42.97,NEW HAMPSHIRE,NEW BOSTON,3303070
51461,305930,-71.49,42.75,NEW HAMPSHIRE,PINE HILL,3303060
51461,305929,-71.49,42.75,NEW HAMPSHIRE,PINE HILL,3303060
51461,305928,-71.62,42.87,NEW HAMPSHIRE,AMHERST,3303031
64665,386904,-72.28,42.93,NEW HAMPSHIRE,KEENE,3303431
85909,518690,-71.73,43.1,NEW HAMPSHIRE,WEARE,3303281
64665,386903,-72.45,42.97,NEW HAMPSHIRE,WESTMORELAND,3303467
64665,386902,-72.43,43.08,NEW HAMPSHIRE,WALPOLE,3303608
64665,386900,-72.43,43.08,NEW HAMPSHIRE,WALPOLE,3303608
64665,386898,-72.43,43.08,NEW HAMPSHIRE,WALPOLE,3303608
64665,386897,-72.27,43.05,NEW HAMPSHIRE,GILSUM,3303448
7946,46094,-71.27,43.87,NEW HAMPSHIRE,TAMWORTH,3303886
7787,44866,-72.28,42.93,NEW HAMPSHIRE,KEENE,3303431
85909,518692,-71.62,42.87,NEW HAMPSHIRE,AMHERST,3303031
21914,129345,-71.33,43.22,NEW HAMPSHIRE,EPSOM,3303234
7946,45814,-71.55,43.13,NEW HAMPSHIRE,BOW CENTER,3303304
76017,458706,-71.39,43.03,NEW HAMPSHIRE,SEVERANCE,3303032
76017,458707,-71.1,43.148999999999994,NEW HAMPSHIRE,NOTTINGHAM,3303290
7946,45813,-70.85,43.03,NEW HAMPSHIRE,GREENLAND,3303840
7795,44887,-72.22,42.9,NEW HAMPSHIRE,MARLBOROUGH,3303455
7946,45812,-70.98,43.3,NEW HAMPSHIRE,ROCHESTER,3303867
42147,245982,-70.87,43.2,NEW HAMPSHIRE,DOVER,3303820
1116135,5250313,-71.95,43.03333,NEW HAMPSHIRE,ANTRIM,3303440
1116135,5250312,-71.73333000000001,43.1,NEW HAMPSHIRE,WEARE,3303281
1116135,5250311,-72.36667,43.15,NEW HAMPSHIRE,ALSTEAD,3303602
79499,478416,-71.69,43.98,NEW HAMPSHIRE,WOODSTOCK,3303262
7946,45810,-71.47,43.7,NEW HAMPSHIRE,CENTER HARBOR,3303226
7946,45811,-71.68,44.28,NEW HAMPSHIRE,BETHLEHEM,3303574
64665,386896,-72.37,43.15,NEW HAMPSHIRE,ALSTEAD,3303602
85909,518693,-71.67,42.73,NEW HAMPSHIRE,BROOKLINE,3303033
51461,305931,-71.43,42.76,NEW HAMPSHIRE,HUDSON,3303051
64665,386905,-72.45,42.97,NEW HAMPSHIRE,WESTMORELAND,3303467
10716,59554,-72.18,43.37,NEW HAMPSHIRE,NEWPORT,3303773
7946,45809,-71.12,42.92,NEW HAMPSHIRE,DANVILLE,3303819
10716,59555,-71.73,43.6,NEW HAMPSHIRE,BRISTOL,3303222
10716,59556,-71.63,43.7,NEW HAMPSHIRE,ASHLAND,3303217
10716,59557,-72.35,43.38,NEW HAMPSHIRE,CLAREMONT,3303743
119985,719030,-71.09,43.87,NEW HAMPSHIRE,EAST MADISON,3303832
107569,644678,-71.5,43.65,NEW HAMPSHIRE,MEREDITH,3303253
107569,644679,-70.85,42.9,NEW HAMPSHIRE,SEABROOK,3303874
64665,386913,-72.28,42.93,NEW HAMPSHIRE,KEENE,3303431
7946,45793,-70.88,43.2,NEW HAMPSHIRE,DOVER,3303820
7959,45898,-71.55,43.2,NEW HAMPSHIRE,CONCORD,3303301
67176,402980,-70.99,43.41,NEW HAMPSHIRE,MILTON,3303851
67125,405917,-71.7585,43.6406,NEW HAMPSHIRE,BRIDGEWATER,3303222
7959,45897,-71.55,43.2,NEW HAMPSHIRE,CONCORD,3303301
7956,45887,-72.3097,43.3,NEW HAMPSHIRE,UNITY,3303743
7781,44845,-71.48,42.87,NEW HAMPSHIRE,MERRIMACK,3303052
67125,405917,-71.7492,43.6408,NEW HAMPSHIRE,BRIDGEWATER,3303222
67125,402634,-71.47,43.53,NEW HAMPSHIRE,LACONIA,3303246
7781,44845,-71.47,42.83,NEW HAMPSHIRE,LITCHFIELD,3303052
7781,44846,-71.42,42.77,NEW HAMPSHIRE,HUDSON,3303051
76017,458702,-71.78,43.43,NEW HAMPSHIRE,ANDOVER,3303216
76017,458703,-71.67,43.46,NEW HAMPSHIRE,FRANKLIN,3303235
76017,458704,-71.4317,43.0245,NEW HAMPSHIRE,SOUTH HOOKSETT,3303106
119985,719031,-71.08,43.91,NEW HAMPSHIRE,EATON CENTER,3303832
7785,44858,-71.85,42.75,NEW HAMPSHIRE,NEW IPSWICH,3303071
85909,518694,-71.67,42.73,NEW HAMPSHIRE,BROOKLINE,3303033
64665,386912,-72.32,42.87,NEW HAMPSHIRE,WEST SWANZEY,3303446
64665,386910,-71.95,43.03,NEW HAMPSHIRE,ANTRIM,3303440
64665,386906,-72.3,42.95,NEW HAMPSHIRE,KEENE,3303431
10716,59552,-72.35,43.38,NEW HAMPSHIRE,CLAREMONT,3303743
7946,45792,-70.88,43.2,NEW HAMPSHIRE,DOVER,3303820
19334,113996,-72.29,43.7,NEW HAMPSHIRE,HANOVER,3303755
7946,45787,-70.98,43.3,NEW HAMPSHIRE,ROCHESTER,3303867
