EPISODE_ID,EVENT_ID,LONGITUDE,LATITUDE,STATE,LOCATION,ZIPCODE
63239,395855,-74.5872,40.0666,NEW JERSEY,JACOBSTOWN,3408562
111157,663099,-74.3,40.66,NEW JERSEY,CRANFORD JCT,3407016
26072,158923,-74.65,40.23,NEW JERSEY,HAMILTON SQUARE,3408690
26072,158931,-75.12,39.93,NEW JERSEY,CAMDEN,3408104
4627,40288,-74.93,38.95,NEW JERSEY,WEST CAPE MAY,3408204
26072,158931,-75.07,39.95,NEW JERSEY,PENNSAUKEN,3408110
4627,40663,-74.47,40.8,NEW JERSEY,MORRISTOWN,3407960
26072,158933,-74.865,39.9684,NEW JERSEY,LUMBERTON,3408054
4627,40664,-74.57,40.72,NEW JERSEY,BERNARDSVILLE,3407924
26072,158933,-74.6943,40.037,NEW JERSEY,JOBSTOWN ARPT,3408041
26072,158938,-74.79899999999999,39.6514,NEW JERSEY,HAMMONTON,3408037
1218227,5525997,-74.38333,41.13333,NEW JERSEY,WEST MILFORD,3407480
133959,801822,-74.62,40.78,NEW JERSEY,MENDHAM,3407945
4627,40288,-74.92,38.93,NEW JERSEY,CAPE MAY,3408204
1218239,5526098,-74.3,40.7,NEW JERSEY,SPRINGFIELD,3407083
4618,39754,-75.0673,39.23,NEW JERSEY,BIVALVE,3408349
8029,57167,-74.68,40.52,NEW JERSEY,FLAGTOWN,3408821
4627,40665,-74.85,40.5,NEW JERSEY,FLEMINGTON,3408822
4627,40665,-74.92,40.63,NEW JERSEY,CLINTON,3408801
26072,158941,-74.02,40.22,NEW JERSEY,NEPTUNE,3407712
63239,395532,-74.29,39.72,NEW JERSEY,MANAHAWKIN ARPT,3408050
26072,158939,-74.72,39.85,NEW JERSEY,TABERNACLE,3408088
1218218,5525902,-74.38333,40.63333,NEW JERSEY,FANWOOD,3407023
8029,57194,-74.65,40.5,NEW JERSEY,WOODS TAVERN,3408844
54450,327004,-75.0894,39.6577,NEW JERSEY,CLAYTON,3408312
53313,340673,-74.9328,39.8454,NEW JERSEY,GIBBSBORO,3408043
57610,345798,-74.07,40.93,NEW JERSEY,ORADELL,3407652
105591,633472,-75.01,40.75,NEW JERSEY,BRASS CASTLE,3407882
67541,405792,-74.62,40.32,NEW JERSEY,PRINCETON JCT,3408540
105591,633469,-74.59,40.96,NEW JERSEY,CALLAHANS,3407885
1103780,5157849,-74.66667,40.35,NEW JERSEY,PRINCETON,3408540
105591,633467,-74.59,40.96,NEW JERSEY,CALLAHANS,3407885
19209,133875,-74.92,39.73,NEW JERSEY,FLORENCE,3408081
19209,133875,-74.79,39.71,NEW JERSEY,WATERFORD WORKS,3408089
79298,475647,-73.97,40.85,NEW JERSEY,FT LEE,3407024
8029,57155,-74.93,40.73,NEW JERSEY,CHANGEWATER,3408826
80291,480928,-74.0926,40.9317,NEW JERSEY,PASSAIC JCT,3407410
1095440,5146758,-74.81667,39.63333,NEW JERSEY,HAMMONTON,3408037
80291,480928,-74.0779,40.9459,NEW JERSEY,ORADELL,3407652
19209,133878,-75.0383,39.4098,NEW JERSEY,MILLVILLE,3408332
8029,57142,-74.85,40.5,NEW JERSEY,FLEMINGTON,3408822
1174021,5409003,-74.1,41.03333,NEW JERSEY,SADDLE RIVER,3407458
1174021,5409002,-74.13333,41.03333,NEW JERSEY,ALLENDALE,3407401
62626,394281,-74.77,40.62,NEW JERSEY,WHITEHOUSE STATION,3408889
62626,394280,-74.92,40.63,NEW JERSEY,CLINTON,3408801
62626,394279,-74.83,40.63,NEW JERSEY,LEBANON,3408833
67541,405791,-74.78,40.33,NEW JERSEY,PENNINGTON,3408534
67541,405790,-74.62,40.32,NEW JERSEY,PRINCETON JCT,3408540
67541,405789,-74.67,40.35,NEW JERSEY,PRINCETON,3408540
8029,57142,-75.07,40.53,NEW JERSEY,FRENCHTOWN,
19209,133878,-75.1925,39.4513,NEW JERSEY,CARLIS CORNER,3408302
1174129,5408079,-74.66667,40.35,NEW JERSEY,PRINCETON,3408540
1174106,5407986,-75.46667,39.53333,NEW JERSEY,HARMERSVILLE,3408079
1174090,5407968,-75.03333,39.4,NEW JERSEY,MILLVILLE,3408332
53313,340675,-74.9745,39.9222,NEW JERSEY,CHERRY HILL,3408054
53313,340677,-75.05,39.95,NEW JERSEY,MERCHANTVILLE,3408109
53313,340679,-74.9209,39.8891,NEW JERSEY,MARLTON,3408053
53313,340681,-75.23,39.73,NEW JERSEY,MULLICA HILL,3408062
53313,340683,-74.87,39.65,NEW JERSEY,WINSLOW,3408095
53313,340684,-75.05,39.57,NEW JERSEY,MALAGA,3408328
19209,133792,-75.05,39.77,NEW JERSEY,TURNERSVILLE,3408012
19209,133799,-75.02,39.6,NEW JERSEY,JANVIER,3408322
19209,133799,-74.98,39.58,NEW JERSEY,BLUE BELL,3408344
19209,133832,-75.0,39.68,NEW JERSEY,WILLIAMSTOWN,3408094
19209,133866,-75.52,39.65,NEW JERSEY,PENNSVILLE,3408070
19209,133867,-74.9058,39.2128,NEW JERSEY,ELDORA,3408270
19209,133868,-74.6586,39.2642,NEW JERSEY,MARMORA,3408223
26072,158916,-74.8,40.8,NEW JERSEY,SCHOOLEYS MTN,3407853
19209,133869,-74.5742,39.3428,NEW JERSEY,LINWOOD,3408221
19209,133869,-74.6,39.32,NEW JERSEY,SOMERS PT,3408244
19209,133874,-75.23,39.73,NEW JERSEY,MULLICA HILL,3408062
19209,133874,-74.97,39.65,NEW JERSEY,CECIL,3408094
43081,260784,-74.49,40.06,NEW JERSEY,NEW EGYPT,3408533
43081,260784,-74.45,40.07,NEW JERSEY,ARCHERS CORNER,3408527
1095440,5146759,-74.48333000000001,39.45,NEW JERSEY,ABSECON,3408205
1174079,5407888,-74.75,41.35,NEW JERSEY,COLESVILLE,
1174080,5407889,-74.5,41.2,NEW JERSEY,VERNON,3407462
1174085,5407962,-75.05,39.56667,NEW JERSEY,MALAGA,3408328
1174088,5407966,-74.61667,40.61667,NEW JERSEY,GREEN KNOLL,3408807
53313,340672,-74.9614,39.8519,NEW JERSEY,GIBBSBORO,3408043
55557,349128,-74.48,41.18,NEW JERSEY,HIGHLAND LAKES,3407462
62771,394314,-74.5,39.43,NEW JERSEY,ABSECON,3408201
44216,265882,-74.5,40.55,NEW JERSEY,SOUTH BOUND BROOK,3408854
94618,578619,-74.35,40.47,NEW JERSEY,SAYREVILLE,3408872
64383,405200,-74.8053,41.2147,NEW JERSEY,LAYTON,3407826
64383,405199,-74.82,41.25,NEW JERSEY,HAINESVILLE,3407827
21253,125707,-74.37,40.63,NEW JERSEY,FANWOOD,3407076
76587,472233,-74.2223,39.7133,NEW JERSEY,MANAHAWKIN,3408050
76587,472233,-74.2688,39.6849,NEW JERSEY,CEDAR RUN,3408092
41504,256715,-74.4265,40.3445,NEW JERSEY,JAMESBURG,3408831
26545,162855,-74.7367,39.9198,NEW JERSEY,VINCENTOWN,3408088
88620,542198,-74.7,39.97,NEW JERSEY,PEMBERTON,3408068
74636,467414,-74.65,40.88,NEW JERSEY,LEDGEWOOD,3407852
1116561,5251256,-74.28333,40.81667,NEW JERSEY,WEST CALDWELL,3407068
74636,471117,-74.5955,40.8772,NEW JERSEY,HOPATCONG JCT,3407803
1161403,5333145,-74.46667,40.8,NEW JERSEY,MORRISTOWN,3407960
1161368,5333809,-74.01666999999999,40.21667,NEW JERSEY,NEPTUNE,3407712
1161366,5333806,-74.53333,39.81667,NEW JERSEY,CHATSWORTH,3408019
1161350,5333511,-74.46667,40.56667,NEW JERSEY,MILLTOWN,3408854
1161350,5333511,-74.43333,40.45,NEW JERSEY,MILLTOWN,3408850
1161348,5333428,-74.71667,40.5,NEW JERSEY,NESHANIC,3408844
1161348,5333428,-74.65,40.5,NEW JERSEY,NESHANIC,3408844
7394,42420,-74.12,40.9,NEW JERSEY,SADDLE BROOK,3407407
1161347,5333427,-74.85,40.5,NEW JERSEY,FLEMINGTON,3408822
1161343,5333422,-74.33333,40.53333,NEW JERSEY,METUCHEN,3408837
53053,336370,-74.58,39.97,NEW JERSEY,BROWNS MILLS,3408015
1123183,5268748,-74.65,40.5,NEW JERSEY,WOODS TAVERN,3408844
1116561,5251254,-74.21667,40.66667,NEW JERSEY,ELIZABETH,3407202
34315,201726,-74.9815,40.8549,NEW JERSEY,PEQUEST,3407823
32338,189309,-74.2401,41.0279,NEW JERSEY,OAKLAND,3407436
1137365,5300727,-74.56667,40.81667,NEW JERSEY,MT FREEDOM,3407869
1137362,5300724,-74.86667,40.96667,NEW JERSEY,JOHNSONBURG,3407860
1137346,5300661,-75.01666999999999,39.83333,NEW JERSEY,SOMERDALE,3408084
1137345,5300660,-74.91667,39.88333,NEW JERSEY,MARLTON,3408053
1137345,5300660,-74.9,39.93333,NEW JERSEY,MARLTON,3408054
1191053,5456647,-74.11667,40.81667,NEW JERSEY,RUTHERFORD,3407071
1134890,5296852,-74.21667,40.9,NEW JERSEY,TOTOWA,3407512
1134890,5296853,-74.11667,40.86667,NEW JERSEY,GARFIELD,3407055
1134890,5296853,-74.11667,40.81667,NEW JERSEY,GARFIELD,3407071
38430,231430,-74.65,40.23,NEW JERSEY,HAMILTON SQUARE,3408690
1134890,5296856,-74.15,41.05,NEW JERSEY,RAMSEY,3407446
1212718,5515089,-74.11667,40.66667,NEW JERSEY,BAYONNE,3407002
1120578,5260084,-75.15,40.58333,NEW JERSEY,HOLLAND,3408848
32348,189421,-74.0614,41.0214,NEW JERSEY,HILLSDALE MANOR,3407677
26273,162212,-74.9455,39.8503,NEW JERSEY,GIBBSBORO,3408043
86442,534400,-74.82,40.27,NEW JERSEY,WEST TRENTON,3408628
86442,534401,-74.72,39.85,NEW JERSEY,TABERNACLE,3408088
4359,39595,-75.08,40.9445,NEW JERSEY,COLUMBIA,3407832
4359,39588,-75.08,40.93,NEW JERSEY,COLUMBIA,3407832
1137344,5300659,-75.01666999999999,39.91667,NEW JERSEY,CAMDEN,3408002
50939,327104,-74.0145,40.1785,NEW JERSEY,SOUTH BELMAR,3407719
18758,132956,-74.8172,40.0134,NEW JERSEY,TIMBUCTOO,3408060
26273,162211,-75.03,39.48,NEW JERSEY,VINELAND,3408360
26273,162210,-75.03,39.48,NEW JERSEY,VINELAND,3408360
7394,42420,-74.1,41.03,NEW JERSEY,SADDLE RIVER,3407458
1152009,5357075,-74.43333,40.5,NEW JERSEY,NEW BRUNSWICK,3408904
1152009,5357075,-74.48333000000001,40.5,NEW JERSEY,NEW BRUNSWICK,3408873
56340,337909,-74.22,40.8445,NEW JERSEY,MONTCLAIR,3407009
19154,113159,-74.15,40.8,NEW JERSEY,BELLEVILLE,3407109
19154,112955,-74.26,40.79,NEW JERSEY,WEST ORANGE,3407052
29946,186479,-74.9104,40.6366,NEW JERSEY,CLINTON,3408809
56340,337907,-74.28,40.82,NEW JERSEY,WEST CALDWELL,3407021
51608,333697,-74.6,41.12,NEW JERSEY,FRANKLIN,3407416
51608,333701,-74.65,41.03,NEW JERSEY,SPARTA,3407871
51608,333751,-74.35,40.23,NEW JERSEY,SMITHBURG,3407726
73799,462768,-74.83,40.57,NEW JERSEY,STANTON,3408822
51608,333753,-74.3294,40.1081,NEW JERSEY,VAN HISEVILLE,3408527
1137341,5300655,-74.96667,39.83333,NEW JERSEY,SOMERDALE,3408026
29950,186341,-74.8282,39.0712,NEW JERSEY,MAYVILLE,3408210
29946,186479,-74.959,40.5817,NEW JERSEY,PITTSTOWN,3408867
29946,186489,-74.18,40.35,NEW JERSEY,HOLMDEL,3407733
29946,186522,-74.64699999999999,40.229,NEW JERSEY,HAMILTON SQUARE,3408690
29950,186341,-74.899,38.9965,NEW JERSEY,WILDWOOD MAY CO ARPT,3408204
1137317,5300591,-74.58333,39.28333,NEW JERSEY,OCEAN CITY,3408226
1137336,5300649,-74.88333,40.03333,NEW JERSEY,WILLINGBORO,3408046
1137336,5300649,-74.81667,40.0,NEW JERSEY,WILLINGBORO,3408060
1137336,5300648,-74.96667,40.03333,NEW JERSEY,DELRAN,3408075
73738,459152,-74.58,39.35,NEW JERSEY,LINWOOD,3408221
1178784,5419042,-74.38333,40.1,NEW JERSEY,CASSVILLE,3408527
33585,195157,-74.0328,40.744,NEW JERSEY,WEEHAWKEN,3407030
1178432,5417621,-73.96667,40.85,NEW JERSEY,FT LEE,3407024
7430,42651,-74.18,40.73,NEW JERSEY,NEWARK,3407102
7430,42651,-74.18,40.73,NEW JERSEY,NEWARK,3407102
23014,134622,-74.6441,39.5036,NEW JERSEY,COLOGNE,3408330
32378,189613,-74.3642,40.7167,NEW JERSEY,SUMMIT,3407901
32378,189615,-74.32,40.7,NEW JERSEY,SPRINGFIELD,3407081
32378,189619,-74.26,40.79,NEW JERSEY,WEST ORANGE,3407052
32378,189620,-74.26899999999999,40.7344,NEW JERSEY,MAPLEWOOD,3407040
32378,189623,-74.26,40.79,NEW JERSEY,WEST ORANGE,3407052
32378,189626,-74.26,40.79,NEW JERSEY,WEST ORANGE,3407052
1137344,5300659,-75.11667,39.93333,NEW JERSEY,CAMDEN,3408103
1137341,5300655,-75.01666999999999,39.83333,NEW JERSEY,SOMERDALE,3408084
116648,701636,-75.22,39.74,NEW JERSEY,JEFFERSON,3408062
116648,701634,-74.64,39.36,NEW JERSEY,SCULLVILLE,3408234
1177234,5417026,-74.21667,40.1,NEW JERSEY,LAKEWOOD,3408701
1177235,5417027,-74.13333,40.06667,NEW JERSEY,BRICK TOWN,3408724
1177242,5417035,-74.66667,40.18333,NEW JERSEY,YARDVILLE,3408620
116648,701633,-74.72,39.45,NEW JERSEY,MAYS LNDG,3408330
116648,701632,-74.75,39.5,NEW JERSEY,LAURELDALE,3408330
116648,701631,-74.88,39.54,NEW JERSEY,NEWTONVILLE,3408310
56168,336930,-74.13,40.07,NEW JERSEY,BRICK TOWN,3408724
28264,179770,-74.67,40.97,NEW JERSEY,BYRAM CAVE,3407821
88882,537214,-74.476,41.0592,NEW JERSEY,OAK RIDGE,3407438
15818,91254,-74.77,41.05,NEW JERSEY,NEWTON,3407860
1137365,5300727,-74.48333000000001,40.93333,NEW JERSEY,MT FREEDOM,3407866
63239,395530,-74.25,39.7,NEW JERSEY,MANAHAWKIN,3408050
19209,132992,-74.8763,39.0155,NEW JERSEY,WHITESBORO,3408242
19209,132998,-75.13,39.73,NEW JERSEY,PITMAN,3408071
51160,327919,-74.73,40.3,NEW JERSEY,LAWRENCEVILLE,3408648
51160,327914,-74.09,40.07,NEW JERSEY,METEDECONK,3408724
51115,327848,-74.8801,41.0375,NEW JERSEY,MIDDLEVILLE,3407860
51111,327171,-74.38,39.95,NEW JERSEY,WHITING,3408759
51111,327168,-74.38,39.95,NEW JERSEY,WHITING,3408759
8788,50232,-74.87,40.43,NEW JERSEY,RINGOES,3408551
64383,405231,-74.9122,41.1256,NEW JERSEY,WALLPACK CENTER,3407881
64383,405228,-74.56,40.62,NEW JERSEY,MT HOREB,3407059
64383,405226,-74.55,40.7,NEW JERSEY,BASKING RIDGE,3407920
1137409,5301501,-74.15,40.86667,NEW JERSEY,CLIFTON,3407011
1180209,5422003,-74.68333,40.26667,NEW JERSEY,LAWRENCEVILLE,3408619
64383,405225,-74.64,40.68,NEW JERSEY,BEDMINSTER,3407921
40361,249000,-74.4,40.52,NEW JERSEY,EDISON,3408817
22669,133141,-74.45,41.05,NEW JERSEY,NEWFOUNDLAND,3407435
64383,405223,-74.77,40.78,NEW JERSEY,LONG VLY,3407853
83818,522216,-74.87,40.07,NEW JERSEY,BURLINGTON,3408016
83818,522217,-74.82,40.12,NEW JERSEY,FLORENCE,3408518
64383,405216,-74.68,40.78,NEW JERSEY,CHESTER,3407930
64383,405213,-74.8,40.8,NEW JERSEY,SCHOOLEYS MTN,3407853
1135608,5300089,-74.7,40.15,NEW JERSEY,BORDENTOWN,3408505
