EPISODE_ID,EVENT_ID,LONGITUDE,LATITUDE,STATE,LOCATION,ZIPCODE
1178946,5418804,-104.95,36.48333,NEW MEXICO,CIMARRON,3587714
95621,574366,-106.3,35.16,NEW MEXICO,SANDIA PARK,3587047
95621,574367,-106.44,35.86,NEW MEXICO,FRIJOLES,
1178945,5418803,-106.18333,35.0,NEW MEXICO,MORIARTY,3587015
95621,574380,-106.72,35.83,NEW MEXICO,JEMEZ SPGS,3587024
3567,19509,-103.3668,33.4893,NEW MEXICO,CROSSROADS,3588114
1178943,5418795,-105.23333000000001,35.51667,NEW MEXICO,ROMEROVILLE,3587701
1178943,5418796,-104.83333,35.11667,NEW MEXICO,COLONIAS,3588435
1178944,5418801,-105.16667,33.58333,NEW MEXICO,ARABELA,3588351
1178939,5418719,-103.73333000000001,35.1,NEW MEXICO,TUCUMCARI,3588401
62892,376837,-103.5309,34.2418,NEW MEXICO,FLOYD,3588130
1178939,5418718,-103.81667,34.98333,NEW MEXICO,QUAY,3588401
1178943,5418797,-105.13333,35.2,NEW MEXICO,ANTON CHICO,3587711
1155186,5365050,-103.96667,36.36667,NEW MEXICO,GLADSTONE,3588422
62892,376837,-103.5228,34.2274,NEW MEXICO,BETHEL,3588130
1155187,5365053,-105.4,35.61667,NEW MEXICO,MINERAL HILL,3587701
1178943,5418798,-104.7,34.93333,NEW MEXICO,SANTA ROSA,3588435
1178944,5418800,-105.2,33.61667,NEW MEXICO,ARABELA,3588351
1178943,5418799,-105.45,35.36667,NEW MEXICO,RIBERA,3587560
3554,19478,-104.23,32.42,NEW MEXICO,CARLSBAD,3588220
1155185,5365049,-107.23333000000001,33.96667,NEW MEXICO,MAGDALENA,3587825
95621,574972,-106.6431,35.8781,NEW MEXICO,JEMEZ SPGS,3587025
95621,574365,-106.33,35.11,NEW MEXICO,CEDAR CREST,3587059
1178949,5418813,-104.53333,36.48333,NEW MEXICO,MAXWELL,3587747
95456,576819,-103.13,32.7,NEW MEXICO,HOBBS,3588240
1178941,5418790,-104.9,36.51667,NEW MEXICO,CIMARRON,3587714
3567,19506,-103.4495,33.13,NEW MEXICO,MC DONALD,3588262
1155187,5365056,-105.35,35.0,NEW MEXICO,CLINES CORNERS,3588321
