EPISODE_ID,EVENT_ID,LONGITUDE,LATITUDE,STATE,LOCATION,ZIPCODE
45300,262750,-77.61,43.19,NEW YORK,ROCHESTER,3614621
53744,325325,-73.78,42.66,NEW YORK,ALBANY,3612203
1214408,5517421,-77.48333000000001,43.13333,NEW YORK,PENFIELD,3614526
1214409,5517422,-77.63333,43.06667,NEW YORK,HENRIETTA,3614467
84278,508860,-76.19,42.14,NEW YORK,GASKILL,3613827
53743,323950,-73.8,41.59,NEW YORK,HOPEWELL JCT,3612533
84278,508858,-76.58,42.37,NEW YORK,NEWFIELD,3614867
53744,325294,-73.872,42.7715,NEW YORK,HAWTHORNE HILL,3612309
53744,325318,-73.7534,42.7874,NEW YORK,BOGHT CORNERS,3612047
53744,325319,-73.8923,42.6985,NEW YORK,WESTMERE,3612084
53744,325320,-73.76,42.65,NEW YORK,ALBANY,3612207
53744,325321,-73.83,42.69,NEW YORK,MC KOWNVILLE,3612222
53744,325323,-73.85,42.73,NEW YORK,COLONIE,3612205
84277,508850,-77.1,42.37,NEW YORK,BRADFORD,3614815
84278,508851,-76.87,42.5,NEW YORK,HECTOR,3614841
84278,508859,-76.48,42.35,NEW YORK,DANBY,3614883
84278,508852,-75.33,43.47,NEW YORK,BOONVILLE,3613309
1214408,5517419,-76.88333,43.08333,NEW YORK,CLYDE,3614433
84278,508854,-75.22,43.45,NEW YORK,FORESTPORT,3613338
55164,331420,-74.23,41.52,NEW YORK,MONTGOMERY,3612549
55164,331421,-74.23,41.52,NEW YORK,MONTGOMERY,3612549
55164,331422,-74.2587,41.5112,NEW YORK,MONTGOMERY CO ARPT,3612549
84278,508855,-76.7,42.47,NEW YORK,MECKLENBURG,3614886
84278,508856,-76.67,42.45,NEW YORK,ENFIELD,3614886
84278,508857,-76.98,42.52,NEW YORK,DUNDEE,3614837
84278,508853,-76.87,42.5,NEW YORK,HECTOR,3614841
1214408,5517416,-79.05,42.36667,NEW YORK,SOUTH DAYTON,3614138
21511,127239,-75.91,42.1,NEW YORK,BINGHAMTON,3613901
45300,262751,-77.59,43.19,NEW YORK,BEECHWOOD,3614621
55164,331426,-73.9549,41.42,NEW YORK,NELSONVILLE,3610516
55164,331427,-73.75,41.37,NEW YORK,MAHOPAC,3610541
55164,331428,-73.77,40.98,NEW YORK,SCARSDALE,3610583
55164,331429,-73.85,40.93,NEW YORK,YONKERS,3610708
90110,541379,-78.1,42.95,NEW YORK,STAFFORD STATION,3614054
1215187,5521130,-77.95,42.58333,NEW YORK,NUNDA,3614517
55164,331425,-73.75,41.37,NEW YORK,MAHOPAC,3610541
5768,33785,-73.68,42.42,NEW YORK,VALATIE,3612184
90110,541369,-79.26,42.08,NEW YORK,JAMESTOWN WEST,3614701
84278,508864,-76.17,42.07,NEW YORK,APALACHIN,3613732
84278,508865,-76.58,42.37,NEW YORK,NEWFIELD,3614867
84278,508866,-75.85,42.93,NEW YORK,RIPPLETON,3613035
84278,508867,-75.33,43.48,NEW YORK,BOONVILLE,3613309
84278,508868,-75.85,42.85,NEW YORK,NEW WOODSTOCK,3613122
5770,33791,-74.5,43.15,NEW YORK,CAROGA LAKE,3612032
1214408,5517414,-79.31667,42.1,NEW YORK,LAKEWOOD,3614750
5764,33784,-74.42,43.97,NEW YORK,LONG LAKE,3612847
84278,508863,-76.49,42.19,NEW YORK,SPENCER,3614883
1214393,5517329,-75.75,44.45,NEW YORK,CHIPPEWA BAY,3613623
53744,325326,-75.06,43.23,NEW YORK,POLAND,3613431
21511,127242,-76.6,42.88,NEW YORK,OAKWOOD,3613160
21511,127241,-75.22,43.12,NEW YORK,DEERFIELD,3613502
5764,33777,-74.0,42.3,NEW YORK,CAIRO,3612413
1214377,5517308,-73.43333,43.85,NEW YORK,TICONDEROGA,3612883
55164,331424,-74.02,41.5,NEW YORK,NEWBURGH,3612550
53744,325327,-73.7707,42.7081,NEW YORK,LOUDONVILLE,3612211
66028,396076,-73.18,40.78,NEW YORK,CENTRAL ISLIP,3611722
84278,508861,-76.25,42.2,NEW YORK,WELTONVILLE,3613811
5764,33778,-74.45,42.75,NEW YORK,CARLISLE,3612043
5764,33780,-74.23,42.67,NEW YORK,GALLUPVILLE,3612157
53744,325328,-73.7,42.59,NEW YORK,EAST GREENBUSH,3612061
84278,508862,-75.31,42.5,NEW YORK,GILBERTSVILLE,3613776
21511,127238,-75.96,42.12,NEW YORK,STELLA,3613790
21511,127244,-76.6,42.91,NEW YORK,HALF ACRE,3613021
21511,127246,-75.38,42.93,NEW YORK,WATERVILLE,3613480
66022,396026,-73.9772,41.101000000000006,NEW YORK,WEST NYACK,3610994
1215368,5521825,-74.0,42.81667,NEW YORK,ROTTERDAM,3612306
53743,323951,-73.71,41.61,NEW YORK,BEEKMAN,3612570
53743,323634,-73.4912,43.239,NEW YORK,ARGYLE,3612809
53743,323633,-73.58,43.27,NEW YORK,FT EDWARD,3612828
1215369,5521826,-74.0,42.81667,NEW YORK,SCOTIA,3612306
53743,323632,-74.37,43.01,NEW YORK,JOHNSTOWN,3612095
