EPISODE_ID,EVENT_ID,LONGITUDE,LATITUDE,STATE,LOCATION,ZIPCODE
1212559,5510879,-76.7,35.03333,NORTH CAROLINA,ORIENTAL,3728571
1212559,5510881,-76.8,34.96667,NORTH CAROLINA,MINNESOTT BEACH,3728510
8605,49291,-82.5792,35.4634,NORTH CAROLINA,SKYLAND,3728704
8606,49295,-81.88,35.9411,NORTH CAROLINA,JONAS RIDGE,3728657
1212558,5510873,-77.31667,34.71667,NORTH CAROLINA,PINEY GREEN,3728544
28209,165946,-78.54,36.49,NORTH CAROLINA,BULLOCK,3727565
1212559,5510880,-76.88333,34.88333,NORTH CAROLINA,HAVELOCK,3728532
124923,749305,-76.8977,35.8108,NORTH CAROLINA,JAMESVILLE,3727846
106902,641661,-78.9084,36.5161,NORTH CAROLINA,HYCO JCT,3727574
1101686,5170271,-76.23333000000001,36.3,NORTH CAROLINA,ELIZABETH CITY,3727909
1212562,5510895,-77.63333,35.68333,NORTH CAROLINA,FOUNTAIN,3727829
1212562,5510958,-77.23333000000001,35.86667,NORTH CAROLINA,GOLD PT,3727871
1101686,5170274,-76.76666999999999,36.5,NORTH CAROLINA,GATES,3727937
1212559,5510882,-77.58333,35.26667,NORTH CAROLINA,KINSTON,3728501
124923,749306,-76.75,35.8121,NORTH CAROLINA,PLYMOUTH,3727962
1121209,5262827,-79.33333,35.6,NORTH CAROLINA,GOLDSTON,3727252
40070,233069,-76.7,36.22,NORTH CAROLINA,MEEGE XRDS,3727932
40058,233038,-76.76,36.41,NORTH CAROLINA,GATESVILLE,3727938
40070,233074,-76.64,36.06,NORTH CAROLINA,EDENTON,3727932
1212560,5510886,-77.0,35.13333,NORTH CAROLINA,BRIDGETON,3728560
40070,233075,-77.14,36.27,NORTH CAROLINA,MINTONS STORE,3727805
1212558,5510874,-77.13333,34.68333,NORTH CAROLINA,SWANSBORO,3728584
1212560,5510886,-77.01666999999999,35.13333,NORTH CAROLINA,BRIDGETON,3728560
1212558,5510875,-77.38333,34.76667,NORTH CAROLINA,CAMP LEJEUNE,3728546
1219637,5527876,-82.78333,35.43333,NORTH CAROLINA,CRUSO,3728716
1219650,5527889,-82.95,35.58333,NORTH CAROLINA,WAYNESVILLE,3728785
1212561,5510889,-76.73333000000001,34.7,NORTH CAROLINA,ATLANTIC BEACH,3728512
1212560,5510885,-76.9,35.13333,NORTH CAROLINA,OLYMPIA,3728560
1212561,5510889,-76.7,34.71667,NORTH CAROLINA,ATLANTIC BEACH,3728557
1212558,5510876,-77.23333000000001,34.71667,NORTH CAROLINA,HUBERT,3728539
1212559,5510878,-76.88333,34.9,NORTH CAROLINA,CHERRY PT MCAS,3728532
