EPISODE_ID,EVENT_ID,LONGITUDE,LATITUDE,STATE,LOCATION,ZIPCODE
113333,681024,-95.58,35.2655,OKLAHOMA,EUFAULA,4074432
113333,681022,-96.3,35.43,OKLAHOMA,OKEMAH,4074859
64128,385122,-97.9,35.39,OKLAHOMA,UNION CITY,4073090
113333,681023,-96.3,35.4011,OKLAHOMA,OKEMAH,4074859
64128,385119,-97.79,35.72,OKLAHOMA,PIEDMONT,4073078
113331,690544,-95.8301,36.3074,OKLAHOMA,OWASSO,4074055
113331,678198,-95.95,36.15,OKLAHOMA,TULSA,4074104
113331,678197,-95.7543,36.3046,OKLAHOMA,COLLINSVILLE,4074055
113329,678192,-94.7416,36.9193,OKLAHOMA,QUAPAW,4074354
118680,712962,-100.29,36.57,OKLAHOMA,LOGAN,4073848
15988,106434,-96.7,36.11,OKLAHOMA,YALE,4074085
118829,713896,-97.51,35.89,OKLAHOMA,CIMARRON CITY,4073044
125475,756789,-98.96,35.58,OKLAHOMA,ARAPAHO,4073620
125482,758294,-98.97,36.68,OKLAHOMA,WAYNOKA,4073860
113333,681021,-96.3813,35.4283,OKLAHOMA,CASTLE,4074859
113333,681025,-95.8444,34.9487,OKLAHOMA,NORTH MC ALESTER,4074501
113334,678200,-95.6254,36.3405,OKLAHOMA,CLAREMORE,4074017
113334,678199,-95.7697,36.23,OKLAHOMA,VERDIGRIS,4074015
118828,713850,-97.06,35.7,OKLAHOMA,WELLSTON,4074881
125477,752941,-97.37,36.26,OKLAHOMA,LUCIEN,4073077
125475,756794,-98.19,34.9,OKLAHOMA,CYRIL,4073029
64128,385121,-97.75,35.7,OKLAHOMA,PIEDMONT,4073078
125475,756793,-98.18,34.88,OKLAHOMA,CYRIL,4073029
64128,385118,-97.61,35.24,OKLAHOMA,NEWCASTLE,4073065
64128,385117,-97.72,35.23,OKLAHOMA,BRIDGE CREEK,4073010
15996,91998,-96.38,35.47,OKLAHOMA,CASTLE,4074833
64128,385123,-98.12,35.54,OKLAHOMA,CALUMET,4073014
15996,91999,-96.13,35.3155,OKLAHOMA,WELEETKA,4074880
64128,385116,-97.87,35.8,OKLAHOMA,KINGFISHER,4073750
64128,385124,-97.85,35.3,OKLAHOMA,TUTTLE,4073089
64128,384043,-97.93,35.83,OKLAHOMA,KINGFISHER,4073750
118830,715916,-98.03,34.75,OKLAHOMA,ACME,4073082
64128,384042,-97.91,35.86,OKLAHOMA,KINGFISHER,4073750
125475,756792,-98.34,35.05,OKLAHOMA,WASHITA,4073005
125475,756791,-98.44,35.1,OKLAHOMA,FT COBB,4073038
15996,92000,-96.0325,35.1012,OKLAHOMA,SCIPIO,4074501
118828,713860,-97.51,33.94,OKLAHOMA,RUBOTTOM,4073456
64128,385120,-97.59,35.41,OKLAHOMA,(OKC)WILL ROGERS APT,4073159
125475,756790,-98.56,35.31,OKLAHOMA,EAKLY,4073033
118828,713865,-97.26,34.18,OKLAHOMA,LONE GROVE,4073443
