EPISODE_ID,EVENT_ID,LONGITUDE,LATITUDE,STATE,LOCATION,ZIPCODE
131963,789514,-122.9666,44.7362,OREGON,JEFFERSON,4197392
76473,462686,-121.1695,43.37,OREGON,FT ROCK,
1192070,5455598,-121.2833,44.16667,OREGON,TUMALO,4197701
1217989,5526073,-120.8333,44.31667,OREGON,PRINEVILLE,4197754
1192071,5455599,-121.3,44.01667,OREGON,BEND,4197702
11099,61049,-122.9,44.5734,OREGON,LEBANON,4197355
46909,272912,-122.835,44.8643,OREGON,SHAW,4197325
1192073,5455601,-121.3167,44.03333,OREGON,BEND,4197702
106834,641336,-116.9,45.67,OREGON,IMNAHA,4197846
40956,238388,-117.4506,45.48,OREGON,LOSTINE,4197857
1192074,5455602,-121.3,44.06667,OREGON,BEND,4197701
1192075,5455603,-121.3,44.01667,OREGON,BEND,4197702
39009,226346,-118.8374,45.4864,OREGON,PILOT ROCK,4197868
1192076,5455604,-121.3167,44.03333,OREGON,BEND,4197702
1192072,5455600,-121.3333,44.01667,OREGON,BEND,4197702
1122677,5267005,-119.05,43.58333,OREGON,BURNS,4197720
5025,29017,-123.02,44.95,OREGON,SALEM,4197301
87563,528530,-118.36,45.43,OREGON,KAMELA,
76468,462703,-123.0225,42.2166,OREGON,RUCH,4197530
87895,530594,-121.87,42.16,OREGON,WEST KLAMATH,4197601
106832,641333,-117.0445,45.5045,OREGON,ROBERTS BUTTE,4197828
1209623,5506998,-117.2,45.96667,OREGON,PARADISE,4197828
76471,462715,-122.7524,42.2295,OREGON,TALENT,4197540
1192065,5455293,-118.1833,45.8,OREGON,TOLLGATE,4197886
64328,385547,-123.39,42.74,OREGON,GLENDALE,4197442
44089,256232,-121.37,45.1055,OREGON,PINE GROVE,4197037
1192069,5455297,-121.25,44.03333,OREGON,BEND,4197702
1093513,5139140,-117.81667,45.3,OREGON,COVE,4197824
106833,641361,-119.01,44.91,OREGON,RITTER,4197856
1093513,5139141,-117.93333,45.56667,OREGON,ELGIN,4197827
1093513,5139142,-117.86667,45.2,OREGON,UNION,4197883
87563,528531,-118.49,45.22,OREGON,STARKEY,
5028,29022,-122.27,45.4,OREGON,SANDY,4197055
1161413,5333214,-120.16667,45.23333,OREGON,CONDON,4197823
106833,641334,-118.0,45.49,OREGON,SUMMERVILLE,4197876
1192077,5455605,-121.4,43.88333,OREGON,SUNRIVER,4197707
1161415,5333547,-119.5,45.58333,OREGON,LEXINGTON,4197839
1161416,5333548,-119.31667,45.81667,OREGON,HERMISTON,4197838
61718,369237,-123.3051,43.1713,OREGON,DIXONVILLE,4197470
78532,472478,-121.31,44.07,OREGON,BEND,4197701
76473,462686,-121.2,43.36,OREGON,FT ROCK,4197735
76473,462689,-121.9375,42.1166,OREGON,KENO,4197627
106834,641362,-117.43,45.49,OREGON,LOSTINE,4197857
1217988,5526068,-120.8333,44.3,OREGON,PRINEVILLE,4197754
1217988,5526067,-120.8667,44.31667,OREGON,PRINEVILLE,4197754
1217987,5526064,-120.95,44.3,OREGON,POWELL BUTTE,4197753
1217988,5526066,-120.8333,44.31667,OREGON,PRINEVILLE,4197754
1217987,5526065,-121.0833,44.2,OREGON,POWELL BUTTE,4197753
78532,472497,-119.3,45.23,OREGON,LENA,4197836
117100,704505,-123.2154,45.8408,OREGON,VERNONIA ARPT,4197064
1212313,5511850,-123.0833,44.05,OREGON,EUGENE,4197401
11099,61055,-123.08,44.63,OREGON,ALBANY,4197322
11099,61052,-122.9,44.5589,OREGON,LEBANON,4197355
11099,61050,-122.4849,45.53,OREGON,PORTLAND,4197230
1161420,5333552,-121.31667,44.45,OREGON,CULVER,4197760
1218004,5526189,-117.9333,45.58333,OREGON,ELGIN,4197827
1212313,5511851,-122.9,44.53333,OREGON,LEBANON,4197355
78532,472477,-121.5,43.91,OREGON,BEND SUNRIVER ARPT,
1217989,5526070,-120.8333,44.35,OREGON,PRINEVILLE,4197754
1161416,5333548,-119.35,45.83333,OREGON,HERMISTON,4197838
1161417,5333549,-121.21667,44.51667,OREGON,CULVER,4197734
1192078,5455606,-121.3,43.85,OREGON,BEND,
1192084,5455612,-121.4833,43.73333,OREGON,LA PINE,4197739
1217989,5526072,-120.8833,44.28333,OREGON,PRINEVILLE ARPT,4197754
84660,511249,-118.84,44.99,OREGON,DALE,
1217989,5526071,-120.8167,44.28333,OREGON,PRINEVILLE,4197754
1161417,5333549,-121.18333,44.73333,OREGON,CULVER,4197741
1161419,5333551,-121.3,44.45,OREGON,CULVER,4197760
79831,478454,-117.05,42.97,OREGON,JORDAN VLY,4197910
1161257,5374844,-121.51666999999999,45.71667,OREGON,HOOD RIVER,4197031
44089,256234,-121.52,43.76,OREGON,STEARNS,4197739
44089,256235,-121.48,43.72,OREGON,LA PINE,4197739
44089,256236,-121.49,43.82,OREGON,BEND SUNRIVER ARPT,4197707
1137862,5304946,-117.05,42.96667,OREGON,JORDAN VLY,4197910
84660,511248,-118.93,44.99,OREGON,DALE,4197880
79831,478454,-117.1199,42.9188,OREGON,JORDAN VLY,4197910
78532,472470,-121.77,43.91,OREGON,LAVA LAKE,4197701
46909,272912,-122.8789,44.8398,OREGON,AUMSVILLE,4197325
1122677,5267006,-119.05,43.58333,OREGON,BURNS,4197720
1161256,5374843,-122.46667,43.75,OREGON,OAKRIDGE,4197492
1116594,5251464,-118.41667,44.91667,OREGON,GRANITE,
30310,177374,-123.1401,42.1965,OREGON,APPLEGATE,4197530
1209589,5506797,-117.15,45.61667,OREGON,ROBERTS BUTTE,4197828
1139360,5307485,-118.83333,45.7,OREGON,(PDT)PENDLETON ARPT,4197801
1139339,5307253,-120.05,44.98333,OREGON,KINZUA,4197830
1139338,5307252,-121.63333,44.46667,OREGON,CAMP SHERMAN,
1139337,5307251,-121.38333,45.23333,OREGON,WAMIC,4197063
1139334,5307184,-121.01666999999999,44.25,OREGON,POWELL BUTTE,4197753
1218002,5526184,-118.45,45.5,OREGON,MEACHAM,4197859
1139333,5307183,-121.01666999999999,44.08333,OREGON,ALFALFA,4197701
1179959,5422527,-116.83333,45.5,OREGON,IMNAHA,4197842
1139332,5307182,-118.08333,45.33333,OREGON,LA GRANDE,4197850
30310,177371,-122.8376,42.5369,OREGON,EAGLE PT,4197524
30310,177366,-122.8,42.47,OREGON,EAGLE PT,4197524
30310,177366,-122.8804,42.38,OREGON,CENTRAL PT,4197504
5029,29024,-122.527,45.5289,OREGON,(PDX)PORTLAND INTL A,4197230
1179958,5422526,-118.41667,44.83333,OREGON,GRANITE,4197877
1188658,5446139,-117.61667,43.86667,OREGON,HARPER,4197906
1174499,5410224,-117.81667,44.86667,OREGON,BAKER,4197814
30310,177363,-122.13,42.9,OREGON,CRATER LAKE,4197604
1139329,5307174,-117.28333,45.43333,OREGON,ENTERPRISE,4197828
52390,312997,-117.92,45.6,OREGON,ELGIN,4197827
1139328,5307173,-119.71667,45.83333,OREGON,BOARDMAN,4197818
1179961,5422529,-116.9,45.31667,OREGON,ENTERPRISE,4197842
1116595,5251465,-118.63333,45.05,OREGON,UKIAH,
40945,238349,-117.93,45.03,OREGON,NORTH POWDER,4197867
30310,177374,-123.03,42.23,OREGON,RUCH,4197530
30310,177372,-122.7,42.2145,OREGON,ASHLAND,4197520
40945,238348,-117.971,45.03,OREGON,NORTH POWDER,4197867
1217994,5526079,-120.1167,44.73333,OREGON,SERVICE CREEK,4197874
40945,238348,-117.93,45.03,OREGON,NORTH POWDER,4197867
1217994,5526080,-119.9667,44.71667,OREGON,SERVICE CREEK,4197874
