EPISODE_ID,EVENT_ID,LONGITUDE,LATITUDE,STATE,LOCATION,ZIPCODE
116985,703589,-66.5364,18.0313,PUERTO RICO,JUANA DIAZ,
90014,541043,-66.7868,18.2922,PUERTO RICO,UTUADO,
132368,791986,-66.4727,18.3411,PUERTO RICO,CIALES,
132368,791986,-66.4739,18.3397,PUERTO RICO,CIALES,
68973,414865,-66.8494,18.3198,PUERTO RICO,LARES,
68973,414865,-66.8402,18.3276,PUERTO RICO,LARES,
90014,541043,-66.8146,18.2924,PUERTO RICO,UTUADO,
90019,541052,-67.13,18.03,PUERTO RICO,CABO ROJO,
90019,541052,-67.1606,18.0392,PUERTO RICO,CABO ROJO,
132368,791995,-66.4776,18.3064,PUERTO RICO,CIALES,
90013,541032,-66.706,18.262999999999998,PUERTO RICO,UTUADO,
90013,541032,-66.7,18.27,PUERTO RICO,UTUADO,
116985,703589,-66.5464,18.0447,PUERTO RICO,JUANA DIAZ,
132368,791995,-66.4747,18.3073,PUERTO RICO,CIALES,
10934,60323,-67.17,18.12,PUERTO RICO,AGUADA,
53520,340522,-67.0824,18.3737,PUERTO RICO,MOCA,
109256,654372,-67.1405,18.2545,PUERTO RICO,ANASCO,
109256,654372,-67.12,18.28,PUERTO RICO,ANASCO,
109256,654373,-66.98,18.23,PUERTO RICO,LAS MARIAS,
109256,654373,-66.9893,18.246,PUERTO RICO,LAS MARIAS,
109257,654378,-66.75,18.17,PUERTO RICO,ADJUNTAS,
109257,654378,-66.7073,18.1677,PUERTO RICO,ADJUNTAS,
130958,783419,-67.1861,18.3791,PUERTO RICO,AGUADA,
43327,252393,-66.7464,18.3818,PUERTO RICO,ARECIBO,
43327,252391,-66.7476,18.421,PUERTO RICO,ARECIBO,
130958,783419,-67.1914,18.3801,PUERTO RICO,AGUADA,
130936,783372,-66.7214,18.143,PUERTO RICO,ADJUNTAS,
130936,783372,-66.7197,18.1442,PUERTO RICO,ADJUNTAS,
69527,417244,-66.97,18.32,PUERTO RICO,SAN SEBASTIAN,
53520,340522,-67.0956,18.3789,PUERTO RICO,MOCA,
79279,475605,-67.0021,18.2045,PUERTO RICO,LAS MARIAS,
79914,480399,-67.1909,18.3379,PUERTO RICO,AGUADA,
79914,480399,-67.1876,18.3349,PUERTO RICO,AGUADA,
79032,474624,-67.03,18.1,PUERTO RICO,SAN GERMAN,
79918,480425,-67.1582,18.079,PUERTO RICO,CABO ROJO,
79032,474624,-67.0612,18.1292,PUERTO RICO,SAN GERMAN,
79032,474623,-66.7756,18.1598,PUERTO RICO,ADJUNTAS,
101248,605703,-65.8,18.13,PUERTO RICO,HUMACAO,
101248,605703,-65.815,18.1423,PUERTO RICO,HUMACAO,
101209,605547,-65.8071,18.1335,PUERTO RICO,HUMACAO,
101209,605547,-65.8428,18.148,PUERTO RICO,HUMACAO,
101197,605500,-66.8031,18.1283,PUERTO RICO,ADJUNTAS,
101197,605500,-66.6733,18.2105,PUERTO RICO,ADJUNTAS,
107973,646893,-66.4182,18.015,PUERTO RICO,JUANA DIAZ,
107973,646893,-66.48,18.03,PUERTO RICO,JUANA DIAZ,
107973,646891,-66.3231,18.0914,PUERTO RICO,COAMO,
100752,602886,-66.2867,18.2028,PUERTO RICO,NARANJITO,
100752,602886,-66.3243,18.1927,PUERTO RICO,NARANJITO,
107973,646891,-66.35,18.08,PUERTO RICO,COAMO,
107969,646875,-66.7368,18.2714,PUERTO RICO,UTUADO,
107969,646875,-66.7,18.27,PUERTO RICO,UTUADO,
9606,53883,-67.1701,18.2848,PUERTO RICO,ANASCO,
9606,53883,-67.1896,18.2847,PUERTO RICO,RINCON,
69527,417244,-67.0204,18.3454,PUERTO RICO,SAN SEBASTIAN,
79032,474623,-66.7725,18.1639,PUERTO RICO,ADJUNTAS,
79918,480425,-67.1718,18.0769,PUERTO RICO,CABO ROJO,
79279,475605,-66.98,18.23,PUERTO RICO,LAS MARIAS,
87841,530018,-66.5514,18.3128,PUERTO RICO,CIALES,
116371,699787,-67.0315,18.2651,PUERTO RICO,LAS MARIAS,
87841,530018,-66.52,18.28,PUERTO RICO,CIALES,
98342,591777,-66.47,18.12,PUERTO RICO,VILLALBA,
98342,591778,-66.9047,18.2998,PUERTO RICO,LARES,
98342,591778,-66.87,18.27,PUERTO RICO,LARES,
98342,591841,-66.9297,18.2805,PUERTO RICO,LARES,
98342,591841,-66.87,18.27,PUERTO RICO,LARES,
111671,666193,-66.4825,18.43,PUERTO RICO,MANATI,
116371,699787,-66.987,18.2505,PUERTO RICO,LAS MARIAS,
111671,666193,-66.4916,18.4323,PUERTO RICO,MANATI,
79491,477648,-67.0822,18.2342,PUERTO RICO,MAYAGUEZ,
63911,382821,-65.8,18.13,PUERTO RICO,HUMACAO,
63911,382821,-65.8318,18.1522,PUERTO RICO,HUMACAO,
63911,382952,-65.8318,18.3115,PUERTO RICO,RIO GRANDE,
68813,414693,-66.87899999999999,18.28,PUERTO RICO,LARES,
68813,414693,-66.8789,18.2804,PUERTO RICO,LARES,
113377,678392,-66.0312,18.383,PUERTO RICO,TRUJILLO ALTO,
113377,678392,-66.0292,18.3889,PUERTO RICO,TRUJILLO ALTO,
79491,477648,-67.12,18.2,PUERTO RICO,MAYAGUEZ,
1191578,5454990,-67.11667,18.46667,PUERTO RICO,AGUADILLA,
98342,591777,-66.447,18.1126,PUERTO RICO,VILLALBA,
81089,488181,-67.1508,17.9954,PUERTO RICO,CABO ROJO,
34753,200491,-67.1247,18.5037,PUERTO RICO,AGUADILLA,
34753,200491,-67.1254,18.5037,PUERTO RICO,AGUADILLA,
81091,488182,-66.595,18.2147,PUERTO RICO,JAYUYA,
81091,488182,-66.58,18.2,PUERTO RICO,JAYUYA,
89260,537746,-66.5469,18.1688,PUERTO RICO,JAYUYA,
89260,537746,-66.58,18.2,PUERTO RICO,JAYUYA,
81089,488181,-67.13,18.03,PUERTO RICO,CABO ROJO,
