EPISODE_ID,EVENT_ID,LONGITUDE,LATITUDE,STATE,LOCATION,ZIPCODE
21576,127627,-71.2347,41.7217,RHODE ISLAND,COGGESHALL,4402885
1099393,5162719,-71.56667,41.73333,RHODE ISLAND,HOPE,4402831
131570,787064,-71.468,41.8674,RHODE ISLAND,NORTH PROVIDENCE,4402904
51462,305932,-71.47,41.92,RHODE ISLAND,LIMEROCK,4402865
21576,127627,-71.2909,41.7123,RHODE ISLAND,BARRINGTON,4402885
21576,127574,-71.48,41.77,RHODE ISLAND,OAK LAWN,4402920
21576,127568,-71.65,41.68,RHODE ISLAND,COVENTRY CENTER,4402816
21576,127568,-71.52,41.7,RHODE ISLAND,RIVER PT,4402893
1099393,5162718,-71.51666999999999,41.68333,RHODE ISLAND,WEST WARWICK,4402893
21576,127580,-71.42,41.7,RHODE ISLAND,APPONAUG,4402889
1211825,5512506,-71.53333,41.9,RHODE ISLAND,SMITHFIELD,4402917
131570,787064,-71.4464,41.8819,RHODE ISLAND,SAYLESVILLE,4402865
1211816,5508574,-71.53333,41.9,RHODE ISLAND,SMITHFIELD,4402917
1211816,5508574,-71.68333,41.85,RHODE ISLAND,SMITHFIELD,4402857
21150,125117,-71.47,41.92,RHODE ISLAND,LIMEROCK,4402865
77784,469759,-71.32,41.74,RHODE ISLAND,WEST BARRINGTON,4402806
1206860,5497362,-71.58333,41.83333,RHODE ISLAND,NORTH SCITUATE,4402857
21150,125117,-71.55,41.88,RHODE ISLAND,SPRAGUEVILLE,4402828
21150,125114,-71.37,41.87,RHODE ISLAND,PAWTUCKET,4402860
21150,125108,-71.42,41.82,RHODE ISLAND,OLNEYVILLE,4402903
21150,125108,-71.47,41.82,RHODE ISLAND,JOHNSTON,4402919
21150,125107,-71.62,41.8,RHODE ISLAND,SCITUATE,4402857
1211825,5512506,-71.68333,41.85,RHODE ISLAND,SMITHFIELD,4402857
21150,125118,-71.46,41.97,RHODE ISLAND,CUMBERLAND HILL,4402864
119933,718772,-71.4427,41.9161,RHODE ISLAND,LIMEROCK,4402865
1139782,5306742,-71.45,41.76667,RHODE ISLAND,CRANSTON,4402920
19766,117379,-71.37,41.87,RHODE ISLAND,PAWTUCKET,4402860
19766,117380,-71.65,41.68,RHODE ISLAND,COVENTRY CENTER,4402816
38795,224919,-71.3964,41.8542,RHODE ISLAND,WOODLAWN,4402906
38795,224919,-71.4373,41.7798,RHODE ISLAND,CRANSTON,4402910
38795,224918,-71.46,41.86,RHODE ISLAND,NORTH PROVIDENCE,4402904
1097217,5150729,-71.45,41.7,RHODE ISLAND,WARWICK,4402886
19766,117382,-71.36,41.8,RHODE ISLAND,KENT,4402914
1168176,5393093,-71.45,41.56667,RHODE ISLAND,NORTH KINGSTOWN,4402852
67313,403566,-71.67,41.92,RHODE ISLAND,CHEPACHET,4402814
67313,403534,-71.58,41.17,RHODE ISLAND,(BID)BLOCK IS ST ARP,4402807
