EPISODE_ID,EVENT_ID,LONGITUDE,LATITUDE,STATE,LOCATION,ZIPCODE
50086,294404,-80.86,32.24,SOUTH CAROLINA,BLUFFTON,4529910
50086,294405,-80.86,32.24,SOUTH CAROLINA,BLUFFTON,4529910
1206491,5498851,-81.18333,34.08333,SOUTH CAROLINA,IRMO,4529063
50086,294403,-80.86,32.24,SOUTH CAROLINA,BLUFFTON,4529910
1206491,5498850,-81.38333,33.91667,SOUTH CAROLINA,GILBERT,4529054
1206491,5498840,-81.08333,34.06667,SOUTH CAROLINA,COLUMBIA,4529210
1206491,5498841,-80.38333,34.76667,SOUTH CAROLINA,PAGELAND,4529728
1206491,5498842,-80.58333,34.26667,SOUTH CAROLINA,LUGOFF,4529020
1206491,5498842,-80.66667,34.21667,SOUTH CAROLINA,LUGOFF,4529078
1206491,5498843,-81.78333,33.83333,SOUTH CAROLINA,JOHNSTON,4529832
1206491,5498844,-80.25,34.21667,SOUTH CAROLINA,BISHOPVILLE,4529010
50086,294402,-80.96,32.3,SOUTH CAROLINA,HARDEEVILLE,4529909
1206491,5498845,-81.61667,33.85,SOUTH CAROLINA,MONETTA,4529105
1206491,5498846,-81.66667,33.85,SOUTH CAROLINA,RIDGE SPG,4529129
1206491,5498847,-81.55,33.9,SOUTH CAROLINA,BATESBURG,4529006
50086,294401,-80.86,32.24,SOUTH CAROLINA,BLUFFTON,4529910
1206491,5498849,-81.51666999999999,33.91667,SOUTH CAROLINA,LEESVILLE,4529070
1206491,5498848,-81.26666999999999,33.98333,SOUTH CAROLINA,LEXINGTON,4529072
50086,294399,-80.95,32.3,SOUTH CAROLINA,HARDEEVILLE,4529909
50086,294400,-80.92,32.31,SOUTH CAROLINA,BAILEYS LNDG,4529909
32610,190671,-81.857,34.453,SOUTH CAROLINA,CLINTON,4529325
30906,181292,-82.83,34.9,SOUTH CAROLINA,NINE TIMES,4529671
50160,295084,-80.35,34.74,SOUTH CAROLINA,PAGELAND ARPT,4529728
95480,574902,-80.7,32.24,SOUTH CAROLINA,HILTON HEAD IS ARPT,4529926
1153490,5361346,-81.5,33.68333,SOUTH CAROLINA,NEW HOLLAND,4529164
29828,174615,-80.67,32.9,SOUTH CAROLINA,WALTERBORO,4529488
1153487,5361127,-80.2,34.33333,SOUTH CAROLINA,ASHLAND,4529010
86223,523362,-79.2399,33.9677,SOUTH CAROLINA,REHOBETH,4529544
86223,523363,-79.1813,33.9358,SOUTH CAROLINA,KNOTTY BRANCH,4529544
