EPISODE_ID,EVENT_ID,LONGITUDE,LATITUDE,STATE,LOCATION,ZIPCODE
1197089,5469618,-103.65,43.56667,SOUTH DAKOTA,ARGYLE,4657730
1197090,5469620,-103.3,43.8,SOUTH DAKOTA,CUSTER STATE PARK,4657744
1155721,5366590,-99.33333,45.18333,SOUTH DAKOTA,NORBECK,4657466
1197091,5469628,-103.6333,44.41667,SOUTH DAKOTA,WHITEWOOD,4657793
77259,466486,-103.43,44.97,SOUTH DAKOTA,CASTLE ROCK,4657760
1197091,5469629,-103.3,44.41667,SOUTH DAKOTA,BEAR BUTTE,4657785
77274,466590,-103.6,43.5421,SOUTH DAKOTA,PRINGLE,4657747
1155721,5366595,-98.48333000000001,45.46667,SOUTH DAKOTA,ABERDEEN,4657401
77267,466535,-102.0708,43.1875,SOUTH DAKOTA,SWETT,4657551
1197790,5472906,-98.11667,44.86667,SOUTH DAKOTA,DOLAND,4657436
1197089,5469617,-103.4833,43.43333,SOUTH DAKOTA,HOT SPGS,4657747
77274,466588,-103.786,43.994,SOUTH DAKOTA,DEERFIELD,4657745
1155721,5366594,-99.21667,45.2,SOUTH DAKOTA,NORBECK,4657438
1155721,5366592,-98.76666999999999,45.43333,SOUTH DAKOTA,MINA,4657451
1155721,5366589,-99.51666999999999,45.06667,SOUTH DAKOTA,SENECA,4657473
1155721,5366588,-99.98333000000001,45.76667,SOUTH DAKOTA,HERREID,4657632
1197091,5469621,-103.7167,44.56667,SOUTH DAKOTA,ST ONGE,4657779
1197091,5469627,-103.5,44.41667,SOUTH DAKOTA,STURGIS,4657785
75367,455183,-97.11,43.94,SOUTH DAKOTA,MADISON,4657042
30335,177524,-100.87,43.23,SOUTH DAKOTA,ROSEBUD,4657572
77274,466597,-103.2299,43.1238,SOUTH DAKOTA,OELRICHS,4657763
30335,177546,-101.084,43.461999999999996,SOUTH DAKOTA,NORRIS,4657560
75353,455137,-99.21,43.21,SOUTH DAKOTA,LUCAS,4657523
75353,455136,-99.29,43.24,SOUTH DAKOTA,BURKE,4657523
75353,455135,-99.3,43.22,SOUTH DAKOTA,BURKE,4657523
75353,455132,-99.31,43.22,SOUTH DAKOTA,BURKE MUNI ARPT,4657523
77269,466539,-101.38,43.22,SOUTH DAKOTA,VETAL,4657551
77274,466595,-103.23,43.18,SOUTH DAKOTA,OELRICHS,4657763
1195438,5467941,-99.86667,45.91667,SOUTH DAKOTA,ARTAS,4657437
1197091,5469625,-103.5167,44.33333,SOUTH DAKOTA,GALENA,4657785
1197091,5469624,-103.75,44.35,SOUTH DAKOTA,LEAD,4657754
29849,174681,-98.56,45.24,SOUTH DAKOTA,MANSFIELD,4657460
77274,466594,-103.3916,43.4034,SOUTH DAKOTA,HOT SPRINGS,4657747
77274,466592,-103.43,43.35,SOUTH DAKOTA,ANGOSTURA RESERVOIR,4657747
75367,455185,-97.11,44.01,SOUTH DAKOTA,MADISON,4657042
1158550,5330219,-98.01666999999999,43.18333,SOUTH DAKOTA,TRIPP,4657376
1158549,5330218,-97.85,44.53333,SOUTH DAKOTA,YALE,4657353
77269,466540,-101.3568,43.2141,SOUTH DAKOTA,VETAL,4657574
1197091,5469623,-103.7333,44.26667,SOUTH DAKOTA,BROWNSVILLE,4657732
77274,466599,-102.74,43.18,SOUTH DAKOTA,OGLALA,4657764
1197091,5469626,-103.4,44.38333,SOUTH DAKOTA,STURGIS,4657785
77274,470405,-103.8391,44.0251,SOUTH DAKOTA,DEERFIELD,4657745
77332,466828,-101.616,44.952,SOUTH DAKOTA,DUPREE,4657623
30108,176302,-98.79,44.18,SOUTH DAKOTA,WESSINGTON SPGS,4657382
1197089,5469615,-103.9833,43.83333,SOUTH DAKOTA,JEWEL CAVE NATL MON,4682701
1198251,5471457,-98.56667,43.43333,SOUTH DAKOTA,HARRISON,4657344
1198249,5471455,-97.46667,43.78333,SOUTH DAKOTA,EMERY,4657058
1157664,5372660,-101.5,43.2,SOUTH DAKOTA,TUTHILL,4657551
1157664,5372659,-101.38333,43.06667,SOUTH DAKOTA,VETAL,4657574
1157664,5372658,-101.75,43.35,SOUTH DAKOTA,MARTIN,4657551
1157664,5372657,-101.98333000000001,43.56667,SOUTH DAKOTA,INTERIOR,4657750
76878,463915,-103.21700000000001,43.8314,SOUTH DAKOTA,HERMOSA,4657744
76878,463912,-103.23899999999999,44.0206,SOUTH DAKOTA,RAPID CITY,4657702
30569,184847,-97.6,43.73,SOUTH DAKOTA,SPENCER,4657374
1157663,5372656,-101.66667,43.56667,SOUTH DAKOTA,WANBLEE,4657577
1157663,5372655,-101.98333000000001,43.71667,SOUTH DAKOTA,INTERIOR,4657750
1157663,5372654,-101.98333000000001,43.65,SOUTH DAKOTA,INTERIOR,4657750
1157663,5372653,-101.98333000000001,43.66667,SOUTH DAKOTA,INTERIOR,4657750
1157663,5372652,-102.55,43.81667,SOUTH DAKOTA,SCENIC,4657780
1157662,5372651,-101.58333,45.05,SOUTH DAKOTA,DUPREE,4657623
1157661,5372650,-101.68333,43.21667,SOUTH DAKOTA,MARTIN,4657551
1157659,5372648,-101.35,43.95,SOUTH DAKOTA,KADOKA,4657521
1157659,5372647,-101.51666999999999,43.83333,SOUTH DAKOTA,KADOKA,4657543
1157659,5372646,-101.35,43.95,SOUTH DAKOTA,KADOKA,4657521
1157659,5372645,-101.81667,43.9,SOUTH DAKOTA,COTTONWOOD,4657567
1157658,5372644,-102.25,44.21667,SOUTH DAKOTA,CREIGHTON,4657790
1198252,5471458,-98.4,43.38333,SOUTH DAKOTA,CORSICA,4657328
1198253,5471459,-99.0,43.78333,SOUTH DAKOTA,KIMBALL,4657355
1157664,5372660,-101.58333,43.21667,SOUTH DAKOTA,TUTHILL,4657551
1157665,5372661,-101.51666999999999,43.88333,SOUTH DAKOTA,KADOKA,4657543
77931,469628,-102.16,43.04,SOUTH DAKOTA,BATESLAND,4657716
77931,469627,-102.325,43.178999999999995,SOUTH DAKOTA,PORCUPINE,4657772
77931,469625,-102.70700000000001,43.332,SOUTH DAKOTA,OGLALA,4657722
77926,469617,-103.78,43.99,SOUTH DAKOTA,DEERFIELD,4657745
76878,463925,-103.196,43.838,SOUTH DAKOTA,HERMOSA,4657744
76878,463921,-103.162,43.663000000000004,SOUTH DAKOTA,FAIRBURN,4657738
76878,463919,-103.234,43.768,SOUTH DAKOTA,HERMOSA,4657744
