EPISODE_ID,EVENT_ID,LONGITUDE,LATITUDE,STATE,LOCATION,ZIPCODE
39603,230210,-88.4996,36.3,TENNESSEE,PARIS,4738242
1093152,5139013,-85.71667,35.33333,TENNESSEE,SOUTH PORTION,4737313
1132685,5289943,-82.95,36.2,TENNESSEE,MOSHEIM,4737818
1132692,5289950,-81.8,36.48333,TENNESSEE,MOUNTAIN CITY,4737683
1123410,5268391,-84.8,35.23333,TENNESSEE,CLEVELAND,4737312
1123402,5267990,-83.56667,36.21667,TENNESSEE,BUFFALO SPGS,4737861
2814,14519,-84.72,35.86,TENNESSEE,ROCKWOOD,4737854
1123393,5267981,-85.13333,35.35,TENNESSEE,BAKEWELL,4737373
45501,264098,-89.8991,35.332,TENNESSEE,MILLINGTON,4738053
52670,314674,-84.03,36.03,TENNESSEE,POWELL,4737849
1096732,5149760,-86.3,36.21667,TENNESSEE,LEBANON,4737087
39603,230203,-88.3739,36.3,TENNESSEE,PARIS,4738242
1132675,5289933,-84.51666999999999,36.5,TENNESSEE,ONEIDA,4737841
1132678,5289936,-83.56667,35.86667,TENNESSEE,SEVIERVILLE,4737862
1123363,5268514,-83.23333000000001,36.25,TENNESSEE,MORRISTOWN,4737814
1132693,5289951,-83.65,36.58333,TENNESSEE,HARROGATE,4737752
2814,14506,-83.57,36.3777,TENNESSEE,TAZEWELL,4737879
52670,314679,-84.336,35.4531,TENNESSEE,MADISONVILLE,4737354
1132695,5289953,-82.41667,36.0,TENNESSEE,ERWIN,
1123358,5268509,-81.86667,36.4,TENNESSEE,NEVA,4737683
1123350,5268501,-85.25,35.05,TENNESSEE,CHATTANOOGA,4737406
1097362,5150455,-83.33333,36.15,TENNESSEE,WHITE PINE,4737813
1123391,5267979,-85.23333000000001,35.15,TENNESSEE,HIXON,4737343
1093150,5141959,-87.76666999999999,36.43333,TENNESSEE,CARLISLE,4737058
1093152,5139021,-85.53333,36.13333,TENNESSEE,COUNTYWIDE,4738506
1093152,5139016,-87.5,35.53333,TENNESSEE,COUNTYWIDE,4738462
1123415,5268396,-84.61667,35.26667,TENNESSEE,ETOWAH,4737325
1132686,5289944,-83.33333,36.33333,TENNESSEE,TATE SPGS,4737708
1093152,5140464,-86.46667,35.48333,TENNESSEE,SHELBYVILLE,4737160
1093151,5141962,-87.6,35.08333,TENNESSEE,WOODLAWN,4738463
39603,230212,-88.52,36.13,TENNESSEE,MC KENZIE,4738201
39603,230211,-88.52,36.13,TENNESSEE,MC KENZIE,4738201
62500,373999,-84.11,36.1,TENNESSEE,CLINTON,4737716
1093151,5141961,-87.81667,36.6,TENNESSEE,BUMPUS MILLS,4737023
52670,314678,-84.68,35.67,TENNESSEE,TEN MILE,4737880
2814,14507,-84.39,36.33,TENNESSEE,NORMA,4737756
52670,314677,-84.68,35.67,TENNESSEE,TEN MILE,4737880
1132670,5289928,-84.51666999999999,36.5,TENNESSEE,ONEIDA,4737841
1132671,5289929,-83.95,35.96667,TENNESSEE,WEST KNOXVILLE,4737921
1093150,5141960,-86.48333000000001,35.95,TENNESSEE,SMYRNA,4737167
1132674,5289932,-83.95,35.96667,TENNESSEE,WEST KNOXVILLE,4737921
1132687,5289945,-82.18333,36.58333,TENNESSEE,BRISTOL,4737620
1093152,5139308,-86.58333,36.01667,TENNESSEE,LA VERGNE,4737086
1093152,5139306,-85.85,36.18333,TENNESSEE,SMITHVILLE,4738560
63042,379943,-83.63,35.73,TENNESSEE,HATCHERTOWN,4737862
1093152,5139304,-85.9,36.08333,TENNESSEE,TEMPERANCE HALL,4737095
1093152,5139303,-85.95,35.95,TENNESSEE,WATERTOWN,4737095
1093152,5139023,-85.3,36.33333,TENNESSEE,COUNTYWIDE,4738570
