EPISODE_ID,EVENT_ID,LONGITUDE,LATITUDE,STATE,LOCATION,ZIPCODE
31652,185951,-101.67,34.95,TEXAS,PALO DURO CANYON STATE PARK,4879015
31652,185945,-101.61,34.84,TEXAS,WAYSIDE,4879042
5035,29086,-98.4876,26.72,TEXAS,LA GLORIA,4878591
31660,185962,-94.7975,29.287,TEXAS,GALVESTON,4877550
46480,269437,-102.5205,32.6851,TEXAS,SEMINOLE,4879360
46978,273366,-95.6715,31.6663,TEXAS,TUCKER,4875801
46978,273368,-95.61,31.77,TEXAS,PALESTINE,4875801
5017,29721,-101.8847,33.58,TEXAS,LUBBOCK,4879406
46568,269935,-94.8797,30.6533,TEXAS,PROVIDENCE CAMP,4877351
5017,29722,-101.7678,33.652,TEXAS,(LBB)LUBBOCK INTL AR,4879403
5017,29722,-101.7719,33.6534,TEXAS,(LBB)LUBBOCK INTL AR,4879403
5017,29720,-102.0247,33.9796,TEXAS,COTTON CENTER,4879021
5031,29064,-99.45,27.05,TEXAS,SAN YGNACIO,
5032,29068,-98.99,27.21,TEXAS,ESCOBAS,4878361
5032,29069,-99.02,27.07,TEXAS,ESCOBAS,4878361
5034,29070,-98.12,26.57,TEXAS,SAN MANUEL,4878542
5034,29071,-98.4,26.48,TEXAS,MC COOK,4878541
5034,29072,-98.65,26.27,TEXAS,GRULLA,4878582
5034,29073,-98.7,26.32,TEXAS,GARCIASVILLE,4878582
5034,29074,-98.6194,26.32,TEXAS,GARCIASVILLE,4878582
46978,273365,-95.4918,31.7002,TEXAS,KOSSUTH,4875801
5034,29075,-97.63,26.13,TEXAS,SAN BENITO,4878586
5035,29084,-98.3,27.23,TEXAS,FALFURRIAS,
1194680,5464367,-101.8,32.13333,TEXAS,BIG SPRING,4879782
1194680,5463048,-102.0833,32.0,TEXAS,STANTON,4879701
5017,29721,-101.8901,33.5662,TEXAS,LUBBOCK,4879410
6205,36233,-102.2,31.93,TEXAS,(MAF) MIDLAND INTL,4879706
26123,161342,-97.67,30.52,TEXAS,OLD ROUND ROCK,4878664
6002,35183,-100.8,36.06,TEXAS,MIAMI ROBERTS CO ARP,4879070
1194440,5464632,-101.6,33.93333,TEXAS,PETERSBURG,4879250
1194440,5464625,-101.7,33.83333,TEXAS,ABERNATHY,4879311
1194440,5464624,-101.7,34.2,TEXAS,PLAINVIEW,4879072
1194440,5464623,-101.8167,33.86667,TEXAS,ABERNATHY,
1194440,5464622,-101.7833,33.88333,TEXAS,ABERNATHY,4879311
1194440,5464621,-101.8,33.86667,TEXAS,ABERNATHY,
27007,158414,-95.1478,30.4265,TEXAS,LIBERTY HILL,4877328
50038,299814,-95.5811,33.6616,TEXAS,PARKS,4875460
44690,259250,-95.4028,32.35,TEXAS,TYLER,4875704
1194440,5464620,-101.75,34.36667,TEXAS,KRESS,4879052
1194440,5464619,-101.7333,34.06667,TEXAS,HALE CENTER,4879072
44690,259253,-95.3,32.33,TEXAS,TYLER,4875701
44690,259254,-95.3,32.33,TEXAS,TYLER,4875701
44690,259255,-95.37,32.33,TEXAS,KIRKPATRICK ADDITION,4875709
44690,259257,-95.27,32.36,TEXAS,BOSTICK,4875708
44690,259251,-94.95,32.8,TEXAS,BETTIE,4875644
1194440,5464634,-101.1,34.63333,TEXAS,SILVERTON,4879226
1194440,5464626,-101.65,34.2,TEXAS,PLAINVIEW,4879072
1194440,5464627,-101.6833,34.21667,TEXAS,PLAINVIEW,4879072
1194440,5464631,-101.4,33.83333,TEXAS,FLOYDADA,4879235
31660,185962,-94.7944,29.2855,TEXAS,GALVESTON,4877550
6002,35194,-100.8,36.1109,TEXAS,PERRYTON,4879070
1194440,5464629,-101.4,34.55,TEXAS,SILVERTON,4879257
1194440,5464628,-101.7667,34.53333,TEXAS,TULIA,4879088
26101,158779,-95.6195,29.6235,TEXAS,SUGARLAND,4877498
6002,35114,-101.3266,36.0978,TEXAS,SPEARMAN,4879081
6002,35192,-100.94,35.99,TEXAS,MIAMI,4879059
44690,259242,-94.8132,33.1888,TEXAS,OMAHA,4875558
44690,259243,-95.54,32.87,TEXAS,ROCK HILL,4875497
26100,158774,-95.4861,30.3669,TEXAS,GRANGER,4877304
44690,259248,-95.5375,32.7255,TEXAS,GOLDEN,4875773
44690,259248,-95.5606,32.7402,TEXAS,GOLDEN,4875410
44690,259249,-94.85,32.9,TEXAS,LA FAYETTE,4875686
46978,273369,-95.6334,31.9197,TEXAS,ELMWOOD,4875803
46978,273371,-95.6311,31.8547,TEXAS,MONTALBA,4875803
47410,276173,-101.7866,33.1934,TEXAS,TAHOKA,4879373
6002,35196,-100.8,36.06,TEXAS,MIAMI ROBERTS CO ARP,4879070
1214178,5517395,-100.0667,35.38333,TEXAS,WHEELER,4879096
1214178,5517392,-100.2333,35.36667,TEXAS,TWITTY,4879079
1187985,5447497,-96.08333,30.76667,TEXAS,IOLA,4877861
1187986,5447498,-95.58333,30.03333,TEXAS,TOMBALL,4877375
1194441,5464721,-101.9667,33.48333,TEXAS,LUBBOCK,4879424
1214178,5517391,-100.45,35.21667,TEXAS,SHAMROCK,4879079
1214178,5517390,-100.6,35.23333,TEXAS,MC LEAN,4879057
1214178,5517389,-100.2833,35.45,TEXAS,WHEELER,4879096
48351,282415,-94.999,33.649,TEXAS,MADRAS,4875426
1214178,5517388,-100.6333,35.23333,TEXAS,MC LEAN,4879057
1194441,5464718,-101.9667,33.48333,TEXAS,LUBBOCK,4879424
1194441,5464717,-101.9833,33.46667,TEXAS,LUBBOCK,4879382
1194441,5464716,-101.7333,33.31667,TEXAS,WILSON,4879381
1194441,5464715,-102.9,34.38333,TEXAS,FARWELL,4879325
1194441,5464714,-101.65,33.43333,TEXAS,SLATON,4879364
1194441,5464713,-101.85,33.83333,TEXAS,ABERNATHY,4879311
1194441,5464712,-101.85,33.83333,TEXAS,ABERNATHY,4879311
1194441,5464711,-101.85,33.83333,TEXAS,ABERNATHY,4879311
1214178,5517386,-100.7333,35.21667,TEXAS,ALANREED,4879057
1187985,5447495,-95.46667,31.48333,TEXAS,GRAPELAND,4875844
1214178,5517385,-100.7333,35.21667,TEXAS,ALANREED,4879057
1187985,5447494,-96.76666999999999,30.616670000000003,TEXAS,CHRIESMAN,4877836
1194441,5464722,-101.9667,33.48333,TEXAS,LUBBOCK,4879424
1194445,5465266,-102.05,34.43333,TEXAS,HART,4879043
1194444,5465265,-102.8333,33.86667,TEXAS,ENOCHS,4879371
1194444,5465264,-102.7667,33.86667,TEXAS,ENOCHS,4879324
5017,29682,-101.4655,33.2516,TEXAS,POST,4879356
5017,29717,-102.7703,34.5499,TEXAS,FRIONA,4879035
5017,29717,-102.73,34.5288,TEXAS,FRIONA,4879035
24972,145888,-98.47,29.5,TEXAS,CEMENTVILLE,4878209
5017,29718,-102.0537,33.7413,TEXAS,SHALLOWATER,4879363
24972,145890,-98.4,29.88,TEXAS,SPRING BRANCH,4878070
5017,29718,-102.0266,33.7735,TEXAS,SHALLOWATER,4879363
1194444,5465263,-103.0,34.63333,TEXAS,FRIONA,4879035
1194441,5464783,-102.3667,33.58333,TEXAS,LEVELLAND,4879336
1194441,5464728,-102.8333,34.21667,TEXAS,MULESHOE,4879347
1194441,5464727,-102.7833,34.21667,TEXAS,MULESHOE,4879347
1194441,5464726,-101.6667,33.18333,TEXAS,TAHOKA,4879373
1194441,5464725,-101.9667,33.48333,TEXAS,LUBBOCK,4879424
5017,29719,-101.682,33.4411,TEXAS,SLATON,4879364
5017,29719,-101.6868,33.4607,TEXAS,SLATON,4879364
1194441,5464723,-102.9167,34.33333,TEXAS,LARIAT,4879325
1187985,5447493,-96.36667,30.66667,TEXAS,BRYAN,4877803
1214178,5517382,-100.2667,35.51667,TEXAS,WHEELER,4879096
1214178,5517375,-100.8167,35.43333,TEXAS,LEFORS,4879054
1214178,5517374,-101.0,34.93333,TEXAS,CLARENDON,4879226
6203,36218,-96.4366,29.97,TEXAS,INDUSTRY,4878950
6205,36226,-102.55,32.32,TEXAS,ANDREWS,4879714
6205,36227,-102.55,32.32,TEXAS,ANDREWS,4879714
6205,36229,-102.3189,31.85,TEXAS,ODESSA,4879766
1194681,5463051,-101.7667,31.33333,TEXAS,STILES,
1194681,5463049,-101.65,31.566670000000002,TEXAS,BIG LAKE,
1203607,5486069,-96.1,28.91667,TEXAS,MARKHAM,4877465
47410,276817,-100.52,33.849000000000004,TEXAS,DUMONT,4879256
31672,186009,-101.91,35.2,TEXAS,AMARILLO,4879106
1194440,5464640,-100.9333,33.61667,TEXAS,DICKENS,4879370
1203607,5486068,-95.03333,31.16667,TEXAS,GROVETON,4875845
1194440,5464639,-100.9833,33.8,TEXAS,MC ADOO,4879243
5017,29720,-102.0,33.9566,TEXAS,COTTON CENTER,4879021
44690,259238,-94.62,33.51,TEXAS,DE KALB,4875559
1194440,5464638,-100.8667,33.9,TEXAS,ROARING SPGS,4879256
1194440,5464636,-101.2167,33.88333,TEXAS,FLOYDADA,4879235
1194440,5464635,-100.8333,33.76667,TEXAS,DICKENS,4879220
44690,259239,-94.98,33.2134,TEXAS,MT PLEASANT,4875455
44690,259242,-94.8077,33.1949,TEXAS,OMAHA,4875571
1214170,5517175,-102.6833,36.06667,TEXAS,DALHART,4879022
31652,185936,-101.78,35.06,TEXAS,LAKE TANGLEWOOD,4879118
31652,185934,-101.71,34.98,TEXAS,PALO DURO CANYON STATE PARK,4879015
1194681,5463052,-102.3833,31.683329999999998,TEXAS,PLEASANT FARMS,4879766
1214178,5517295,-101.0667,35.0,TEXAS,ASHTOLA,4879226
1194440,5464710,-100.3167,33.81667,TEXAS,GROW,4879236
1214178,5517294,-101.45,35.81667,TEXAS,STINNETT,4879083
1214178,5517293,-101.3833,35.66667,TEXAS,BORGER,4879007
1214178,5517292,-101.3833,35.66667,TEXAS,BORGER,4879007
48351,282415,-95.182,33.63,TEXAS,BAGWELL,4875426
1214178,5517289,-101.3667,34.75,TEXAS,CLAUDE,4879019
1214174,5517282,-101.8167,35.48333,TEXAS,AMARILLO,
1214174,5517280,-101.8167,35.48333,TEXAS,AMARILLO,
46978,273372,-95.48,32.13,TEXAS,FINCASTLE,4875763
1194440,5464641,-100.8333,33.61667,TEXAS,DICKENS,4879229
47432,276331,-94.6588,32.291,TEXAS,KURTH LAKE,4875652
1214173,5517279,-101.8167,35.2,TEXAS,AMARILLO,4879102
1214173,5517278,-100.5333,36.45,TEXAS,BOOKER,4879005
1214173,5517276,-101.8,35.16667,TEXAS,AMARILLO,4879118
47432,276331,-94.6479,32.2917,TEXAS,STEWART,4875691
1214173,5517275,-101.8333,35.16667,TEXAS,AMARILLO,4879118
1214172,5517274,-99.98333000000001,36.43333,TEXAS,FOLLETT,
1214172,5517272,-100.1833,36.46667,TEXAS,FOLLETT,4879034
31652,185925,-101.69,35.2,TEXAS,(AMA)AMARILLO INTL A,4879111
47438,276389,-94.18,31.78,TEXAS,CENTER,4875935
31672,186011,-101.87,35.16,TEXAS,AMARILLO,4879110
44690,259269,-94.23,32.43,TEXAS,CROSSROADS,4875672
44690,259258,-95.25,32.33,TEXAS,ELKTON,4875707
26011,151921,-95.38,32.53,TEXAS,LINDALE,4875771
26012,151922,-95.3,32.18,TEXAS,FLINT,4875703
26012,151923,-95.3,32.33,TEXAS,TYLER,4875701
26030,153426,-95.4012,30.3078,TEXAS,BEACH,4877301
6002,35169,-100.32,36.43,TEXAS,DARROUZETT,4879024
26030,153420,-95.4561,30.3122,TEXAS,CONROE,4877301
31672,186022,-100.64,35.69,TEXAS,MIAMI,4879059
31672,186021,-101.87,35.16,TEXAS,AMARILLO,4879110
26030,153427,-95.4616,30.2373,TEXAS,TAMINA,4877384
31672,186019,-100.61,36.48,TEXAS,TWICHELL,4879005
1194680,5463046,-102.4,30.15,TEXAS,MIDLAND,4879848
6002,35168,-101.3236,36.0522,TEXAS,PRINGLE,4879083
26352,154228,-95.8,31.6,TEXAS,OAKWOOD,4875855
26012,151924,-94.97,32.28,TEXAS,OVERTON,4875684
6002,35165,-101.3817,35.9536,TEXAS,STINNETT,4879083
6002,35164,-101.45,35.9067,TEXAS,STINNETT,4879083
26012,151931,-94.65,31.61,TEXAS,NACOGDOCHES,4875961
6002,35161,-101.45,35.82,TEXAS,STINNETT,4879083
1194680,5463047,-102.0833,32.0,TEXAS,MIDLAND,4879701
26011,151920,-95.47,32.51,TEXAS,GARDEN VLY,4875771
1194680,5463047,-102.0833,32.03333,TEXAS,MIDLAND,4879705
26030,153566,-95.3629,30.3336,TEXAS,CUT AND SHOOT,4877303
6002,35170,-100.8,36.4578,TEXAS,PERRYTON,4879070
26354,154241,-97.85,33.5411,TEXAS,BOWIE,4876230
26030,153572,-95.35,29.99,TEXAS,(IAH)HOUSTON INTL AR,4877032
48283,281940,-98.99,30.27,TEXAS,MORRIS RANCH,4878624
31587,185590,-100.89,34.94,TEXAS,CLARENDON,4879226
26352,154231,-95.98,31.25,TEXAS,CENTERVILLE,4875833
26030,153571,-95.4116,29.9454,TEXAS,JETERO,4877060
26352,154230,-95.73,31.68,TEXAS,TUCKER,4875801
26030,153570,-95.08,30.34,TEXAS,CLEVELAND,4877327
26030,153569,-95.087,30.3462,TEXAS,CLEVELAND,4877327
26030,153568,-95.1677,30.322,TEXAS,EXCELSIOR,4877328
26352,154229,-95.63,31.92,TEXAS,ELMWOOD,4875803
26030,153567,-95.1849,30.3202,TEXAS,FOSTORIA,4877328
24972,148051,-98.34,30.43,TEXAS,ROUND MTN,4878663
44102,256319,-95.4,32.24,TEXAS,NOONDAY,4875703
44102,256320,-95.26,31.97,TEXAS,JACKSONVILLE,4875766
24998,145579,-97.76,33.02,TEXAS,COTTONDALE,4876082
24998,145581,-97.9,33.08,TEXAS,BOONSVILLE,4876426
25806,150645,-95.5018,29.763,TEXAS,SPRING VLY,4877024
26012,151933,-94.34,32.15,TEXAS,CARTHAGE,4875633
26030,153418,-95.56,30.36,TEXAS,LAKE CONROE DAM,4877304
26352,154227,-95.633,31.8961,TEXAS,ELMWOOD,4875803
26012,151937,-95.4,32.24,TEXAS,NOONDAY,4875703
6002,35123,-101.45,35.82,TEXAS,STINNETT,4879083
6002,35120,-101.5052,35.7504,TEXAS,SANFORD,4879083
48286,281952,-100.49,28.75,TEXAS,LA GLORIA,4878852
26123,161343,-97.74,30.41,TEXAS,WATERS ROCK,4878759
6002,35119,-101.38,35.67,TEXAS,BORGER,4879007
31588,185595,-102.9,36.42,TEXAS,TEXLINE,4879022
31588,185594,-102.18,36.34,TEXAS,CONLEN,4879022
26012,151963,-95.4751,32.6063,TEXAS,GARDEN VLY,4875773
31588,185593,-102.15,36.28,TEXAS,MALLETT,4879084
26012,151963,-95.49700000000001,32.578,TEXAS,GARDEN VLY,4875771
26123,161340,-97.74,30.49,TEXAS,JOLLYVILLE,4878717
26012,151964,-95.43,32.664,TEXAS,HOARD,4875773
26123,161341,-97.77,30.49,TEXAS,JOLLYVILLE,4878717
26012,151964,-95.4751,32.6063,TEXAS,MINEOLA,4875773
1194680,5463045,-102.4,30.15,TEXAS,SANDERSON,4879848
48286,281951,-100.49,28.71,TEXAS,EAGLE PASS,4878852
48283,281945,-98.99,30.17,TEXAS,MORRIS RANCH,4878624
48283,281944,-99.0,30.23,TEXAS,MORRIS RANCH,4878624
26015,151965,-95.3,32.2,TEXAS,FLINT,4875703
26030,152135,-95.8411,30.9797,TEXAS,MADISONVILLE,4877864
6002,35171,-100.32,36.43,TEXAS,DARROUZETT,4879024
48286,281955,-100.78,29.36,TEXAS,(DLF)LAUGHLIN AFB DE,4878843
26012,151956,-95.27,32.14,TEXAS,BULLARD,4875757
48283,281941,-98.79,30.09,TEXAS,BANKERSMITH,4878624
26030,153417,-95.51,30.42,TEXAS,WILLIS,4877318
26030,153416,-95.4973,30.3273,TEXAS,GRANGER,4877304
6205,36234,-103.67,30.37,TEXAS,ALPINE,4879830
48283,281942,-98.96,30.27,TEXAS,FREDERICKSBURG ARPT,4878624
6002,35144,-101.4857,35.82,TEXAS,STINNETT,4879083
