EPISODE_ID,EVENT_ID,LONGITUDE,LATITUDE,STATE,LOCATION,ZIPCODE
10669,59890,-111.61,40.16,UTAH,SPRINGVILLE,4984663
10669,59889,-110.4,39.55,UTAH,COLUMBIA JCT,4984539
1105875,5177625,-111.71667,40.35,UTAH,LINDON,4984042
1105879,5177631,-112.03333,40.51667,UTAH,HERRIMAN,4984096
10669,59886,-111.49,41.02,UTAH,HENEFER,4984033
1105882,5177903,-112.43333,37.81667,UTAH,PANGUITCH,4984759
1105883,5177904,-112.33333,38.96667,UTAH,FILLMORE,4984631
10669,59888,-111.39,40.92,UTAH,COALVILLE,4984017
1105883,5177904,-112.41667,38.88333,UTAH,FILLMORE,4984637
1105885,5177910,-112.0,37.53333,UTAH,HENRIEVILLE,4984718
1105890,5177916,-112.63333,37.26667,UTAH,ORDERVILLE,4984741
1105881,5177902,-112.26666999999999,38.16667,UTAH,CIRCLEVILLE,4984723
1105837,5178371,-113.13333,40.46667,UTAH,CENTRAL PORTION,
96851,582681,-111.85,40.57,UTAH,SANDY CITY,4984092
42565,252317,-113.65,37.13,UTAH,SANTA CLARA,4984765
1105844,5178478,-111.86667,39.55,UTAH,LEVAN,4984639
90482,543275,-112.05,37.57,UTAH,CANNONVILLE,
1105845,5178479,-111.81667,40.66667,UTAH,HOLLADAY,4984117
1105836,5178369,-111.7,40.31667,UTAH,OREM,4984057
55240,331796,-109.4615,40.8829,UTAH,DUTCH JOHN,4984023
1218773,5529884,-111.8667,40.9,UTAH,CENTERVILLE,4984010
1105846,5178480,-111.93333,40.6,UTAH,WEST JORDAN,4984088
1105846,5178481,-112.05,40.7,UTAH,KEARNS,4984128
1105858,5178684,-111.86667,40.91667,UTAH,CENTERVILLE,4984014
77850,469323,-111.94,40.52,UTAH,RIVERTON,4984065
77850,469321,-111.32,40.5,UTAH,CENTER CREEK,4984032
77850,469320,-111.16,39.6,UTAH,WATTIS JCT,4984526
1105871,5177621,-111.88333,40.88333,UTAH,BOUNTIFUL,4984010
34063,197536,-110.96,39.33,UTAH,HUNTINGTON,4984528
34063,197537,-111.59,39.53,UTAH,MORONI,4984646
1195159,5468643,-110.25,40.33333,UTAH,ALTAMONT,4984001
1218761,5529581,-111.4,40.65,UTAH,HEBER CITY,4984036
1105843,5178476,-111.81667,39.15,UTAH,GUNNISON,4984634
96838,582638,-111.66,37.07,UTAH,GLEN CANYON,4984741
1218768,5529880,-111.9333,40.66667,UTAH,TAYLORSVILLE,4984123
96842,582654,-111.85,40.57,UTAH,SANDY CITY,4984092
96851,582679,-110.06,39.99,UTAH,MYTON,
96851,582683,-112.08,41.63,UTAH,HONEYVILLE,4984314
31848,187125,-109.5379,40.4492,UTAH,VERNAL,4984078
1125839,5275345,-113.06667,41.48333,UTAH,CENTRAL PORTION,
8342,47811,-112.1399,41.88,UTAH,PLYMOUTH,4984330
89998,540993,-111.94,40.52,UTAH,RIVERTON,4984065
89998,540992,-112.42,40.59,UTAH,MARSHALL,4984029
89998,540990,-112.47,40.59,UTAH,GRANTSVILLE,4984029
89995,540984,-113.98,40.03,UTAH,IBAPAH,4984034
89959,540876,-112.01,40.69,UTAH,HUNTER,4984120
31848,187063,-109.4726,40.4216,UTAH,NAPLES,4984078
31848,187064,-109.7457,40.9808,UTAH,MANILA,4984046
1216224,5524227,-109.55,38.65,UTAH,MOAB,4984532
42564,252223,-110.7379,39.5394,UTAH,(PUC)CARBON CO ARPT,4984542
1175532,5413273,-109.68333,40.96667,UTAH,MANILA,4984046
1218780,5529967,-110.7333,40.55,UTAH,WELLINGTON,4984031
55816,334478,-110.71,40.35,UTAH,TABIONA,4984072
1221535,5533744,-109.85,40.28333,UTAH,FT DUCHESNE,4984026
1221530,5533694,-109.8,38.5,UTAH,MOAB,4984532
1092984,5138066,-109.55,38.61667,UTAH,MOAB,4984532
89999,540998,-111.85,40.4,UTAH,LEHI,4984043
89999,540999,-110.4,39.55,UTAH,COLUMBIA JCT,4984539
31848,187063,-109.5601,40.4109,UTAH,(VEL)VERNAL ARPT,4984078
1125875,5275567,-111.13333,39.1,UTAH,FERRON,4984523
1125839,5275345,-112.01666999999999,41.51667,UTAH,CENTRAL PORTION,4984302
1125843,5275350,-111.75,40.75,UTAH,SUGAR HOUSE,4984108
1125846,5275353,-111.9,40.6,UTAH,MIDVALE,4984047
1125847,5275419,-111.58333,38.4,UTAH,LYMAN,4984749
1125851,5275423,-113.01666999999999,38.4,UTAH,MILFORD,4984751
115596,694245,-111.93,41.13,UTAH,SOUTH WEBER,4984405
115596,694245,-112.06,41.1,UTAH,SYRACUSE,4984075
1125864,5275519,-113.13333,40.46667,UTAH,CENTRAL PORTION,
1125872,5275527,-113.01666999999999,38.4,UTAH,MILFORD,4984751
1125838,5275344,-111.6,37.76667,UTAH,ESCALANTE,4984726
1125874,5275566,-112.11667,38.63333,UTAH,MONROE,4984754
1125832,5275277,-111.43333,39.63333,UTAH,FAIRVIEW,4984629
256,1054,-110.0,38.95,UTAH,CRESCENT JCT,4984525
256,1054,-110.04,38.95,UTAH,CRESCENT JCT,
1139998,5311499,-109.33333,40.36667,UTAH,JENSEN,4984035
1221535,5533744,-109.65,40.23333,UTAH,FT DUCHESNE,4984063
8342,47811,-112.1351,41.88,UTAH,PLYMOUTH,4984330
89999,541000,-111.86,40.88,UTAH,BOUNTIFUL,4984010
89999,541001,-110.9,39.76,UTAH,UTAH RAILWAY JCT,4984526
1103468,5174320,-109.35,37.86667,UTAH,MONTICELLO,4984535
85304,515349,-112.05,41.92,UTAH,CLARKSTON,4984305
30795,180854,-109.3104,40.3537,UTAH,JENSEN,4984035
18548,108600,-109.8669,40.1385,UTAH,RANDLETT,4984052
1103464,5174026,-109.66667,38.81667,UTAH,MOAB,
1103464,5174026,-109.78333,38.76667,UTAH,MOAB,
54371,326468,-111.91,41.95,UTAH,UTIDA,4984320
1103461,5174023,-109.25,39.1,UTAH,CISCO,
1103461,5174023,-109.21667,39.15,UTAH,CISCO,4984540
1125877,5275569,-111.08333,39.93333,UTAH,SOLDIER SUMMIT,4984526
1125878,5275570,-111.1,39.13333,UTAH,CLAWSON,4984516
31848,187123,-109.6628,40.1988,UTAH,LEOTA,4984063
1125879,5275571,-110.81667,39.6,UTAH,PRICE,4984501
79102,475116,-111.96,41.08,UTAH,LAYTONA,4984041
31848,187125,-109.5303,40.4534,UTAH,VERNAL,4984078
1103469,5174321,-109.23333000000001,37.86667,UTAH,MONTICELLO,4984535
1092984,5138066,-109.55,38.6,UTAH,MOAB,4984532
41471,241728,-112.03,40.52,UTAH,HERRIMAN,4984096
1218774,5529885,-110.8667,40.68333,UTAH,HELPER,4984031
93075,558269,-109.6079,40.4813,UTAH,MAESER,4984078
93075,558269,-109.5485,40.4767,UTAH,VERNAL,4984078
89999,541002,-111.11,39.41,UTAH,MOHRLAND,4984528
1218779,5529966,-111.3,40.71667,UTAH,OAKLEY,4984055
1218778,5529965,-110.3833,39.55,UTAH,EAST CARBON CITY,
31848,187064,-109.8224,40.9802,UTAH,MANILA,4984046
31848,187065,-109.47,40.7551,UTAH,DUTCH JOHN,
31848,187065,-109.4908,40.654,UTAH,DUTCH JOHN,4984078
31848,187123,-109.7012,40.1873,UTAH,LEOTA,4984063
43681,254130,-109.5009,40.4782,UTAH,VERNAL,4984078
1179528,5422459,-112.01666999999999,41.51667,UTAH,BRIGHAM CITY,4984302
1218777,5529964,-110.0833,40.41667,UTAH,NEOLA,4984053
1218776,5529963,-111.0833,39.26667,UTAH,CASTLE DALE,4984537
43681,254133,-109.5364,40.4528,UTAH,VERNAL,4984078
1218775,5529886,-111.3833,40.53333,UTAH,HEBER CITY,4984032
30795,180844,-109.8,40.23,UTAH,RANDLETT,4984063
1125876,5275568,-111.83333,39.71667,UTAH,NEPHI,4984648
98324,591714,-111.95,41.97,UTAH,CORNISH,4984308
42564,252223,-110.74,39.54,UTAH,(PUC)CARBON CO ARPT,4984542
57439,346603,-113.1633,37.0972,UTAH,GRAFTON,4984737
79872,519531,-109.28,37.83,UTAH,MONTICELLO,4984535
1213351,5513620,-111.6167,40.13333,UTAH,SPRINGVILLE,4984663
1213352,5513622,-111.65,40.11667,UTAH,SPANISH FORK,4984660
1100298,5155231,-109.56667,40.86667,UTAH,MANILA,4984023
