EPISODE_ID,EVENT_ID,LONGITUDE,LATITUDE,STATE,LOCATION,ZIPCODE
1154057,5362330,-77.91667,37.18333,VIRGINIA,SPAINVILLE,5123824
1208508,5504806,-77.15,37.51667,VIRGINIA,GLEN ALLEN,5123141
1154057,5362329,-77.98333000000001,37.31667,VIRGINIA,AMELIA,5123002
1208508,5504805,-77.45,37.35,VIRGINIA,RICHMOND,5123831
1208508,5504807,-76.86667,37.96667,VIRGINIA,RICHMOND,5122572
109018,653056,-77.61,37.6,VIRGINIA,QUIOCCASIN,5123238
109018,653064,-77.57,37.52,VIRGINIA,BON AIR,5123235
109018,653067,-77.58,37.5,VIRGINIA,BON AIR,5123236
50957,303647,-77.8192,37.7099,VIRGINIA,OILVILLE,5123102
1221297,5534509,-79.95,37.26667,VIRGINIA,ROANOKE CITY,5124016
87793,530622,-79.12,37.42,VIRGINIA,MADISON HGTS,5124572
1208508,5503323,-77.68333,37.71667,VIRGINIA,DEEP CREEK,5123146
50957,303646,-78.3566,37.3063,VIRGINIA,KIMBERLEY HILLS,5123901
1208508,5503322,-77.7,37.33333,VIRGINIA,DELAWARE,5123838
1221297,5534511,-80.06667,37.28333,VIRGINIA,CENTRAL PORTION,5124153
50957,303646,-78.3296,37.365,VIRGINIA,RANIES TAVERN,5123901
1208508,5503321,-78.1,36.96667,VIRGINIA,FRANKLIN,5123944
1208508,5503320,-77.71667,37.7,VIRGINIA,KING WILLIAM,5123103
1208508,5503319,-77.76666999999999,37.7,VIRGINIA,TAPPAHANNOCK,5123129
1208508,5503314,-78.6,37.26667,VIRGINIA,AYLETT,5123960
109018,653055,-77.59,37.59,VIRGINIA,QUIOCCASIN,5123229
50957,303647,-77.8036,37.7341,VIRGINIA,OILVILLE,5123102
87775,529565,-78.44,38.51,VIRGINIA,SYRIA,5122743
87793,529711,-79.68,37.19,VIRGINIA,MONETA,5124121
1221297,5534510,-79.95,37.33333,VIRGINIA,NORTHEAST PORTION,5124019
1208508,5504804,-77.13333,37.91667,VIRGINIA,SHORT PUMP,5123126
109018,653072,-77.08,37.01,VIRGINIA,WAVERLY,5123890
1208513,5503434,-75.96667,37.35,VIRGINIA,EASTVILLE,5123310
51236,303865,-79.63,36.69,VIRGINIA,SOAPSTONE,5124054
51236,303864,-79.4,36.82,VIRGINIA,CHATHAM,5124531
1208519,5503454,-76.36667,37.91667,VIRGINIA,HEATHSVILLE,5122473
1208519,5503455,-75.83333,37.53333,VIRGINIA,EXMORE,5123350
1208520,5503549,-76.21667,36.78333,VIRGINIA,BUTTS,5123320
1208520,5503550,-76.26666999999999,36.81667,VIRGINIA,CHESAPEAKE,5123324
1208520,5503551,-76.1,36.83333,VIRGINIA,KEMPSVILLE,5123452
1208520,5503552,-76.01666999999999,36.83333,VIRGINIA,OCEANA,5123454
1208524,5503559,-78.46667,37.23333,VIRGINIA,HAMPDEN SYDNEY,5123901
1208517,5503451,-75.96667,37.35,VIRGINIA,EASTVILLE,5123310
51236,303894,-81.8,37.1,VIRGINIA,RICHLANDS,5124641
1208524,5503560,-78.15,37.16667,VIRGINIA,CREWE,5123930
87787,529656,-79.74,36.77,VIRGINIA,MOUNTAIN VLY,5124112
87775,529567,-77.6127,38.2039,VIRGINIA,SPOTSYLVANIA,5122551
87775,529566,-78.48,38.54,VIRGINIA,PINE GROVE,5122851
51236,303898,-81.27,37.24,VIRGINIA,BLUEFIELD,5124605
50957,303648,-77.8024,37.7372,VIRGINIA,DABNEYS,5123102
51236,303902,-80.73,37.22,VIRGINIA,POPLAR HILL,5124134
51236,303902,-80.68,37.25,VIRGINIA,TRIGG,5124134
1137235,5301675,-82.18333,36.63333,VIRGINIA,OAK GROVE,5124202
1221297,5534508,-79.95,37.26667,VIRGINIA,ROANOKE CITY,5124016
1208517,5503450,-76.46667,37.91667,VIRGINIA,HEATHSVILLE,5122473
1208517,5503449,-75.91667,37.4,VIRGINIA,MACHIPONGO,5123405
109018,653075,-77.56,36.71,VIRGINIA,KINGSBERRY,5123847
50957,303648,-77.8036,37.7341,VIRGINIA,DABNEYS,5123102
87787,529667,-78.3,37.7,VIRGINIA,NEW CANTON,5123123
1208513,5503337,-76.83333,38.1,VIRGINIA,MONTROSS,5122520
1208513,5503338,-76.73333000000001,38.1,VIRGINIA,MACHODOC,5122520
51236,303866,-79.33,36.7,VIRGINIA,KEELING,5124566
51236,303871,-78.8786,36.9796,VIRGINIA,CLARKTON,5124577
1208513,5503433,-76.56667,37.96667,VIRGINIA,CALLAO,5122435
51236,303888,-81.5,36.83,VIRGINIA,MARION,5124354
51236,303901,-80.85,37.2,VIRGINIA,WHITE GATE,5124134
1208517,5503443,-76.95,38.25,VIRGINIA,COLONIAL BEACH,
1208517,5503444,-76.86667,38.05,VIRGINIA,NEWLAND,5122572
51236,303871,-79.0945,36.7825,VIRGINIA,HIGH ROCK,5124597
51236,303882,-81.68,36.79,VIRGINIA,CHILHOWIE,5124319
1208517,5503445,-76.76666999999999,37.96667,VIRGINIA,WARSAW,5122572
1208517,5503446,-76.6,37.75,VIRGINIA,MORATTICO,5123079
1208517,5503447,-76.53333,37.78333,VIRGINIA,NUTTSVILLE,5122503
1208517,5503448,-76.43333,37.66667,VIRGINIA,WHITE STONE,5122576
107906,646495,-76.95,36.7,VIRGINIA,FRANKLIN,5123851
51236,303862,-79.45,36.62,VIRGINIA,WESTOVER HILLS,5124540
