EPISODE_ID,EVENT_ID,LONGITUDE,LATITUDE,STATE,LOCATION,ZIPCODE
1092943,5138166,-117.1,47.65,WASHINGTON,SPOKANE,5399019
9473,53345,-117.42,47.6266,WASHINGTON,SPOKANE,5399203
1096975,5148799,-117.5,47.6,WASHINGTON,SPOKANE,5399224
1212898,5515857,-117.1833,46.75,WASHINGTON,PULLMAN,5399163
1216649,5524281,-119.4333,48.93333,WASHINGTON,OROVILLE,5398844
1096977,5151350,-119.76666999999999,48.25,WASHINGTON,MALOTT,5398829
1094657,5142724,-118.31667,46.01667,WASHINGTON,WALLA WALLA,5399362
1212898,5515858,-117.0667,47.73333,WASHINGTON,NEWMAN LAKE,5399025
1212898,5515856,-117.5333,46.46667,WASHINGTON,POMEROY,5399347
6571,38243,-117.13,46.1011,WASHINGTON,ANATONE,5399401
1096976,5148801,-117.85,48.36667,WASHINGTON,ADDY,5399101
1116601,5251475,-119.9,46.25,WASHINGTON,GRANDVIEW,5398930
1219852,5532580,-119.5,48.56667,WASHINGTON,RIVERSIDE,5398849
1090803,5132929,-117.98333000000001,46.31667,WASHINGTON,DAYTON,5399328
1219852,5532581,-119.4,48.56667,WASHINGTON,RIVERSIDE,5398849
1219852,5532579,-119.55,48.61667,WASHINGTON,CONCONULLY,5398855
1219852,5532578,-119.6667,48.61667,WASHINGTON,CONCONULLY,5398855
1219849,5532575,-117.0667,46.13333,WASHINGTON,ANATONE,5399402
7991,46070,-122.38,46.0,WASHINGTON,YALE,5398603
1216649,5524280,-119.6333,48.81667,WASHINGTON,LOOMIS,5398827
10805,59979,-121.75,46.9446,WASHINGTON,PARADISE INN,5398304
4640,26507,-120.6904,46.4004,WASHINGTON,WHITE SWAN,5398933
1212898,5515860,-117.1833,48.15,WASHINGTON,DIAMOND LAKE,5399156
1216660,5524594,-120.2333,47.61667,WASHINGTON,ORONDO,5398843
1090803,5132929,-118.0,46.31667,WASHINGTON,DAYTON,5399328
1096977,5151350,-119.7,48.3,WASHINGTON,MALOTT,5398840
133456,798658,-122.6158,47.5181,WASHINGTON,PORT ORCHARD,5398366
1209613,5506906,-118.7167,46.38333,WASHINGTON,REDD,5399301
1116254,5251204,-118.96667,46.96667,WASHINGTON,RITZVILLE,5398857
1116254,5251204,-118.38333,47.26667,WASHINGTON,RITZVILLE,5399169
1116254,5251205,-119.03333,46.96667,WASHINGTON,WARDEN,5398857
121040,724636,-122.6393,45.7259,WASHINGTON,SALMON CREEK,5398686
121040,724636,-122.6376,45.7242,WASHINGTON,SALMON CREEK,5398686
1218851,5530409,-120.6,46.36667,WASHINGTON,HARRAH,5398952
9473,53342,-117.42,47.6266,WASHINGTON,SPOKANE,5399203
1093512,5139138,-120.25,46.45,WASHINGTON,ZILLAH,5398953
1212384,5511017,-121.7333,47.86667,WASHINGTON,SULTAN,5398294
1216645,5524257,-121.0333,47.85,WASHINGTON,TELMA,5398826
1216646,5524258,-118.3167,46.75,WASHINGTON,WASHTUCNA,5399371
1111777,5233760,-122.28333,47.9,WASHINGTON,EVERETT ARPT,5398204
1116044,5249985,-122.51666999999999,47.6,WASHINGTON,SEATTLE,5398110
1221255,5534615,-122.4167,45.7,WASHINGTON,CAMP BONNEVILLE,5398606
1218003,5526185,-121.0333,47.23333,WASHINGTON,CLE ELUM,5398940
3245,17870,-117.37,47.0,WASHINGTON,STEPTOE,5399111
116679,701575,-119.4,46.32,WASHINGTON,ACTON,5399353
1216646,5524259,-118.3167,46.81667,WASHINGTON,WASHTUCNA,5399371
1216646,5524260,-118.25,47.48333,WASHINGTON,HARRINGTON,5399134
1111777,5233760,-121.96667,47.85,WASHINGTON,EVERETT ARPT,5398272
1216647,5524271,-119.75,48.56667,WASHINGTON,CONCONULLY,5398819
1216647,5524268,-120.0833,48.35,WASHINGTON,TWISP,5398856
1218006,5526191,-120.9333,46.81667,WASHINGTON,TIETON,5398937
1218007,5526192,-120.9833,47.21667,WASHINGTON,ROSLYN,5398941
125386,762933,-117.93,48.57,WASHINGTON,PALMERS,5399114
1218007,5526193,-121.0167,47.25,WASHINGTON,CLE ELUM,5398940
16085,94136,-118.2,48.5026,WASHINGTON,INCHELIUM,5399141
1101402,5169558,-117.13333,46.13333,WASHINGTON,ANATONE,5399401
116330,699548,-118.97,48.17,WASHINGTON,NESPELEM,5399155
6813,45618,-118.1512,47.4523,WASHINGTON,HARRINGTON,5399134
1092943,5138166,-117.41667,47.66667,WASHINGTON,SPOKANE,5399201
117101,704548,-121.86,45.78,WASHINGTON,CARSON,5398610
1116601,5251474,-120.0,46.21667,WASHINGTON,MABTON,5398935
1216647,5524261,-120.55,47.53333,WASHINGTON,DRYDEN,5398815
16175,93139,-120.5752,46.55,WASHINGTON,UNION GAP,5398903
16175,93139,-120.5763,46.55,WASHINGTON,UNION GAP,5398903
1116601,5251472,-119.85,46.6,WASHINGTON,SUNNYSIDE,5398944
1216647,5524262,-120.4333,47.81667,WASHINGTON,ENTIAT,5398822
13725,76971,-122.6924,45.6787,WASHINGTON,HAZEL DELL,5398665
1112998,5239877,-117.28333,46.75,WASHINGTON,ALBION,5399163
1216647,5524274,-119.4333,49.0,WASHINGTON,OROVILLE,5398844
1216647,5524273,-119.55,48.93333,WASHINGTON,OROVILLE,5398844
6813,45618,-118.2046,47.4493,WASHINGTON,HARRINGTON,5399134
1112998,5239877,-117.18333,46.91667,WASHINGTON,ALBION,5399161
1116601,5251471,-120.26666999999999,46.43333,WASHINGTON,BUENA,5398953
1216647,5524273,-119.5167,48.93333,WASHINGTON,OROVILLE,5398844
1116600,5251470,-119.26666999999999,46.45,WASHINGTON,RICHLAND,5398944
1116599,5251469,-119.05,46.55,WASHINGTON,MESA,5399343
1116598,5251468,-118.08333,46.43333,WASHINGTON,STARBUCK,5399361
1116596,5251466,-118.53333,46.05,WASHINGTON,WHITMAN,5399362
13725,76971,-122.4986,45.7342,WASHINGTON,HOCKINSON,5398606
1216647,5524263,-120.1333,47.86667,WASHINGTON,CHELAN,5398831
133456,798658,-122.6395,47.507,WASHINGTON,PORT ORCHARD,5398366
1116043,5249984,-122.18333,47.18333,WASHINGTON,BONNEY LAKE,5398391
1216647,5524264,-120.0167,47.83333,WASHINGTON,CHELAN,5398816
1095320,5145161,-122.51666999999999,45.76667,WASHINGTON,BATTLE GROUND,5398604
1112998,5239876,-117.2,47.13333,WASHINGTON,OAKESDALE,5399158
9473,53344,-117.42,47.6266,WASHINGTON,SPOKANE,5399203
94586,569288,-117.78,48.8911,WASHINGTON,NORTHPORT,5399114
87564,528533,-120.3,46.0,WASHINGTON,BICKLETON,5399322
79124,474813,-117.48,46.01,WASHINGTON,GROUSE,5399347
79124,474812,-117.48,46.01,WASHINGTON,ROSE SPGS,5399347
79124,474812,-117.49,46.01,WASHINGTON,ROSE SPGS,5399347
28018,164255,-118.5926,47.7148,WASHINGTON,CRESTON,5399117
64101,383827,-119.17,46.2,WASHINGTON,KENNEWICK VISTA ARPT,5399336
28018,164254,-118.5727,47.7204,WASHINGTON,CRESTON,5399117
28018,164254,-118.6091,47.7144,WASHINGTON,WILBUR PIPER ARPT,5399117
28018,164252,-118.5758,47.7257,WASHINGTON,CRESTON,5399117
28018,164252,-118.6194,47.7453,WASHINGTON,WILBUR,5399185
28018,164249,-118.5787,47.7229,WASHINGTON,CRESTON,5399117
74381,449881,-120.3702,47.052,WASHINGTON,KITTITAS,5398926
74381,449878,-119.78,46.2,WASHINGTON,PROSSER,5399350
45637,264896,-122.74,46.48,WASHINGTON,(TDO)TOLEDO-WINLOCK,5398591
20736,123083,-121.88,47.3555,WASHINGTON,KANGLEY,5398051
1174234,5408008,-117.55,47.95,WASHINGTON,CLAYTON,5399006
79124,474813,-117.37,46.0,WASHINGTON,MOUNTAIN VIEW,5399401
41128,239172,-120.01,47.69,WASHINGTON,WATERVILLE ARPT,5398858
41128,239173,-120.24,47.68,WASHINGTON,ENTIAT,5398822
76404,460701,-119.43,47.62,WASHINGTON,ST ANDREWS,5399115
22150,130468,-117.13,46.0721,WASHINGTON,ANATONE,5399401
22150,130466,-117.43,47.15,WASHINGTON,BALDER,5399170
22150,130465,-117.45,47.12,WASHINGTON,SUNSET,5399176
22150,130464,-118.0,46.61,WASHINGTON,RIPARIA,5399143
22150,130463,-117.13,46.02,WASHINGTON,ANATONE,5399401
64101,383825,-118.05,46.07,WASHINGTON,KOOSKOOSKIE,5399361
28018,168946,-118.02,47.28,WASHINGTON,SPRAGUE,5399032
61603,368558,-118.34,46.08,WASHINGTON,WALLA WALLA,5399362
64101,383826,-118.04,46.06,WASHINGTON,KOOSKOOSKIE,5399362
1167848,5391044,-122.75,45.81667,WASHINGTON,RIDGEFIELD,5398642
52312,312323,-122.89,46.58,WASHINGTON,NAPAVINE,5398532
1178735,5418947,-117.35,46.88333,WASHINGTON,COLFAX,5399111
28018,164255,-118.5665,47.718999999999994,WASHINGTON,CRESTON,5399117
41128,239174,-119.84,47.78,WASHINGTON,LAMOINE,5398858
76404,460704,-118.98,48.05,WASHINGTON,BELVEDERE,5399116
73317,442970,-122.45,45.75,WASHINGTON,VENERSBORG,5398606
1161411,5333212,-119.43333,45.93333,WASHINGTON,PLYMOUTH,5399346
22150,130470,-117.03,46.33,WASHINGTON,ASOTIN,5399402
1206721,5497422,-122.1833,48.05,WASHINGTON,MARYSVILLE,5398270
18373,108435,-117.22,47.67,WASHINGTON,OPPORTUNITY,5399216
65808,394657,-119.35,47.12,WASHINGTON,MAE,5398837
65808,394656,-119.44,47.16,WASHINGTON,MAE,5398837
65728,393667,-117.4,47.12,WASHINGTON,THORNTON,5399176
65728,393664,-117.58,47.06,WASHINGTON,ST JOHN,5399171
