EPISODE_ID,EVENT_ID,LONGITUDE,LATITUDE,STATE,LOCATION,ZIPCODE
1150475,5351443,-81.4,39.03333,WEST VIRGINIA,PALESTINE,5426143
18557,108734,-81.07,37.35,WEST VIRGINIA,ONEY GAP,5424740
18557,108733,-81.1534,37.3368,WEST VIRGINIA,GLENWOOD,5424740
18557,108731,-81.14,37.3094,WEST VIRGINIA,CERES,5424701
18557,108730,-81.25,37.42,WEST VIRGINIA,GIATTO,5424736
18557,108729,-81.31,37.37,WEST VIRGINIA,MC COMAS,5424747
18557,108726,-80.3034,37.783,WEST VIRGINIA,WHITE SULPHUR SPGS,5424986
18552,108666,-77.84,39.36,WEST VIRGINIA,BARDANE,5425442
86783,524115,-80.75,39.9,WEST VIRGINIA,MOUNDSVILLE,5426041
18783,110465,-81.75,38.95,WEST VIRGINIA,RAVENSWOOD,5426164
6158,35909,-82.03,39.02,WEST VIRGINIA,MASON,5425260
6158,35908,-82.18,38.77,WEST VIRGINIA,GALLIPOLIS FERRY,5425515
1150475,5351442,-81.4,39.06667,WEST VIRGINIA,ELIZABETH,5426143
18557,108742,-80.987,37.6634,WEST VIRGINIA,JUMPING BRANCH,5425969
1150475,5351444,-81.11667,38.86667,WEST VIRGINIA,MT ZION,5426147
18783,110458,-82.45,38.32,WEST VIRGINIA,LAVALETTE,5425535
1150475,5351445,-81.1,38.91667,WEST VIRGINIA,GRANTSVILLE,5426147
1094681,5143623,-79.81667,39.06667,WEST VIRGINIA,MONTROSE,5426283
1094681,5143622,-80.08333,39.1,WEST VIRGINIA,TYGART JCT,5426416
53528,320335,-80.35,39.28,WEST VIRGINIA,CLARKSBURG,5426301
66764,400525,-81.43,38.22,WEST VIRGINIA,CEDAR GROVE,5425039
1094647,5143120,-80.73333000000001,39.91667,WEST VIRGINIA,MOUNDSVILLE,5426041
1094681,5143621,-80.3,39.23333,WEST VIRGINIA,ANMOORE,5426330
122683,734919,-81.59,37.25,WEST VIRGINIA,NEWHALL,5424866
1094647,5143121,-80.65,39.93333,WEST VIRGINIA,LIMESTONE,5426041
1094648,5143123,-80.56667,39.5,WEST VIRGINIA,SMITHFIELD,5426377
1094648,5143125,-79.31667,39.1,WEST VIRGINIA,PARSONS,5426833
1094681,5142341,-81.13333,37.98333,WEST VIRGINIA,OAK HILL,5425901
1094681,5142338,-81.63333,38.35,WEST VIRGINIA,CHARLESTON,5425301
1094680,5143618,-80.86667,39.53333,WEST VIRGINIA,KIDWELL,5426155
6155,35889,-81.28,38.13,WEST VIRGINIA,ALLOY,5425118
9616,53957,-80.7112,39.92,WEST VIRGINIA,MOUNDSVILLE,5426041
1150475,5351441,-81.55,39.26667,WEST VIRGINIA,PARKERSBURG,5426101
18783,110464,-81.53,37.97,WEST VIRGINIA,WHITESVILLE,5425209
6155,35888,-81.23,38.12,WEST VIRGINIA,CHARLTON HGTS,5425173
1215522,5520172,-78.23333000000001,39.63333,WEST VIRGINIA,BERKELEY SPGS,5425411
1215522,5520222,-78.6,39.4,WEST VIRGINIA,FORKS OF CACAOH,5426757
1094680,5143534,-80.48333000000001,38.36667,WEST VIRGINIA,COWEN,5426208
1215522,5520224,-78.31667,39.6,WEST VIRGINIA,BERKELEY SPGS,5425422
1094680,5143533,-80.55,38.41667,WEST VIRGINIA,COWEN,5426206
18783,110461,-81.83,38.07,WEST VIRGINIA,MADISON,5425130
18783,110459,-81.45,37.95,WEST VIRGINIA,COLCORD,5425060
1206999,5497473,-79.96667,38.73333,WEST VIRGINIA,MILL CREEK,5426280
95165,571758,-81.9087,38.396,WEST VIRGINIA,TEAYS,5425526
1206999,5497472,-81.45,37.33333,WEST VIRGINIA,ANAWALT,5424808
18783,110457,-82.43,38.22,WEST VIRGINIA,WAYNE,5425570
1206997,5497467,-80.4,39.16667,WEST VIRGINIA,WEST MILFORD,5426385
1206997,5497466,-80.7,38.66667,WEST VIRGINIA,SUTTON,5426601
63316,379806,-80.67,37.45,WEST VIRGINIA,LINDSIDE,5424963
18783,110460,-82.4963,38.4009,WEST VIRGINIA,WESTMORELAND,5425704
1215522,5520170,-78.23333000000001,39.63333,WEST VIRGINIA,BERKELEY SPGS,5425411
1150475,5351440,-81.66667,39.26667,WEST VIRGINIA,WASHINGTON,5426181
1215522,5520169,-79.11667,39.0,WEST VIRGINIA,PETERSBURG,5426847
1215522,5520167,-79.15,39.0,WEST VIRGINIA,PETERSBURG GRANT ARP,5426847
66764,400526,-82.0,37.85,WEST VIRGINIA,LOGAN,5425601
1094680,5143618,-80.88333,39.53333,WEST VIRGINIA,KIDWELL,5426149
6155,35887,-81.45,38.15,WEST VIRGINIA,DAWES,5425134
66771,400544,-81.4,39.07,WEST VIRGINIA,ELIZABETH,5426143
1215507,5519982,-77.96667,39.45,WEST VIRGINIA,MARTINSBURG,5425401
18783,110463,-81.6913,38.7375,WEST VIRGINIA,FAIR PLAIN,5425271
18783,110462,-81.4,38.7,WEST VIRGINIA,GANDEEVILLE,5425243
126920,760720,-80.57,40.09,WEST VIRGINIA,VALLEY GROVE,5426060
126920,760721,-80.63,40.05,WEST VIRGINIA,TRIADELPHIA,5426059
41043,239833,-78.6822,39.119,WEST VIRGINIA,ROCKOAK,5426755
126920,760723,-79.63600000000001,39.5835,WEST VIRGINIA,VALLEY PT,5426519
18475,110552,-77.8462,39.2752,WEST VIRGINIA,MECHANICSTOWN,5425414
18467,108603,-78.77,39.5,WEST VIRGINIA,FT ASHBY,5426719
18467,108603,-78.85,39.43,WEST VIRGINIA,REESES MILL,5426726
126920,760724,-79.68,39.09,WEST VIRGINIA,PORTERWOOD,5426287
1215522,5520168,-79.11667,38.95,WEST VIRGINIA,PETERSBURG,5426847
126920,760722,-80.69,39.73,WEST VIRGINIA,MILLSBORO,5426055
18798,110608,-80.9866,39.4723,WEST VIRGINIA,MIDDLEBOURNE,5426146
18783,110466,-81.67,38.9,WEST VIRGINIA,SANDYVILLE,5425275
18776,110398,-81.1,38.05,WEST VIRGINIA,FAYETTEVILLE,5425840
18795,110580,-81.8,38.58,WEST VIRGINIA,PARADISE,5425168
18776,110397,-81.13,37.98,WEST VIRGINIA,OAK HILL,5425901
18776,110396,-81.673,37.8866,WEST VIRGINIA,WHARTON,5425208
18783,110473,-79.93,39.22,WEST VIRGINIA,MOATSVILLE,5426405
18783,110450,-81.0,38.12,WEST VIRGINIA,HICO,5425854
18776,110395,-81.12,38.38,WEST VIRGINIA,BICKMORE,5425019
18783,110451,-81.48,38.45,WEST VIRGINIA,ELKVIEW,5425071
18783,110452,-82.2,38.22,WEST VIRGINIA,BRANCHLAND,5425506
18798,110632,-81.4,38.6734,WEST VIRGINIA,WALTON,5425286
18803,110718,-81.23,38.45,WEST VIRGINIA,BOMONT,5425030
18803,110719,-81.35,38.48,WEST VIRGINIA,CLENDENIN,5425045
18803,110720,-82.22,38.42,WEST VIRGINIA,ONA,5425545
18776,110394,-81.63,38.35,WEST VIRGINIA,CHARLESTON,5425301
18776,110393,-81.63,38.35,WEST VIRGINIA,CHARLESTON,5425301
18776,110392,-80.18,38.9,WEST VIRGINIA,TALLMANSVILLE,5426201
18803,110721,-82.13,38.43,WEST VIRGINIA,MILTON,5425541
18776,110399,-79.95,38.93,WEST VIRGINIA,NORTON,5426285
18783,110449,-81.4246,38.42,WEST VIRGINIA,PINCH,5425071
18783,110448,-81.48,38.45,WEST VIRGINIA,ELKVIEW,5425071
18798,110630,-81.0656,38.9089,WEST VIRGINIA,GRANTSVILLE,5426147
18783,110441,-81.13,37.73,WEST VIRGINIA,DANIELS,5425832
18798,110605,-81.02,39.45,WEST VIRGINIA,SHILOH,5426146
18796,110583,-80.35,39.22,WEST VIRGINIA,MT CLARE,5426408
18783,110440,-82.4424,38.4092,WEST VIRGINIA,HUNTINGTON,5425701
18783,110444,-81.18,37.78,WEST VIRGINIA,BECKLEY,5425801
18798,110624,-80.83,38.93,WEST VIRGINIA,GLENVILLE,5426351
18783,110445,-81.45,37.85,WEST VIRGINIA,ROCK CREEK,5425174
18783,110439,-82.22,38.32,WEST VIRGINIA,SALT ROCK,5425559
18783,110453,-81.67,38.48,WEST VIRGINIA,POCATALICO,5425312
18783,110447,-81.82,37.97,WEST VIRGINIA,JEFFREY,5425114
18798,110625,-80.83,38.93,WEST VIRGINIA,GLENVILLE,5426351
18783,110438,-80.9432,38.5943,WEST VIRGINIA,SERVIA,5425063
18798,110628,-80.83,38.93,WEST VIRGINIA,GLENVILLE,5426351
18783,110436,-81.53,37.58,WEST VIRGINIA,PINEVILLE,5424874
18783,110435,-81.6412,37.5993,WEST VIRGINIA,CLEAR FORK,5424818
18783,110434,-81.6412,37.5993,WEST VIRGINIA,CLEAR FORK,5424818
18783,110433,-81.68,37.63,WEST VIRGINIA,CLEAR FORK,5424822
18783,110430,-81.73,37.6,WEST VIRGINIA,SIMON,5424839
18795,110971,-81.8226,38.6,WEST VIRGINIA,LIBERTY,5425123
18803,110722,-81.97,38.3,WEST VIRGINIA,BYRNSIDE,5425526
18776,110381,-81.97,38.03,WEST VIRGINIA,TURTLE CREEK,5425524
18776,110377,-80.63,38.75,WEST VIRGINIA,HEATERS,5426627
9612,53927,-80.02,39.68,WEST VIRGINIA,PURSGLOVE,5426501
