EPISODE_ID,EVENT_ID,LONGITUDE,LATITUDE,STATE,LOCATION,ZIPCODE
1095321,5145229,-90.23333000000001,42.56667,WISCONSIN,SHULLSBURG,5553586
63678,381080,-90.65,46.33,WISCONSIN,MELLEN,5554546
63823,381898,-89.05,44.73,WISCONSIN,TIGERTON,5554486
63678,381082,-90.09,45.7,WISCONSIN,DOVER,
63830,381994,-89.71,45.61,WISCONSIN,CASSIAN,5554487
63830,381995,-89.19,44.88,WISCONSIN,ELAND,5554427
63830,381996,-89.98,45.45,WISCONSIN,SPIRIT FALLS,5554487
63830,381997,-89.3,45.82,WISCONSIN,ROBBINS,5554521
63830,381998,-89.21,46.04,WISCONSIN,CONOVER,5554519
63830,381999,-88.66,45.43,WISCONSIN,WABENO,5554566
63830,382000,-88.66,45.44,WISCONSIN,WABENO,5554566
63830,382001,-88.0,45.5,WISCONSIN,AMBERG,5554102
63830,382002,-88.04,43.91,WISCONSIN,KIEL,5553042
63881,382491,-90.13,44.45,WISCONSIN,PITTSVILLE,5554466
63883,382494,-89.51,44.13,WISCONSIN,HANCOCK,5554943
63883,382495,-88.4441,44.3042,WISCONSIN,APPLETON,5554913
63883,382496,-88.1263,44.5534,WISCONSIN,HOWARD,5554313
38691,244360,-88.9,43.08,WISCONSIN,LAKE MILLS,5553551
38691,243247,-89.7797,43.27,WISCONSIN,SAUK CITY,5553583
38691,224431,-89.07,43.0934,WISCONSIN,DEERFIELD,5553531
38691,224431,-89.0701,43.0499,WISCONSIN,DEERFIELD,5553531
63830,381993,-89.88,45.96,WISCONSIN,LAC DU FLAMBEAU,5554538
63678,381081,-90.29,45.54,WISCONSIN,PRENTICE,5554556
63830,381992,-89.96,45.45,WISCONSIN,SPIRIT FALLS,5554487
63829,381970,-88.55,44.01,WISCONSIN,OSHKOSH,5554902
63678,381083,-90.47,45.64,WISCONSIN,PHILLIPS,5554555
63694,381149,-92.38,45.78,WISCONSIN,SIREN,5554872
63694,381150,-92.38,45.78,WISCONSIN,SIREN,5554872
63694,381151,-92.3,45.86,WISCONSIN,WEBSTER,5554893
63694,381152,-91.36,46.75,WISCONSIN,PORT WING,5554865
63694,381153,-92.06,46.7,WISCONSIN,EAST END,5554880
63694,381154,-91.26,46.76,WISCONSIN,HERBSTER,5554844
63694,381454,-92.1,46.72,WISCONSIN,SUPERIOR,5554880
63694,381455,-91.38,46.77,WISCONSIN,PORT WING,5554865
63823,381895,-89.56,44.51,WISCONSIN,PARK RIDGE,5554481
63823,381896,-88.75,44.61,WISCONSIN,CLINTONVILLE,5554929
63823,381897,-89.01,44.7,WISCONSIN,SPLIT ROCK,5554486
1095321,5145233,-88.88333,42.81667,WISCONSIN,MILTON,5553563
63823,381899,-88.75,44.61,WISCONSIN,CLINTONVILLE,5554929
63823,381918,-89.9,44.32,WISCONSIN,NEKOOSA,5554457
63829,381968,-90.13,44.73,WISCONSIN,RIVERSIDE,5554449
63829,381969,-89.68,44.91,WISCONSIN,(AUW)WAUSAW MUNI ARP,5554401
63829,384778,-90.0,44.63,WISCONSIN,AUBURNDALE,5554412
1095321,5145234,-88.7,42.93333,WISCONSIN,HEBRON,5553538
115179,691528,-88.9,43.47,WISCONSIN,BEAVER DAM ARPT,5553916
1095323,5143892,-88.71667,43.2,WISCONSIN,WATERTOWN,5553098
1215739,5519755,-89.33333,43.96667,WISCONSIN,BUDSIN,5554960
1215739,5519757,-87.78333,43.73333,WISCONSIN,KOHLER,5553081
1215740,5519760,-89.36667,43.53333,WISCONSIN,PARDEEVILLE,5553954
1215740,5519848,-89.48333000000001,43.11667,WISCONSIN,MADISON,5553562
1215740,5519937,-89.43333,42.7,WISCONSIN,ALBANY,5553502
1215741,5519945,-90.08333,43.46667,WISCONSIN,LOGANVILLE,5553959
1215741,5520009,-90.0,43.53333,WISCONSIN,REEDSBURG,5553959
1215741,5520010,-89.98333000000001,43.4,WISCONSIN,LOGANVILLE,5553943
1215741,5520011,-89.83333,43.28333,WISCONSIN,PRAIRIE DU SAC,5553578
1215741,5520012,-89.6,43.5,WISCONSIN,BARABOO,5553901
1215741,5520013,-89.61667,43.58333,WISCONSIN,WISCONSIN DELLS,5553901
1215741,5520014,-89.86667,42.7,WISCONSIN,ARGYLE,5553504
1215741,5520015,-89.88333,42.53333,WISCONSIN,SOUTH WAYNE,5553587
1215741,5520016,-90.08333,42.85,WISCONSIN,MINERAL PT,5553565
1215741,5520018,-89.45,43.15,WISCONSIN,WAUNAKEE,5553597
1215741,5520019,-90.0,42.53333,WISCONSIN,SOUTH WAYNE,5553541
1215741,5520020,-87.95,43.05,WISCONSIN,WAUWATOSA,5553208
1215741,5520020,-87.95,43.0,WISCONSIN,WAUWATOSA,5553215
1215744,5520267,-88.0,43.66667,WISCONSIN,CASCADE,5553011
1215744,5520278,-87.86667,42.68333,WISCONSIN,STURTEVANT,5553406
63039,383716,-92.79,44.75,WISCONSIN,PRESCOTT,5554021
63036,377481,-92.63,45.41,WISCONSIN,ST CROIX FALLS,5554024
63036,377480,-92.5493,45.1407,WISCONSIN,NEW RICHMOND ARPT,5554017
63036,377479,-91.6,45.59,WISCONSIN,MIKANA,5554857
63036,377478,-91.74,45.5,WISCONSIN,RICE LAKE,5554868
63036,377477,-91.75,45.52,WISCONSIN,RICE LAKE,5554868
39419,229070,-88.2105,43.4735,WISCONSIN,WEST BEND,5553040
39419,229071,-88.18,43.42,WISCONSIN,WEST BEND,5553095
39419,229072,-89.47,43.0626,WISCONSIN,SHOREWOOD HILLS,5553705
1215739,5519748,-87.81667,43.5,WISCONSIN,BELGIUM,5553004
1215739,5519747,-88.38333,43.31667,WISCONSIN,HARTFORD,5553027
1215739,5519746,-87.85,43.73333,WISCONSIN,SHEBOYGAN FALLS,5553085
1215739,5519745,-88.33333,43.63333,WISCONSIN,CAMPBELLSPORT,5553010
1215736,5519513,-89.76666999999999,43.65,WISCONSIN,WISCONSIN DELLS,5553965
1215736,5519516,-88.95,43.83333,WISCONSIN,GREEN LAKE,5554941
1215736,5519517,-88.76666999999999,43.83333,WISCONSIN,RIPON,5554971
1215736,5519517,-88.83333,43.83333,WISCONSIN,RIPON,5554971
1215737,5519579,-88.8,43.68333,WISCONSIN,ALTO,5553919
1215738,5519581,-88.15,43.06667,WISCONSIN,BROOKFIELD,5553045
1215738,5519582,-88.08333,43.05,WISCONSIN,ELM GROVE,5553122
1215738,5519584,-87.96667,43.0,WISCONSIN,WEST ALLIS,5553219
1215738,5519586,-88.0,42.98333,WISCONSIN,WEST ALLIS,5553219
1215738,5519587,-87.95,43.0,WISCONSIN,WEST ALLIS,5553215
1215738,5519588,-87.96667,43.03333,WISCONSIN,MILWAUKEE,5553208
1215738,5519589,-87.96667,43.0,WISCONSIN,WEST ALLIS,5553219
1215738,5519590,-87.86667,42.85,WISCONSIN,OAK CREEK,5553154
1215738,5519591,-88.05,42.96667,WISCONSIN,MILWAUKEE,5553228
39419,229073,-89.2599,43.0888,WISCONSIN,MADISON TRUAX AIRPORT,5553718
1215738,5519592,-87.96667,43.0,WISCONSIN,WEST ALLIS,5553219
1215738,5519660,-88.15,43.06667,WISCONSIN,BROOKFIELD,5553045
1215738,5519661,-88.16667,43.05,WISCONSIN,BROOKFIELD,5553045
1215738,5519662,-88.15,43.06667,WISCONSIN,BROOKFIELD,5553045
1215738,5519663,-88.43333,42.95,WISCONSIN,NORTH PRAIRIE,5553118
1215738,5519664,-88.4,42.93333,WISCONSIN,NORTH PRAIRIE,5553153
1215738,5519666,-87.83333,42.58333,WISCONSIN,KENOSHA,5553140
1215739,5519671,-88.18333,43.65,WISCONSIN,DUNDEE,5553010
1215739,5519736,-88.06667,43.53333,WISCONSIN,BOLTONVILLE,5553040
1215739,5519737,-89.21667,43.96667,WISCONSIN,NESHKORO,5554960
1215739,5519738,-89.36667,43.96667,WISCONSIN,WESTFIELD,5554982
1215739,5519739,-89.0,43.96667,WISCONSIN,BERLIN,5554923
1215739,5519741,-88.68333,43.8,WISCONSIN,ROSENDALE,5554974
1215739,5519743,-89.1,43.55,WISCONSIN,CAMBRIA,5553923
1215739,5519744,-89.06667,43.6,WISCONSIN,FRIESLAND,5553956
1215738,5519595,-89.3,43.03333,WISCONSIN,MC FARLAND,5553558
1215736,5519511,-89.78333,43.58333,WISCONSIN,LAKE DELTON,5553913
39419,229074,-89.3848,43.3733,WISCONSIN,POYNETTE,5553911
39419,229076,-89.616,43.1302,WISCONSIN,CROSS PLAINS,5553528
1190437,5451585,-88.45,43.78333,WISCONSIN,MADISON,5554935
1190437,5451584,-88.36667,43.95,WISCONSIN,FOND DU LAC,
1190437,5451583,-88.25,43.65,WISCONSIN,WATERTOWN,5553010
39462,229281,-90.8286,43.3361,WISCONSIN,STAR VLY,5554631
39462,229281,-90.7531,43.3257,WISCONSIN,ROLLING GROUND,5554631
1216277,5524651,-88.18333,44.88333,WISCONSIN,OCONTO FALLS,5554154
1216277,5524651,-88.3,44.88333,WISCONSIN,OCONTO FALLS,5554124
1216277,5524652,-87.43333,44.61667,WISCONSIN,ALGOMA,5554201
1216277,5524653,-87.43333,44.61667,WISCONSIN,ALGOMA,5554201
1216277,5524654,-89.15,44.0,WISCONSIN,REDGRANITE,5554960
1216277,5524655,-88.85,44.0,WISCONSIN,EUREKA,5554923
1216277,5524656,-88.05,44.15,WISCONSIN,REEDSVILLE,5554110
1216277,5524657,-88.1,44.11667,WISCONSIN,POTTER,5554129
1216277,5524658,-87.76666999999999,44.15,WISCONSIN,BRANCH,5554247
1216277,5524658,-87.66667,44.08333,WISCONSIN,BRANCH,5554220
1216277,5524660,-88.53333,45.05,WISCONSIN,KESHENA,5554174
1216277,5524661,-88.38333,45.0,WISCONSIN,HAYES,5554174
1216277,5524661,-88.3,45.01667,WISCONSIN,HAYES,5554174
1216278,5523919,-88.9,45.56667,WISCONSIN,CRANDON,5554520
1216278,5523921,-88.13333,45.23333,WISCONSIN,CRIVITZ,5554114
1216278,5523922,-88.03333,45.1,WISCONSIN,POUND,5554161
1216278,5523922,-88.03333,45.08333,WISCONSIN,POUND,5554161
1216279,5523986,-87.76666999999999,45.21667,WISCONSIN,PORTERFIELD,5554159
1216280,5523988,-87.75,43.91667,WISCONSIN,CLEVELAND,5553015
1216280,5523989,-87.35,44.95,WISCONSIN,EGG HARBOR,5554235
1216280,5523989,-87.28333,45.03333,WISCONSIN,EGG HARBOR,5554209
1216280,5523990,-87.13333,45.06667,WISCONSIN,EPHRAIM,5554202
1216280,5523990,-87.16667,45.15,WISCONSIN,EPHRAIM,5554211
1216280,5523991,-87.55,44.43333,WISCONSIN,KEWAUNEE,5554216
1190437,5451585,-88.55,43.78333,WISCONSIN,MADISON,5554932
1190437,5451586,-88.83333,43.41667,WISCONSIN,MC FARLAND,5553916
1190437,5451587,-88.8,43.33333,WISCONSIN,WAUNAKEE,5553557
1190437,5451587,-88.71667,43.31667,WISCONSIN,WAUNAKEE,5553039
1190440,5451618,-88.83333,43.23333,WISCONSIN,RICHWOOD,5553098
1190440,5451617,-88.98333000000001,43.18333,WISCONSIN,WATERLOO,5553594
1190440,5451616,-89.48333000000001,43.01667,WISCONSIN,MADISON,5553719
1190440,5451615,-89.45,43.51667,WISCONSIN,PORTAGE,5553901
1190440,5451614,-89.48333000000001,43.55,WISCONSIN,PORTAGE,5553901
1190440,5451613,-89.03333,42.51667,WISCONSIN,BELOIT,5553511
1190440,5451612,-89.2,42.56667,WISCONSIN,BELOIT,5553511
1190440,5451610,-89.1,42.61667,WISCONSIN,AFTON,5553548
1190440,5451609,-89.05,42.66667,WISCONSIN,JANESVILLE,5553548
1190440,5451608,-89.01666999999999,42.66667,WISCONSIN,JANESVILLE,5553546
1190440,5451607,-89.06667,42.6,WISCONSIN,AFTON,5553511
1190440,5451606,-89.01666999999999,42.68333,WISCONSIN,JANESVILLE,5553545
1190440,5451604,-89.36667,42.61667,WISCONSIN,BRODHEAD,5553520
1190440,5451602,-89.2,42.66667,WISCONSIN,FOOTVILLE,5553548
39419,229075,-89.12,42.998999999999995,WISCONSIN,UTICA,5553523
1190438,5451599,-88.76666999999999,43.23333,WISCONSIN,RICHWOOD,5553098
1190437,5454005,-88.98333000000001,43.18333,WISCONSIN,FOND DU LAC,5553594
1190437,5454004,-88.98333000000001,42.91667,WISCONSIN,PIPE,5553538
1190437,5454003,-88.33333,42.86667,WISCONSIN,WAUCOUSTA,5553149
1190437,5451597,-88.46667,43.0,WISCONSIN,LAKE MILLS,5553118
1190437,5451596,-88.48333000000001,43.11667,WISCONSIN,WATERLOO,5553066
1190437,5451595,-89.03333,42.9,WISCONSIN,BUSSEYVILLE,5553534
1190437,5451594,-89.2,43.01667,WISCONSIN,MUKWONAGO,5553527
1190437,5451593,-89.21667,42.91667,WISCONSIN,NORTH PRAIRIE,5553589
1190437,5451592,-89.45,43.18333,WISCONSIN,DOUSMAN,5553597
1190437,5451591,-89.25,43.01667,WISCONSIN,OCONOMOWOC,5553558
1190437,5451590,-89.36667,43.1,WISCONSIN,ALBION,5553704
1190437,5451590,-89.38333,43.13333,WISCONSIN,ALBION,5553704
1190437,5451589,-88.45,43.78333,WISCONSIN,MC FARLAND,5554935
