EPISODE_ID,EVENT_ID,LONGITUDE,LATITUDE,STATE,LOCATION,ZIPCODE
97900,588981,-105.022,42.0722,WYOMING,WHEATLAND,5682201
1136513,5297429,-104.4,43.96667,WYOMING,OSAGE,5682723
97731,587701,-104.2127,42.934,WYOMING,LUSK,5682225
1136513,5297426,-104.55,44.16667,WYOMING,UPTON,5682730
1136513,5297425,-104.63333,44.11667,WYOMING,UPTON,5682730
1119712,5259669,-106.3,43.7,WYOMING,SUSSEX,5682639
97732,587702,-104.75,43.27,WYOMING,WEST LANCE CREEK,5682222
1119720,5259678,-110.11667,41.76667,WYOMING,OPAL,5683124
97900,588980,-104.95,42.3539,WYOMING,WHEATLAND,5682213
97731,587699,-104.62,42.78,WYOMING,MANVILLE,5682227
1119718,5259675,-109.35,41.58333,WYOMING,ROCK SPGS,
1219089,5530297,-104.4167,43.7,WYOMING,NEWCASTLE,5682701
1219090,5530298,-104.85,44.68333,WYOMING,HULETT,5682721
1219090,5530299,-104.5667,44.78333,WYOMING,ALVA,5682720
1136525,5297540,-104.2,44.91667,WYOMING,COLONY,5657717
97900,588984,-105.06700000000001,42.05,WYOMING,WHEATLAND,5682201
1136523,5297530,-105.48333000000001,44.28333,WYOMING,GILLETTE,5682716
1136523,5297529,-104.86667,43.93333,WYOMING,UPTON,5682730
1119715,5259672,-106.48333000000001,44.2,WYOMING,BUFFALO,5682834
1136518,5297446,-104.78333,44.38333,WYOMING,MOORCROFT,5682721
1219090,5530300,-104.6,44.91667,WYOMING,HULETT,5682720
1219091,5530302,-105.6333,44.4,WYOMING,GILLETTE,5682716
53998,323483,-105.0145,42.2149,WYOMING,DWYER,5682201
1219091,5530303,-105.5667,44.43333,WYOMING,GILLETTE,5682716
1219091,5530303,-105.6333,44.38333,WYOMING,GILLETTE,5682716
1119716,5259673,-106.36667,44.58333,WYOMING,BUFFALO,5682835
1219092,5530304,-105.0333,43.65,WYOMING,ROCHELLE,5682701
1136511,5297352,-104.9,43.6,WYOMING,ROCHELLE,5682701
1136518,5297445,-105.01666999999999,44.15,WYOMING,ROZET,
